Jahr;Monat;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2000;08;Spanien;Europa ohne Deutschland;Ausland;738;1209
2000;08;Tschechische Republik;Europa ohne Deutschland;Ausland;190;307
2000;08;Großbritannien;Europa ohne Deutschland;Ausland;1420;2926
2000;08;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1175;2173
2000;08;afrikanische Länder;Sonst. Ausland;Ausland;119;364
2000;08;USA;Amerika;Ausland;2863;6243
2000;08;Kanada;Amerika;Ausland;199;335
2000;08;amerik. Länder (o.USA, Kanada);Amerika;Ausland;429;714
2000;08;China;Asien;Ausland;67;103
2000;08;Japan;Asien;Ausland;3416;5292
2000;08;asiatische Länder (o.China, Japan);Asien;Ausland;969;1402
2000;08;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;266;541
2000;08;Ausländer ohne Angabe;Sonst. Ausland;Ausland;232;387
2000;09;Deutschland;Deutschland;Deutschland;107257;227416
2000;09;Belgien;Europa ohne Deutschland;Ausland;642;1328
2000;09;Dänemark;Europa ohne Deutschland;Ausland;862;1282
2000;09;Frankreich;Europa ohne Deutschland;Ausland;851;1634
2000;09;Italien;Europa ohne Deutschland;Ausland;787;1571
2000;09;Niederlande;Europa ohne Deutschland;Ausland;833;1616
2000;09;Österreich;Europa ohne Deutschland;Ausland;1387;3858
2000;09;Polen;Europa ohne Deutschland;Ausland;295;521
2000;09;Schweden;Europa ohne Deutschland;Ausland;722;1107
2000;09;Schweiz;Europa ohne Deutschland;Ausland;1916;4640
2000;09;Russland;Europa ohne Deutschland;Ausland;328;682
2000;09;Spanien;Europa ohne Deutschland;Ausland;335;611
2000;09;Tschechische Republik;Europa ohne Deutschland;Ausland;269;560
2000;09;Großbritannien;Europa ohne Deutschland;Ausland;1827;3915
2000;09;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1220;3084
2000;09;afrikanische Länder;Sonst. Ausland;Ausland;153;554
2000;09;USA;Amerika;Ausland;3851;8268
2000;09;Kanada;Amerika;Ausland;290;779
2000;09;amerik. Länder (o.USA, Kanada);Amerika;Ausland;594;1148
2000;09;China;Asien;Ausland;148;471
2000;09;Japan;Asien;Ausland;3171;5842
2000;09;asiatische Länder (o.China, Japan);Asien;Ausland;882;1484
2000;09;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;338;741
2000;09;Ausländer ohne Angabe;Sonst. Ausland;Ausland;146;581
2000;10;Deutschland;Deutschland;Deutschland;94861;210045
2000;10;Belgien;Europa ohne Deutschland;Ausland;255;505
2000;10;Dänemark;Europa ohne Deutschland;Ausland;709;952
2000;10;Frankreich;Europa ohne Deutschland;Ausland;813;1351
2000;10;Italien;Europa ohne Deutschland;Ausland;424;726
2000;10;Niederlande;Europa ohne Deutschland;Ausland;661;1373
2000;10;Österreich;Europa ohne Deutschland;Ausland;780;1897
2000;10;Polen;Europa ohne Deutschland;Ausland;206;412
2000;10;Schweden;Europa ohne Deutschland;Ausland;578;783
2000;10;Schweiz;Europa ohne Deutschland;Ausland;1326;3182
2000;10;Russland;Europa ohne Deutschland;Ausland;295;829
2000;10;Spanien;Europa ohne Deutschland;Ausland;154;343
2000;10;Tschechische Republik;Europa ohne Deutschland;Ausland;283;462
2000;10;Großbritannien;Europa ohne Deutschland;Ausland;1324;2695
2000;10;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;854;1518
2000;10;afrikanische Länder;Sonst. Ausland;Ausland;59;158
2000;10;USA;Amerika;Ausland;2128;5217
2000;10;Kanada;Amerika;Ausland;158;411
2000;10;amerik. Länder (o.USA, Kanada);Amerika;Ausland;239;484
2000;10;China;Asien;Ausland;164;404
2000;10;Japan;Asien;Ausland;3184;4753
2000;10;asiatische Länder (o.China, Japan);Asien;Ausland;396;835
2000;10;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;196;364
2000;10;Ausländer ohne Angabe;Sonst. Ausland;Ausland;153;359
2000;11;Deutschland;Deutschland;Deutschland;74328;142135
2000;11;Belgien;Europa ohne Deutschland;Ausland;171;360
2000;11;Dänemark;Europa ohne Deutschland;Ausland;166;193
2000;11;Frankreich;Europa ohne Deutschland;Ausland;268;605
2000;11;Italien;Europa ohne Deutschland;Ausland;200;473
2000;11;Niederlande;Europa ohne Deutschland;Ausland;464;875
2000;11;Österreich;Europa ohne Deutschland;Ausland;566;1219
2000;11;Polen;Europa ohne Deutschland;Ausland;249;579
2000;11;Schweden;Europa ohne Deutschland;Ausland;200;325
2000;11;Schweiz;Europa ohne Deutschland;Ausland;637;1576
2000;11;Russland;Europa ohne Deutschland;Ausland;449;902
2000;11;Spanien;Europa ohne Deutschland;Ausland;114;185
2000;11;Tschechische Republik;Europa ohne Deutschland;Ausland;156;284
2000;11;Großbritannien;Europa ohne Deutschland;Ausland;668;1687
2000;11;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;651;1380
2000;11;afrikanische Länder;Sonst. Ausland;Ausland;45;84
2000;11;USA;Amerika;Ausland;1169;3213
2000;11;Kanada;Amerika;Ausland;102;298
2000;11;amerik. Länder (o.USA, Kanada);Amerika;Ausland;90;275
2000;11;China;Asien;Ausland;126;382
2000;11;Japan;Asien;Ausland;1067;2272
2000;11;asiatische Länder (o.China, Japan);Asien;Ausland;224;591
2000;11;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;109;216
2000;11;Ausländer ohne Angabe;Sonst. Ausland;Ausland;95;194
2000;12;Deutschland;Deutschland;Deutschland;93532;190288
2000;12;Belgien;Europa ohne Deutschland;Ausland;105;190
2000;12;Dänemark;Europa ohne Deutschland;Ausland;162;276
2000;12;Frankreich;Europa ohne Deutschland;Ausland;291;673
2000;12;Italien;Europa ohne Deutschland;Ausland;283;558
2000;12;Niederlande;Europa ohne Deutschland;Ausland;389;820
2000;12;Österreich;Europa ohne Deutschland;Ausland;617;1574
2000;12;Polen;Europa ohne Deutschland;Ausland;246;644
2000;12;Schweden;Europa ohne Deutschland;Ausland;51;126
2000;12;Schweiz;Europa ohne Deutschland;Ausland;1562;4375
2000;12;Russland;Europa ohne Deutschland;Ausland;196;459
2000;12;Spanien;Europa ohne Deutschland;Ausland;87;135
2000;12;Tschechische Republik;Europa ohne Deutschland;Ausland;146;220
2000;12;Großbritannien;Europa ohne Deutschland;Ausland;516;1511
2000;12;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;551;1189
2000;12;afrikanische Länder;Sonst. Ausland;Ausland;36;104
2000;12;USA;Amerika;Ausland;1147;2681
2000;12;Kanada;Amerika;Ausland;31;87
2000;12;amerik. Länder (o.USA, Kanada);Amerika;Ausland;105;250
2000;12;China;Asien;Ausland;49;88
2000;12;Japan;Asien;Ausland;975;1871
2000;12;asiatische Länder (o.China, Japan);Asien;Ausland;203;420
2000;12;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;85;137
2000;12;Ausländer ohne Angabe;Sonst. Ausland;Ausland;59;108
2001;01;Deutschland;Deutschland;Deutschland;43097;87533
2001;01;Belgien;Europa ohne Deutschland;Ausland;157;242
2001;01;Dänemark;Europa ohne Deutschland;Ausland;54;132
2001;01;Frankreich;Europa ohne Deutschland;Ausland;211;504
2001;01;Italien;Europa ohne Deutschland;Ausland;313;553
2001;01;Niederlande;Europa ohne Deutschland;Ausland;381;749
2001;01;Österreich;Europa ohne Deutschland;Ausland;320;965
2001;01;Polen;Europa ohne Deutschland;Ausland;86;464
2001;01;Schweden;Europa ohne Deutschland;Ausland;148;223
2001;01;Schweiz;Europa ohne Deutschland;Ausland;766;2849
2001;01;Russland;Europa ohne Deutschland;Ausland;620;1149
2001;01;Spanien;Europa ohne Deutschland;Ausland;50;88
2001;01;Tschechische Republik;Europa ohne Deutschland;Ausland;74;136
2001;01;Großbritannien;Europa ohne Deutschland;Ausland;389;989
2001;01;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;327;737
2001;01;afrikanische Länder;Sonst. Ausland;Ausland;19;46
2001;01;USA;Amerika;Ausland;774;2282
2001;01;Kanada;Amerika;Ausland;52;90
2001;01;amerik. Länder (o.USA, Kanada);Amerika;Ausland;135;261
2001;01;China;Asien;Ausland;110;127
2001;01;Japan;Asien;Ausland;497;1150
2001;01;asiatische Länder (o.China, Japan);Asien;Ausland;188;477
2001;01;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;150;252
2001;01;Ausländer ohne Angabe;Sonst. Ausland;Ausland;51;95
2001;02;Deutschland;Deutschland;Deutschland;44686;93459
2001;02;Belgien;Europa ohne Deutschland;Ausland;127;205
2001;02;Dänemark;Europa ohne Deutschland;Ausland;59;99
2001;02;Frankreich;Europa ohne Deutschland;Ausland;309;756
2001;02;Italien;Europa ohne Deutschland;Ausland;216;403
2001;02;Niederlande;Europa ohne Deutschland;Ausland;383;850
2001;02;Österreich;Europa ohne Deutschland;Ausland;451;1197
2001;02;Polen;Europa ohne Deutschland;Ausland;160;314
2001;02;Schweden;Europa ohne Deutschland;Ausland;124;180
2001;02;Schweiz;Europa ohne Deutschland;Ausland;439;1259
2001;02;Russland;Europa ohne Deutschland;Ausland;438;1206
2001;02;Spanien;Europa ohne Deutschland;Ausland;61;104
2001;02;Tschechische Republik;Europa ohne Deutschland;Ausland;257;647
2001;02;Großbritannien;Europa ohne Deutschland;Ausland;469;968
2001;02;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;354;1027
2001;02;afrikanische Länder;Sonst. Ausland;Ausland;47;60
2001;02;USA;Amerika;Ausland;785;2354
2001;02;Kanada;Amerika;Ausland;55;132
2001;02;amerik. Länder (o.USA, Kanada);Amerika;Ausland;99;164
2001;02;China;Asien;Ausland;14;31
2001;02;Japan;Asien;Ausland;756;1597
2001;02;asiatische Länder (o.China, Japan);Asien;Ausland;172;583
2001;02;"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;73;117
2001;02;Ausländer ohne Angabe;Sonst. Ausland;Ausland;76;145
2001;03;Deutschland;Deutschland;Deutschland;69696;146476
2001;03;Belgien;Europa ohne Deutschland;Ausland;193;375
2001;03;Dänemark;Europa ohne Deutschland;Ausland;207;434
2001;03;Frankreich;Europa ohne Deutschland;Ausland;348;692
2001;03;Italien;Europa ohne Deutschland;Ausland;356;575
2001;03;Niederlande;Europa ohne Deutschland;Ausland;490;1278
2001;03;Österreich;Europa ohne Deutschland;Ausland;645;1326
