Jahr;Monat;Flugzeugbewegungen - gesamt;Flugzeugbewegungen - Gew. Verkehr - gesamt;Flugzeugbewegungen - Gew. Verkehr - Landungen;Flugzeugbewegungen - Gew. Verkehr - Starts;Flugzeugbewegungen - Gew. Verkehr - MTOW (in t);Flugzeugbewegungen - Gew. Verkehr - Passagierflüge;Flugzeugbewegungen - Gew. Verkehr - Passagierflüge, dar. Linie/Touristik;Flugzeugbewegungen - Gew. Verkehr - Fracht und Postflüge;Flugzeugbewegungen - Gew. Verkehr - Übriger gewerblicher Verkehr (bis einschl. 2013);Flugzeugbewegungen - Nichtgew. Verkehr - gesamt;Flugzeugbewegungen - Nichtgew. Verkehr - Werkverkehr;Flugzeugbewegungen - Nichtgew. Verkehr - Übriger nichtgewerbl. Verkehr;Fluggäste - gesamt;Fluggäste - Gew. Verkehr - gesamt;Fluggäste - Gew. Verkehr - Lokalaufkommen;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Aussteiger;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Einsteiger;Fluggäste - Gew. Verkehr - Transitaufkommen;Fluggäste - Gew. Verkehr - Aufkommen Inland;Fluggäste - Gew. Verkehr - Aufkommen Ausland;Fluggäste - Nichtgew. Verkehr - gesamt;Luftfracht/Luftpost - gesamt (in t) (ab 2016);Luftfracht - gesamt (in t);Luftfracht - Umschlag (an + ab) (in t);Luftfracht - Umschlag (an + ab), dav. Ausladungen (in t);Luftfracht - Umschlag (an + ab), dav. Einladungen (in t);Luftfracht - Durchgang (Transit) (in t);Luftpost - gesamt (in t) (ab 2008);Verkehrseinheiten (VE)
2010;07;3380;2595;1300;1295;58582;2352;2352;0;243;785;164;621;176092;175768;171707;88289;83418;4061;93307;78400;324;-;16;15,5;6,5;9;0,5;0,2;171864
2010;08;3088;2433;1221;1212;55153;2247;2245;2;186;655;178;477;168326;168050;164101;81595;82506;3949;90129;73972;276;-;48,1;47,6;7,3;40,3;0,4;0,1;164579
2010;09;3711;2926;1461;1465;61279;2446;2445;1;480;785;213;572;198884;198624;194819;96325;98494;3805;112377;82442;260;-;17,8;17,2;9,8;7,4;0,6;0,1;194992
2010;10;3410;2663;1334;1329;61702;2444;2444;0;219;747;226;521;196139;195488;192301;100367;91934;3187;110798;81503;651;-;21,2;20,9;12,1;8,8;0,3;0,1;192511
2010;11;2638;2246;1127;1119;51074;2131;2131;0;115;392;107;285;145257;144803;142154;72043;70111;2649;107225;34929;454;-;22,3;21,7;13;8,7;0,6;0,2;142373
2010;12;2236;1891;954;937;42909;1793;1787;6;98;345;114;231;123640;123344;120065;61379;58686;3279;95145;24920;296;-;39,7;35,7;27,3;8,4;4;0;120422
2011;01;2305;1885;940;945;44345;1782;1780;2;103;420;146;274;109252;109104;108518;52148;56370;586;82920;25598;148;-;53;52,9;25,3;27,6;0,1;0,1;109048
2011;02;2354;1833;920;913;42996;1743;1742;1;90;521;234;287;112000;111859;111549;55597;55952;310;85623;25926;141;-;51,6;51,6;6,8;44,9;0;0,1;112066
2011;03;2746;2086;1045;1041;48742;1976;1976;0;110;660;171;489;137798;137455;137455;69359;68096;0;107385;30070;343;-;20,9;20,9;10,4;10,5;0;0;137664
2011;04;2874;2072;1036;1036;47528;1922;1921;1;150;802;195;607;144913;144521;144223;72684;71539;298;102662;41561;392;-;18,4;18,4;7;11,4;0;0;144407
