Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
1999;10 StB Leuben;Ausländer;00 bis unter 1 Jahr;729;138
1999;10 StB Leuben;Ausländer;01 bis unter 3 Jahre;4215;181
1999;10 StB Leuben;Ausländer;03 bis unter 5 Jahre;3866;83
1999;10 StB Leuben;Ausländer;05 bis unter 10 Jahre;6134;68
1999;10 StB Leuben;Ausländer;10 bis unter 20 Jahre;7333;46
1999;10 StB Leuben;Ausländer;20 Jahre und mehr;4884;14
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;00 bis unter 1 Jahr;16117;3083
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;01 bis unter 3 Jahre;120294;5291
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;03 bis unter 5 Jahre;137887;3031
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;05 bis unter 10 Jahre;298467;3253
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;10 bis unter 20 Jahre;1099028;6393
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;20 Jahre und mehr;1577538;5390
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;00 bis unter 1 Jahr;863;168
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;01 bis unter 3 Jahre;5695;257
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;03 bis unter 5 Jahre;3519;79
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;05 bis unter 10 Jahre;5228;65
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;10 bis unter 20 Jahre;4825;31
1999;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;20 Jahre und mehr;2014;8
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;00 bis unter 1 Jahr;19801;4092
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;01 bis unter 3 Jahre;174329;7728
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;03 bis unter 5 Jahre;181948;4049
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;05 bis unter 10 Jahre;352078;4223
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;10 bis unter 20 Jahre;1016854;5935
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;20 Jahre und mehr;2381647;5900
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;00 bis unter 1 Jahr;814;194
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;01 bis unter 3 Jahre;2955;132
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;03 bis unter 5 Jahre;2357;56
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;05 bis unter 10 Jahre;3776;44
1999;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;10 bis unter 20 Jahre;2647;16
