Jahr;Stadtraum;Heizungsart;Anteil in %
2010;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;65,3
2010;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;0
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;19,5
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;78,7
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;1,8
2010;16 Gorbitz;Fernheizung;93,2
2010;16 Gorbitz;Zentralheizung oder Etagenheizung;6,8
2010;16 Gorbitz;Einzelraumheizung;0
2010;17 Briesnitz und westliche OS;Fernheizung;11,4
2010;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;87,8
2010;17 Briesnitz und westliche OS;Einzelraumheizung;0,9
2010;18 Dresden gesamt;Fernheizung;45,6
2010;18 Dresden gesamt;Zentralheizung oder Etagenheizung;53,3
2010;18 Dresden gesamt;Einzelraumheizung;1,1
2012;01 StB Altstadt ohne Johannstadt;Fernheizung;79,4
2012;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;20,6
2012;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0
2012;02 Johannstadt;Fernheizung;85
2012;02 Johannstadt;Zentralheizung oder Etagenheizung;15
2012;02 Johannstadt;Einzelraumheizung;0
2012;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;71,6
2012;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;27,2
2012;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;1,2
2012;04 Leipziger Vorstadt, Pieschen;Fernheizung;42,4
2012;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;56,2
2012;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;1,4
2012;05 Mickten, Kaditz, Trachau;Fernheizung;48,7
2012;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;51,3
2012;05 Mickten, Kaditz, Trachau;Einzelraumheizung;0
2012;06 StB Klotzsche und nördliche OS;Fernheizung;32,6
2012;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;64
2012;06 StB Klotzsche und nördliche OS;Einzelraumheizung;3,3
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;13
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;79,5
2012;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;7,5
2012;08 Blasewitz, Striesen;Fernheizung;59,2
2012;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;39,3
2012;08 Blasewitz, Striesen;Einzelraumheizung;1,5
2012;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;79,1
2012;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;20,9
2012;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;0
2012;10 StB Leuben;Fernheizung;54,3
2012;10 StB Leuben;Zentralheizung oder Etagenheizung;43,2
2012;10 StB Leuben;Einzelraumheizung;2,5
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;93
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;7
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0
