Jahr;Stadtraum;Heizungsart;Anteil in %
2020;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;3,6
2020;04 Leipziger Vorstadt, Pieschen;Fernheizung;29,7
2020;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;67,9
2020;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;2,4
2020;05 Mickten, Kaditz, Trachau;Fernheizung;33,6
2020;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;66,4
2020;05 Mickten, Kaditz, Trachau;Einzelraumheizung;0
2020;06 StB Klotzsche und nördliche OS;Fernheizung;22,1
2020;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;75,4
2020;06 StB Klotzsche und nördliche OS;Einzelraumheizung;2,5
2020;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;13,2
2020;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;84,7
2020;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;2,1
2020;08 Blasewitz, Striesen;Fernheizung;52,7
2020;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;45,8
2020;08 Blasewitz, Striesen;Einzelraumheizung;1,5
2020;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;64,1
2020;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;35,4
2020;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;0,4
2020;10 StB Leuben;Fernheizung;47,1
2020;10 StB Leuben;Zentralheizung oder Etagenheizung;51,6
2020;10 StB Leuben;Einzelraumheizung;1,3
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;86
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;13,6
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0,5
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;31,4
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;66,8
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;1,7
2020;13 Südvorstadt, Zschertnitz;Fernheizung;59
2020;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;39,1
2020;13 Südvorstadt, Zschertnitz;Einzelraumheizung;2
2020;14 Mockritz, Coschütz, Plauen;Fernheizung;35,1
2020;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;64,4
2020;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;0,5
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;26,5
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;72,7
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;0,9
2020;16 Gorbitz;Fernheizung;80
2020;16 Gorbitz;Zentralheizung oder Etagenheizung;20
2020;16 Gorbitz;Einzelraumheizung;0
2020;17 Briesnitz und westliche OS;Fernheizung;14,8
2020;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;84,8
2020;17 Briesnitz und westliche OS;Einzelraumheizung;0,4
2020;18 Dresden gesamt;Fernheizung;46,1
2020;18 Dresden gesamt;Zentralheizung oder Etagenheizung;52,5
2020;18 Dresden gesamt;Einzelraumheizung;1,4
2022;01 StB Altstadt ohne Johannstadt;Fernheizung;67,5
2022;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;32,5
2022;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;0
2022;02 Johannstadt;Fernheizung;84,9
2022;02 Johannstadt;Zentralheizung oder Etagenheizung;12
2022;02 Johannstadt;Einzelraumheizung;3
2022;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;49,8
2022;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;49
2022;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;1,3
2022;04 Leipziger Vorstadt, Pieschen;Fernheizung;36,3
2022;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;61,9
2022;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;1,7
2022;05 Mickten, Kaditz, Trachau;Fernheizung;44,8
2022;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;55
2022;05 Mickten, Kaditz, Trachau;Einzelraumheizung;0,2
2022;06 StB Klotzsche und nördliche OS;Fernheizung;25,9
2022;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;72,5
2022;06 StB Klotzsche und nördliche OS;Einzelraumheizung;1,6
2022;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;13,4
2022;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;84,6
2022;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;1,9
2022;08 Blasewitz, Striesen;Fernheizung;52,1
2022;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;46,9
2022;08 Blasewitz, Striesen;Einzelraumheizung;1
2022;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;67,7
2022;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;31,3
2022;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;1
2022;10 StB Leuben;Fernheizung;53,4
2022;10 StB Leuben;Zentralheizung oder Etagenheizung;46
2022;10 StB Leuben;Einzelraumheizung;0,6
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;73,1
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;26
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0,9
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;28,9
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;68,7
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;2,3
2022;13 Südvorstadt, Zschertnitz;Fernheizung;65
2022;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;32,7
2022;13 Südvorstadt, Zschertnitz;Einzelraumheizung;2,3
2022;14 Mockritz, Coschütz, Plauen;Fernheizung;31,2
2022;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;66,7
2022;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;2,1
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;31,2
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;65,4
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;3,3
2022;16 Gorbitz;Fernheizung;75,4
2022;16 Gorbitz;Zentralheizung oder Etagenheizung;24,6
2022;16 Gorbitz;Einzelraumheizung;0
2022;17 Briesnitz und westliche OS;Fernheizung;18,4
2022;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;80,3
2022;17 Briesnitz und westliche OS;Einzelraumheizung;1,3
2022;18 Dresden gesamt;Fernheizung;48,7
2022;18 Dresden gesamt;Zentralheizung oder Etagenheizung;49,9
2022;18 Dresden gesamt;Einzelraumheizung;1,4
2024;01 StB Altstadt ohne Johannstadt;Fernheizung;71,6
2024;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;27,3
2024;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;1,2
2024;02 Johannstadt;Fernheizung;75,4
2024;02 Johannstadt;Zentralheizung oder Etagenheizung;23,5
2024;02 Johannstadt;Einzelraumheizung;1,1
2024;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;59,2
2024;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;37,4
2024;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;3,4
2024;04 Leipziger Vorstadt, Pieschen;Fernheizung;37,1
2024;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;60,6
2024;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;2,4
2024;05 Mickten, Kaditz, Trachau;Fernheizung;40,6
2024;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;57,8
2024;05 Mickten, Kaditz, Trachau;Einzelraumheizung;1,6
2024;06 StB Klotzsche und nördliche OS;Fernheizung;27,4
2024;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;71,7
2024;06 StB Klotzsche und nördliche OS;Einzelraumheizung;0,9
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;11,1
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;86,3
2024;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;2,7
2024;08 Blasewitz, Striesen;Fernheizung;56,7
2024;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;42,4
2024;08 Blasewitz, Striesen;Einzelraumheizung;1
2024;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;69,8
2024;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;29
2024;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;1,1
2024;10 StB Leuben;Fernheizung;49,1
2024;10 StB Leuben;Zentralheizung oder Etagenheizung;50,2
2024;10 StB Leuben;Einzelraumheizung;0,6
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;77,4
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;18,4
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;4,2
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;31,6
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;65
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;3,5
2024;13 Südvorstadt, Zschertnitz;Fernheizung;61,9
2024;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;35,7
2024;13 Südvorstadt, Zschertnitz;Einzelraumheizung;2,4
2024;14 Mockritz, Coschütz, Plauen;Fernheizung;32,8
2024;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;66,7
2024;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;0,5
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;33,2
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;65,6
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;1,2
2024;16 Gorbitz;Fernheizung;86,9
2024;16 Gorbitz;Zentralheizung oder Etagenheizung;13,1
2024;16 Gorbitz;Einzelraumheizung;0
2024;17 Briesnitz und westliche OS;Fernheizung;26,3
2024;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;71,6
2024;17 Briesnitz und westliche OS;Einzelraumheizung;2,1
2024;18 Dresden gesamt;Fernheizung;50,2
2024;18 Dresden gesamt;Zentralheizung oder Etagenheizung;48,1
2024;18 Dresden gesamt;Einzelraumheizung;1,7
