Jahr;Monat;Betriebsart;Tourismus_Betriebe gesamt;Tourismus_Betriebe;Tourismus_Betten gesamt;Tourismus_Betten;Tourismus_Ankünfte;Tourismus_Übernachtungen
2002;08;sonstige;6;6;182;182;340;1521
2002;09;Hotels;65;51;11136;6674;48833;99174
2002;09;Hotels garni;24;23;2082;1885;13390;29771
2002;09;Gasthöfe;14;12;308;277;1316;2940
2002;09;Pensionen;33;31;803;779;2490;6380
2002;09;Jugendherbergen, Hütten und Hostels;6;6;829;816;4635;11585
2002;09;sonstige;6;5;182;122;416;1550
2002;10;Hotels;65;56;11136;8472;54633;119070
2002;10;Hotels garni;24;24;2081;2045;11468;25759
2002;10;Gasthöfe;14;12;308;277;1306;2976
2002;10;Pensionen;34;33;821;810;2631;8051
2002;10;Jugendherbergen, Hütten und Hostels;6;6;829;814;5153;12659
2002;10;sonstige;6;5;182;122;415;1612
2002;11;Hotels;65;59;11136;8966;51402;99833
2002;11;Hotels garni;24;24;2081;2045;9182;21155
2002;11;Gasthöfe;13;11;294;261;1045;2244
2002;11;Pensionen;34;33;821;810;2059;5873
2002;11;Jugendherbergen, Hütten und Hostels;6;6;878;863;3402;7297
2002;11;sonstige;6;5;182;122;361;1303
2002;12;Hotels;65;60;11136;9044;61160;123737
2002;12;Hotels garni;24;24;2081;2045;10517;22839
2002;12;Gasthöfe;13;11;294;261;1256;2363
2002;12;Pensionen;33;32;716;705;2308;5484
2002;12;Jugendherbergen, Hütten und Hostels;6;6;878;863;3534;7912
2002;12;sonstige;6;5;182;122;364;1183
2003;01;Hotels;65;61;11149;9125;27569;55689
2003;01;Hotels garni;24;24;2171;2155;5017;11878
2003;01;Gasthöfe;13;12;298;279;816;1843
2003;01;Pensionen;33;32;716;702;1413;3753
2003;01;Jugendherbergen, Hütten und Hostels;5;4;790;704;2512;4517
2003;01;sonstige;6;5;182;122;272;1228
2003;02;Hotels;65;62;11144;9726;34275;64019
2003;02;Hotels garni;24;24;2171;2137;5570;11960
2003;02;Gasthöfe;13;12;300;281;941;1715
2003;02;Pensionen;33;32;717;706;1428;4122
2003;02;Jugendherbergen, Hütten und Hostels;5;5;790;779;2638;6450
2003;02;sonstige;6;5;182;122;247;1061
2003;03;Hotels;65;64;11153;10490;54346;110256
2003;03;Hotels garni;24;24;2159;2137;8323;19253
2003;03;Gasthöfe;13;11;301;267;1145;2234
2003;03;Pensionen;33;31;720;698;2176;5536
2003;03;Jugendherbergen, Hütten und Hostels;5;5;790;778;4013;9220
2003;03;sonstige;6;6;182;182;354;1325
2003;04;Hotels;64;63;11111;10447;61257;128229
2003;04;Hotels garni;24;24;2159;2151;11871;26461
2003;04;Gasthöfe;13;12;301;282;1429;2971
2003;04;Pensionen;33;32;731;721;2727;7387
2003;04;Jugendherbergen, Hütten und Hostels;5;5;800;788;5281;12279
2003;04;sonstige;6;6;187;187;468;1555
2003;05;Hotels;65;64;11152;10493;90300;199853
2003;05;Hotels garni;24;24;2160;2150;16870;39191
2003;05;Gasthöfe;13;12;301;282;1978;3825
2003;05;Pensionen;33;33;731;730;3397;9095
2003;05;Jugendherbergen, Hütten und Hostels;5;5;800;788;6401;15516
2003;05;sonstige;6;6;187;187;645;1904
2003;06;Hotels;65;64;11155;10494;81326;170603
2003;06;Hotels garni;24;24;2162;2152;13786;32738
2003;06;Gasthöfe;13;12;301;282;1553;3713
2003;06;Pensionen;32;31;720;711;2866;7319
2003;06;Jugendherbergen, Hütten und Hostels;5;5;795;788;6578;14708
2003;06;sonstige;6;6;187;187;673;1912
2003;07;Hotels;64;62;11071;10406;77977;165871
2003;07;Hotels garni;24;24;2162;2137;12224;26751
2003;07;Gasthöfe;13;12;301;282;1526;3230
2003;07;Pensionen;32;32;720;720;2650;6897
2003;07;Jugendherbergen, Hütten und Hostels;5;5;795;788;6486;14183
2003;07;sonstige;6;6;187;187;644;2486
2003;08;Hotels;64;64;11071;10900;87645;185129
2003;08;Hotels garni;24;24;2162;2141;14182;30632
2003;08;Gasthöfe;13;12;301;282;1688;3606
2003;08;Pensionen;32;31;720;711;2740;7676
2003;08;Jugendherbergen, Hütten und Hostels;5;5;795;788;6187;13683
2003;08;sonstige;6;6;187;187;493;1936
2003;09;Hotels;64;64;10913;10901;94098;199707
2003;09;Hotels garni;24;24;2162;2140;16359;39372
2003;09;Gasthöfe;13;12;301;279;1667;3823
2003;09;Pensionen;32;30;720;642;2893;7530
2003;09;Jugendherbergen, Hütten und Hostels;5;5;795;783;5832;14844
2003;09;sonstige;6;6;187;187;568;1933
2003;10;Hotels;64;64;10913;10899;90000;186154
2003;10;Hotels garni;24;24;2162;2140;14690;33324
2003;10;Gasthöfe;18;17;384;354;2244;4494
