Jahr;Region;Einwohner;Einwohner (Promille);Haushalte;Haushalte (Promille);Kaufkraft (in Mio EUR);Kaufkraft (Promille);Kaufkraft pro Einwohner (in EUR);Kaufkraft pro Einwohner (Index);Kaufkraft pro Einwohner Index (Europa);Kaufkraft pro Haushalt (in EUR);Kaufkraft pro Haushalt (Index);Kaufkraft pro Haushalt Index (Europa);Einzelhandelskaufkraft (in Mio EUR);Einzelhandelskaufkraft (in Promille);Einzelhandelskaufkraft pro Einwohner (in EUR);Einzelhandelskaufkraft (Index);Einzelhandelsumsatz (in Mio EUR);Einzelhandelsumsatz (in Promille);Einzelhandelsumsatz pro Einwohner (in EUR);Einzelhandelsumsatz (Index);Einzelhandelszentralität
2016;Sachsen;4055274;49,9;2141234;53,6;75489,6;42,5;18615,2;85,1;136,2;35255,2;79,3;103,4;20850,4;44,8;5141,6;89,7;17692,3;43;4362,8;86,1;96
2016;Chemnitz;243521;3;133077;3,3;4736,9;2,7;19451,7;88,9;142,3;35595,2;80,1;104,4;1276,9;2,7;5243,3;91,5;1337,5;3,3;5492,3;108,4;118,5
2016;Dresden;536308;6,6;297159;7,4;10685,9;6;19924,9;91,1;145,7;35960,2;80,9;105,5;2925,1;6,3;5454,1;95,2;2867,2;7;5346,1;105,5;110,9
2016;Leipzig;544479;6,7;317413;7,9;10332,1;5,8;18976,1;86,7;138,8;32550,9;73,2;95,5;2859;6,1;5251;91,7;2660,1;6,5;4885,6;96,4;105,2
2017;Bundesrepublik Deutschland;82175684;1000;40628737;1000;1827500;1000;22238,9;100;159,6;44980,5;100;129,8;471700;1000;5740,1;100;415500;1000;5056,2;100;100
2017;Sachsen;4084851;49,7;2160311;53,2;77332,1;42,3;18931,4;85,1;135,8;35796,8;79,6;103,3;21040;44,6;5150,8;89,7;17802,9;42,8;4358,3;86,2;96,1
2017;Chemnitz;248645;3;134861;3,3;4896,1;2,7;19691;88,5;141,3;36304,5;80,7;104,8;1300,5;2,8;5230,4;91,1;1343,2;3,2;5402;106,8;117,3
2017;Dresden;543825;6,6;303140;7,5;10997,2;6;20222;90,9;145,1;36277,7;80,7;104,7;2972,6;6,3;5466;95,2;2953,3;7,1;5430,6;107,4;112,8
2017;Leipzig;560472;6,8;328183;8,1;10825,6;5,9;19315,2;86,9;138,6;32986,5;73,3;95,2;2954;6,3;5270,6;91,8;2742,8;6,6;4893,8;96,8;105,4
2018;Bundesrepublik Deutschland;82521653;1000;40771858;1000;1893800;1000;22949,1;100;160,6;46448,7;100;130,5;480700;1000;5825,1;100;419700;1000;5085,9;100;100
2018;Sachsen;4081783;49,5;2155088;52,9;80373,8;42,4;19690,9;85,8;137,8;37294,9;80,3;104,8;21376,4;44,5;5237;89,9;17864,2;42,6;4376,6;86,1;95,7
2018;Chemnitz;246353;3;134022;3,3;5007,3;2,6;20325,8;88,6;158,3;37361,9;80,4;114,7;1306,1;2,7;5301,7;91;1334,4;3,2;5416,5;106,5;117
2018;Dresden;547172;6,6;300917;7,4;11438,7;6;20905,2;91,1;147,7;38012,9;81,8;106,8;3040,4;6,3;5556,6;95,4;3007,3;7,2;5496;108,1;113,3
2018;Leipzig;571088;6,9;331339;8,1;11470;6,1;20084,5;87,5;144;34617,2;74,5;104,4;3065,2;6,4;5367,4;92,1;2756,9;6,6;4827,4;94,9;103
2019;Bundesrepublik Deutschland;82792351;1000;40995949;1000;1968700;1000;23778,8;100;161,3;48021,8;100;131,4;489400;1000;5911,2;100;423100;1000;5110,4;100;100
2019;Sachsen;4081308;49,3;2146521;52,4;83312,4;42,3;20413,2;85,8;138,5;38812,8;80,8;106,2;21759,9;44,5;5331,6;90,2;17926,8;42,4;4392,4;86;95,3
