Jahr;Stadtraum;Heizenergie;Anteil in %
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"50,7 "
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"11,3 "
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"2,7  "
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"0    "
1995;13 Südvorstadt, Zschertnitz;Kohle;"61,6 "
1995;13 Südvorstadt, Zschertnitz;Gas;"30,5 "
1995;13 Südvorstadt, Zschertnitz;Öl;"4,3  "
1995;13 Südvorstadt, Zschertnitz;Strom;"3,6  "
1995;13 Südvorstadt, Zschertnitz;sonstige;"0    "
1995;14 Mockritz, Coschütz, Plauen;Kohle;"38,8 "
1995;14 Mockritz, Coschütz, Plauen;Gas;"44,3 "
1995;14 Mockritz, Coschütz, Plauen;Öl;"11   "
1995;14 Mockritz, Coschütz, Plauen;Strom;"2,4  "
1995;14 Mockritz, Coschütz, Plauen;sonstige;"3,5  "
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"71   "
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"20,5 "
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"7,3  "
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"1,2  "
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"0    "
1995;16 Gorbitz;Kohle;"0    "
1995;16 Gorbitz;Gas;"0    "
1995;16 Gorbitz;Öl;"0    "
1995;16 Gorbitz;Strom;"0    "
1995;16 Gorbitz;sonstige;"0    "
1995;17 Briesnitz und westliche OS;Kohle;"48,7 "
1995;17 Briesnitz und westliche OS;Gas;"47,6 "
1995;17 Briesnitz und westliche OS;Öl;"1,6  "
1995;17 Briesnitz und westliche OS;Strom;"2,1  "
1995;17 Briesnitz und westliche OS;sonstige;"0    "
1995;18 Dresden gesamt;Kohle;"61,2 "
1995;18 Dresden gesamt;Gas;"29,2 "
1995;18 Dresden gesamt;Öl;"6,2  "
1995;18 Dresden gesamt;Strom;"2,7  "
1995;18 Dresden gesamt;sonstige;"0,7  "
1996;01 StB Altstadt ohne Johannstadt;Kohle;"51,3 "
1996;01 StB Altstadt ohne Johannstadt;Gas;"25,7 "
1996;01 StB Altstadt ohne Johannstadt;Öl;"14,1 "
1996;01 StB Altstadt ohne Johannstadt;Strom;"4,4  "
1996;01 StB Altstadt ohne Johannstadt;sonstige;"4,4  "
1996;02 Johannstadt;Kohle;"77,9 "
1996;02 Johannstadt;Gas;"10   "
1996;02 Johannstadt;Öl;"2,7  "
1996;02 Johannstadt;Strom;"9,4  "
1996;02 Johannstadt;sonstige;"0    "
1996;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"66   "
1996;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"27,1 "
1996;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"2,4  "
1996;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"4,6  "
1996;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"0    "
1996;04 Leipziger Vorstadt, Pieschen;Kohle;"54,5 "
1996;04 Leipziger Vorstadt, Pieschen;Gas;"39,7 "
1996;04 Leipziger Vorstadt, Pieschen;Öl;"1,9  "
1996;04 Leipziger Vorstadt, Pieschen;Strom;"3,9  "
1996;04 Leipziger Vorstadt, Pieschen;sonstige;"0    "
1996;05 Mickten, Kaditz, Trachau;Kohle;"46   "
1996;05 Mickten, Kaditz, Trachau;Gas;"41,4 "
1996;05 Mickten, Kaditz, Trachau;Öl;"8,2  "
1996;05 Mickten, Kaditz, Trachau;Strom;"3,1  "
1996;05 Mickten, Kaditz, Trachau;sonstige;"1,3  "
1996;06 StB Klotzsche und nördliche OS;Kohle;"19,8 "
1996;06 StB Klotzsche und nördliche OS;Gas;"53,7 "
1996;06 StB Klotzsche und nördliche OS;Öl;"22,5 "
1996;06 StB Klotzsche und nördliche OS;Strom;"4,1  "
1996;06 StB Klotzsche und nördliche OS;sonstige;"0    "
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"33,5 "
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"53,7 "
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"10,4 "
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"2,4  "
1996;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"0    "
