Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Genehmigungsjahr;Anzahl Gebäude;Wohnungen gesamt
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1999;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2000;3;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2001;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2002;3;30
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2004;3;8
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2005;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2006;4;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2007;4;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2008;3;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2009;7;12
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;4;3
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;7;5
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;3;5
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2013;5;10
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;5;74
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2015;24;533
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2016;6;41
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2017;14;373
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2019;2;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2020;14;110
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2021;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2022;2;45
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2023;18;306
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2024;3;14
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2025;8;162
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1992;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1993;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1994;8;1
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1995;1;3
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1996;1;4
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1997;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1998;1;3
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1999;4;57
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2000;11;95
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2001;9;102
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2002;27;310
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2003;2;11
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2004;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2005;1;3
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2006;3;126
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2007;1;3
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2008;4;8
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2009;5;8
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2010;1;3
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2012;6;13
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2013;6;76
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2014;4;2
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2015;3;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2016;1;0
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2017;2;2
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2018;2;1
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2019;2;224
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2020;10;110
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2021;4;131
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2024;7;17
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2025;2;21
03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2026;3;139
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1992;2;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1993;3;7
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1994;6;15
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1995;9;49
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1996;8;79
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1997;3;24
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;10;9
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1999;1;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2000;2;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2001;1;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2002;2;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2003;2;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2004;1;8
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2005;1;9
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2006;2;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2007;2;11
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2008;4;4
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2009;1;14
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;1;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;12;75
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;3;24
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2013;13;110
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;21;420
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2015;13;176
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2016;12;245
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2017;19;319
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2018;4;13
