Jahr;Stadtraum;Eigentümer des Gebäudes;Anteil in %
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;46,4
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;3,1
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;20,9
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;20,4
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;20,3
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;38,4
1995;13 Südvorstadt, Zschertnitz;Eigennutzung;1,6
1995;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;40,4
1995;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;50,4
1995;13 Südvorstadt, Zschertnitz;Eigentümer privat;7,6
1995;14 Mockritz, Coschütz, Plauen;Eigennutzung;17,1
1995;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;27,5
1995;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;19,6
1995;14 Mockritz, Coschütz, Plauen;Eigentümer privat;35,8
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;9,3
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;26,6
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;32,9
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;31,2
1995;16 Gorbitz;Eigennutzung;0,6
1995;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;72,4
1995;16 Gorbitz;Eigentümer Stadt;26,2
1995;16 Gorbitz;Eigentümer privat;0,8
1995;17 Briesnitz und westliche OS;Eigennutzung;24,1
1995;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;40,7
1995;17 Briesnitz und westliche OS;Eigentümer Stadt;9,1
1995;17 Briesnitz und westliche OS;Eigentümer privat;26,1
1995;18 Dresden gesamt;Eigennutzung;8,2
1995;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;35,4
1995;18 Dresden gesamt;Eigentümer Stadt;34,5
1995;18 Dresden gesamt;Eigentümer privat;21,9
1996;01 StB Altstadt ohne Johannstadt;Eigennutzung;1,2
1996;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;43,1
1996;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;48,4
1996;01 StB Altstadt ohne Johannstadt;Eigentümer privat;7,2
1996;02 Johannstadt;Eigennutzung;2,9
1996;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;48,7
1996;02 Johannstadt;Eigentümer Stadt;37,3
1996;02 Johannstadt;Eigentümer privat;11,2
1996;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;5,4
1996;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;4,3
1996;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;36,9
1996;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;53,3
1996;04 Leipziger Vorstadt, Pieschen;Eigennutzung;5,6
1996;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;29,2
1996;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;24,3
1996;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;40,8
1996;05 Mickten, Kaditz, Trachau;Eigennutzung;8,7
1996;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;35,9
1996;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;16,6
1996;05 Mickten, Kaditz, Trachau;Eigentümer privat;38,8
1996;06 StB Klotzsche und nördliche OS;Eigennutzung;32,7
1996;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;37,6
1996;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;5,6
1996;06 StB Klotzsche und nördliche OS;Eigentümer privat;24,1
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;47,4
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;1,7
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;8
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;42,9
1996;08 Blasewitz, Striesen;Eigennutzung;2,6
1996;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;39,6
1996;08 Blasewitz, Striesen;Eigentümer Stadt;16,4
1996;08 Blasewitz, Striesen;Eigentümer privat;41,3
1996;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;3,4
1996;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;42,2
1996;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;29,4
1996;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;24,9
1996;10 StB Leuben;Eigennutzung;13,8
1996;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;38
1996;10 StB Leuben;Eigentümer Stadt;22,3
1996;10 StB Leuben;Eigentümer privat;25,9
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;1,7
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;41,2
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;53
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;4,2
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;23,4
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;21,3
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;10,4
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;44,9
1996;13 Südvorstadt, Zschertnitz;Eigennutzung;4,6
1996;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;43,1
1996;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;37,6
1996;13 Südvorstadt, Zschertnitz;Eigentümer privat;14,8
1996;14 Mockritz, Coschütz, Plauen;Eigennutzung;19,5
1996;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;32,2
1996;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;19,2
1996;14 Mockritz, Coschütz, Plauen;Eigentümer privat;29
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;10,2
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;22,1
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;14,7
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;53,1
1996;16 Gorbitz;Eigennutzung;2,1
1996;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;73,3
1996;16 Gorbitz;Eigentümer Stadt;23,6
1996;16 Gorbitz;Eigentümer privat;1,1
1996;17 Briesnitz und westliche OS;Eigennutzung;37,3
1996;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;21,7
1996;17 Briesnitz und westliche OS;Eigentümer Stadt;5,9
1996;17 Briesnitz und westliche OS;Eigentümer privat;35
1996;18 Dresden gesamt;Eigennutzung;10,2
1996;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;36
1996;18 Dresden gesamt;Eigentümer Stadt;26,3
1996;18 Dresden gesamt;Eigentümer privat;27,5
1998;01 StB Altstadt ohne Johannstadt;Eigennutzung;1
1998;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;40,9
1998;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;41,5
1998;01 StB Altstadt ohne Johannstadt;Eigentümer privat;16,6
1998;02 Johannstadt;Eigennutzung;0
1998;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;46,9
1998;02 Johannstadt;Eigentümer Stadt;38,1
1998;02 Johannstadt;Eigentümer privat;15
1998;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;6,1
1998;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;8,2
1998;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;17
1998;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;68,8
1998;04 Leipziger Vorstadt, Pieschen;Eigennutzung;3,8
1998;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;27
1998;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;15,3
1998;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;53,9
1998;05 Mickten, Kaditz, Trachau;Eigennutzung;12,9
1998;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;32,9
1998;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;6,3
1998;05 Mickten, Kaditz, Trachau;Eigentümer privat;47,9
1998;06 StB Klotzsche und nördliche OS;Eigennutzung;29
1998;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;31,6
1998;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;6,6
1998;06 StB Klotzsche und nördliche OS;Eigentümer privat;32,9
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;35,5
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;2,3
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;3,7
1998;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;58,5
1998;08 Blasewitz, Striesen;Eigennutzung;4,8
1998;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;25,2
1998;08 Blasewitz, Striesen;Eigentümer Stadt;13,3
1998;08 Blasewitz, Striesen;Eigentümer privat;56,7
1998;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;4,1
1998;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;46,3
1998;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;25,3
1998;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;24,4
1998;10 StB Leuben;Eigennutzung;12,7
1998;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;38,5
1998;10 StB Leuben;Eigentümer Stadt;16,6
1998;10 StB Leuben;Eigentümer privat;32,2
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;5,3
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;40,6
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;45,1
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;9
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;20
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;18,9
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;10,4
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;50,7
1998;13 Südvorstadt, Zschertnitz;Eigennutzung;9,1
1998;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;37,7
1998;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;36,2
1998;13 Südvorstadt, Zschertnitz;Eigentümer privat;17
1998;14 Mockritz, Coschütz, Plauen;Eigennutzung;18,2
1998;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;28
1998;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;10
1998;14 Mockritz, Coschütz, Plauen;Eigentümer privat;43,9
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;7,5
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;19,8
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;12,2
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;60,5
1998;16 Gorbitz;Eigennutzung;3,5
1998;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;58,7
1998;16 Gorbitz;Eigentümer Stadt;31,1
1998;16 Gorbitz;Eigentümer privat;6,6
1998;17 Briesnitz und westliche OS;Eigennutzung;27,3
1998;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;20,8
1998;17 Briesnitz und westliche OS;Eigentümer Stadt;5,6
1998;17 Briesnitz und westliche OS;Eigentümer privat;46,3
1998;18 Dresden gesamt;Eigennutzung;9,8
1998;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;32
1998;18 Dresden gesamt;Eigentümer Stadt;21,1
1998;18 Dresden gesamt;Eigentümer privat;37,1
2002;01 StB Altstadt ohne Johannstadt;Eigennutzung;1,2
2002;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;40,2
2002;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;38,2
2002;01 StB Altstadt ohne Johannstadt;Eigentümer privat;20,5
2002;02 Johannstadt;Eigennutzung;2,6
2002;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;46,8
2002;02 Johannstadt;Eigentümer Stadt;35
2002;02 Johannstadt;Eigentümer privat;15,6
2002;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;3,2
2002;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;10,6
2002;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;9,7
2002;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;76,5
2002;04 Leipziger Vorstadt, Pieschen;Eigennutzung;7,4
2002;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;13,5
2002;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;9,3
2002;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;69,8
2002;05 Mickten, Kaditz, Trachau;Eigennutzung;11,9
2002;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;29,9
2002;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;4,7
2002;05 Mickten, Kaditz, Trachau;Eigentümer privat;53,5
2002;06 StB Klotzsche und nördliche OS;Eigennutzung;42,8
2002;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;15,8
2002;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;5,7
2002;06 StB Klotzsche und nördliche OS;Eigentümer privat;35,6
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;42,7
