Jahr;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_03A__-17-64-;Migrationshintergrund M2 (aggregiert);Anzahl Einwohner
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 17 Jahre;Deutsche mit Migrationshintergrund;536
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;00 - 17 Jahre;Ausländer;194
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;17074
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 64 Jahre;Deutsche mit Migrationshintergrund;480
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;18 - 64 Jahre;Ausländer;913
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;8554
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 Jahre u.älter;Deutsche mit Migrationshintergrund;110
2022;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;65 Jahre u.älter;Ausländer;103
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;7615
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 17 Jahre;Deutsche mit Migrationshintergrund;1219
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;00 - 17 Jahre;Ausländer;604
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;26952
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1343
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 64 Jahre;Ausländer;2937
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;10167
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;65 Jahre u.älter;Deutsche mit Migrationshintergrund;205
2022;08 Blasewitz, Striesen;StB 5 Blasewitz;65 Jahre u.älter;Ausländer;216
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;4666
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 17 Jahre;Deutsche mit Migrationshintergrund;674
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 17 Jahre;Ausländer;520
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;18565
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 64 Jahre;Deutsche mit Migrationshintergrund;793
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;18 - 64 Jahre;Ausländer;1860
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;10212
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;65 Jahre u.älter;Deutsche mit Migrationshintergrund;189
2022;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;65 Jahre u.älter;Ausländer;165
2022;10 StB Leuben;StB 6 Leuben;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5444
2022;10 StB Leuben;StB 6 Leuben;00 - 17 Jahre;Deutsche mit Migrationshintergrund;466
