Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;BedarfsGem. -insgesamt;BedarfsGem. -1 Person-;BedarfsGem. -2 Personen-;BedarfsGem. -3 u.mehr Personen-;Single-BG;Alleinerziehenden-BG;Partner-BG ohne Kinder;Partner-BG mit Kindern;BG mit Zahlungsanspruch Gesamtregelleistung;BG mit Zahlungsanspruch KdU;Personen in BG - insgesamt;Kinder in BG - insgesamt;Leistungsberechtigte (LB) - insgesamt;Nicht Leistungsberechtigte (NLB) - insgesamt;Regelleistungsberechtigte (RLB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - Männer;Erwerbsfähige Leistungsberechtigte (ELB) - Frauen;Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche;Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer;Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend;Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig;"Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ";Sonstige Leistungsberechtigte (SLB) - insgesamt
2023;3. Quartal;StB 8 Plauen;1935;1091;302;542;1091;332;132;344;1935;1851;3978;1395;3876;102;3847;2696;1344;1352;1058;1638;583;590;658;420;445;328;561;1151;29
2023;3. Quartal;StB 9 Cotta/westliche Ortschaften;4184;2520;731;933;2520;815;285;513;4180;4010;7631;2437;7362;269;7308;5346;2637;2709;3249;2097;1020;1158;1348;853;967;811;1123;1962;54
2023;3. Quartal;unbekannt;402;355;16;31;355;15;7;23;402;103;530;91;524;6;523;450;311;139;339;111;109;107;145;63;26;15;40;73;1
2023;4. Quartal;StB 0 Altstadt;3132;1855;540;737;1855;500;229;501;3126;3032;5930;1876;5755;175;5722;4147;2050;2097;1845;2302;838;915;955;666;773;498;909;1575;33
2023;4. Quartal;StB 1 Neustadt;2213;1554;327;332;1554;360;95;172;2213;2099;3462;893;3362;100;3340;2605;1425;1180;1678;927;453;655;681;431;385;354;642;735;22
2023;4. Quartal;StB 2 Pieschen;2155;1378;407;370;1378;458;123;162;2153;2068;3532;1001;3419;113;3388;2588;1286;1302;2072;516;406;516;730;442;494;453;671;800;31
2023;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;459;314;83;62;314;99;22;17;458;422;695;178;673;22;662;529;290;239;390;139;72;99;136;89;133;99;98;133;11
2023;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;421;304;64;53;304;73;20;21;419;385;623;155;599;24;590;475;233;242;364;111;47;77;121;97;133;72;111;115;9
2023;4. Quartal;StB 5 Blasewitz;2184;1373;428;383;1373;420;154;197;2184;2119;3624;994;3515;109;3493;2684;1243;1441;1799;885;420;489;692;478;605;414;590;809;22
2023;4. Quartal;StB 6 Leuben;1395;789;325;281;789;358;83;138;1395;1351;2499;821;2420;79;2412;1743;757;986;1286;457;303;367;425;260;388;357;354;669;8
