Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geborene
2013;55 Tolkewitz/Seidnitz-Nord;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;129
2013;56 Seidnitz/Dobritz;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;99
2013;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;136
2013;61 Leuben;StB 6 Leuben;10 StB Leuben;93
2013;62 Laubegast;StB 6 Leuben;10 StB Leuben;99
2013;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;71
2013;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;68
2013;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);57
2013;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);75
2013;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);55
2013;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);67
2013;75 Leubnitz-Neuostra;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);131
2013;76 Strehlen;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);20
2013;76 Strehlen;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);105
2013;77 Reick;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);50
2013;81 Südvorstadt-West;StB 8 Plauen;13 Südvorstadt, Zschertnitz;127
2013;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;48
2013;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;75
2013;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;58
2013;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;62
2013;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;165
2013;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;98
2013;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;153
2013;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;153
2013;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;192
2013;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;103
2013;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;84
2013;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;57
2013;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;55
2013;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;118
2013;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;40
