Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;Insgesamt;Männer;Frauen;Deutsche;Ausländer;nach SGB II;nach SGB III;Anzahl unter 25 Jahre;Anzahl 25 bis 34 Jahre;Anzahl 35 bis 44 Jahre;Anzahl 45 bis 54 Jahre;Anzahl über 55 Jahre;ohne Berufsausbildung;mit Berufsausbildung;mit akademischer Ausbildung
2021;1. Quartal;StB 1 Neustadt;2023;1231;792;1628;391;1208;815;149;641;641;335;257;672;781;570
2021;1. Quartal;StB 2 Pieschen;2039;1132;907;1787;252;1179;860;186;513;611;324;405;671;1083;285
2021;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;559;326;233;525;34;239;320;26;99;141;100;193;98;356;105
2021;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;594;323;271;547;47;221;373;42;87;145;132;188;123;336;135
2021;1. Quartal;StB 5 Blasewitz;2214;1233;981;1900;311;1188;1026;208;506;553;399;548;631;1145;437
2021;1. Quartal;StB 6 Leuben;1264;674;590;1142;122;750;514;118;284;301;243;318;415;732;117
2021;1. Quartal;StB 7 Prohlis;2909;1768;1141;2114;781;2086;823;298;749;688;579;595;1369;1274;266
2021;1. Quartal;StB 8 Plauen;2011;1213;798;1082;908;1377;634;207;625;520;314;345;973;658;380
2021;1. Quartal;StB 9 Cotta/westliche Ortschaften;3681;2136;1545;2855;816;2335;1346;369;957;933;624;798;1509;1775;395
2021;1. Quartal;unbekannt;213;159;54;192;20;179;34;47;76;60;20;10;154;54;5
2021;2. Quartal;StB 0 Altstadt;2458;1378;1080;1435;1007;1750;708;240;706;604;422;486;1153;822;483
2021;2. Quartal;StB 1 Neustadt;1822;1112;710;1461;355;1155;667;160;556;540;319;247;625;709;488
2021;2. Quartal;StB 2 Pieschen;1913;1063;850;1679;234;1220;693;168;497;540;319;389;686;992;235
2021;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;504;295;209;478;26;235;269;22;83;119;93;187;95;310;99
2021;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;504;276;228;464;39;205;299;28;65;123;107;181;105;284;115
2021;2. Quartal;StB 5 Blasewitz;2046;1120;926;1752;290;1168;878;183;451;501;372;539;581;1072;392
2021;2. Quartal;StB 6 Leuben;1171;609;562;1050;121;750;421;98;261;279;221;312;402;672;97
2021;2. Quartal;StB 7 Prohlis;2700;1619;1081;1987;698;2066;634;253;677;652;540;578;1306;1173;220
2021;2. Quartal;StB 8 Plauen;1852;1082;770;981;847;1297;555;189;558;477;280;348;927;586;339
2021;2. Quartal;StB 9 Cotta/westliche Ortschaften;3378;1959;1419;2623;748;2282;1096;333;853;864;567;761;1424;1574;380
2021;2. Quartal;unbekannt;232;181;51;208;22;192;40;45;84;67;24;12;157;66;9
2021;3. Quartal;StB 0 Altstadt;2327;1301;1026;1369;958;1716;611;247;639;583;398;460;1093;816;418
2021;3. Quartal;StB 1 Neustadt;1730;1020;710;1394;336;1101;629;154;531;494;309;242;577;670;483
2021;3. Quartal;StB 2 Pieschen;1790;985;805;1573;217;1178;612;135;446;528;310;371;614;973;202
2021;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;486;281;205;454;32;247;239;39;76;114;80;177;99;293;94
2021;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;500;282;218;459;41;208;292;24;68;119;106;183;94;294;112
2021;3. Quartal;StB 5 Blasewitz;1975;1050;925;1668;307;1176;799;167;414;492;352;550;556;1041;376
2021;3. Quartal;StB 6 Leuben;1117;592;525;1009;108;733;384;89;258;260;204;306;364;652;100
2021;3. Quartal;StB 7 Prohlis;2525;1478;1047;1899;626;1942;583;237;632;611;482;563;1218;1091;216
2021;3. Quartal;StB 8 Plauen;1677;974;703;908;769;1181;496;172;487;430;260;328;807;544;325
2021;3. Quartal;StB 9 Cotta/westliche Ortschaften;3161;1783;1378;2500;661;2217;944;301;771;812;542;735;1328;1507;326
2021;3. Quartal;unbekannt;222;180;42;195;27;186;36;31;86;65;28;12;139;72;11
2021;4. Quartal;StB 0 Altstadt;2138;1203;935;1275;863;1580;558;200;601;530;363;444;988;752;398
2021;4. Quartal;StB 1 Neustadt;1589;955;634;1280;309;1025;564;114;481;459;297;238;526;623;440
2021;4. Quartal;StB 2 Pieschen;1723;965;758;1517;206;1144;579;108;423;527;299;366;601;909;213
2021;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;422;259;163;393;29;213;209;28;64;106;65;159;84;253;85
2021;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;456;265;191;420;36;198;258;21;61;103;89;182;94;251;111
2021;4. Quartal;StB 5 Blasewitz;1838;1024;814;1554;284;1111;727;131;370;467;341;529;507;983;347
2021;4. Quartal;StB 6 Leuben;1070;575;495;977;93;725;345;92;212;270;204;292;343;625;101
2021;4. Quartal;StB 7 Prohlis;2444;1427;1017;1827;617;1910;534;200;583;620;490;551;1187;1060;196
2021;4. Quartal;StB 8 Plauen;1542;912;630;874;668;1082;460;140;437;395;247;323;728;513;301
2021;4. Quartal;StB 9 Cotta/westliche Ortschaften;3030;1756;1274;2386;644;2160;870;281;758;749;514;728;1261;1465;304
2021;4. Quartal;unbekannt;209;171;38;187;22;178;31;35;62;65;36;11;125;69;15
2022;1. Quartal;StB 0 Altstadt;2201;1249;952;1283;918;1630;571;228;602;531;376;464;1044;761;395
2022;1. Quartal;StB 1 Neustadt;1632;964;668;1309;323;1018;614;130;491;478;281;252;545;662;425
2022;1. Quartal;StB 2 Pieschen;1685;936;749;1486;199;1126;559;110;383;553;273;366;590;900;195
2022;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;462;289;173;429;33;231;231;34;74;112;76;166;96;277;89
2022;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;444;262;182;410;34;206;238;25;44;100;85;190;96;250;98
2022;1. Quartal;StB 5 Blasewitz;1786;978;808;1505;281;1079;707;131;340;456;331;528;507;968;311
2022;1. Quartal;StB 6 Leuben;1074;577;497;960;114;736;338;95;209;267;201;302;364;613;96
2022;1. Quartal;StB 7 Prohlis;2488;1466;1022;1831;657;1964;524;232;602;616;480;558;1240;1061;186
2022;1. Quartal;StB 8 Plauen;1571;923;648;870;701;1105;466;147;437;417;255;315;766;513;292
2022;1. Quartal;StB 9 Cotta/westliche Ortschaften;3074;1773;1301;2381;693;2183;891;298;746;779;516;735;1322;1473;279
2022;1. Quartal;unbekannt;221;180;41;189;32;186;35;33;73;69;36;10;140;67;14
2022;2. Quartal;StB 0 Altstadt;2437;1210;1227;1196;1241;1864;573;256;655;612;407;507;1314;738;385
2022;2. Quartal;StB 1 Neustadt;1872;970;902;1249;623;1224;648;165;548;555;317;287;799;632;441
2022;2. Quartal;StB 2 Pieschen;1801;944;857;1431;370;1286;515;145;429;551;295;381;771;840;190
2022;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;554;273;281;391;163;323;231;46;83;144;101;180;215;253;86
2022;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;596;272;324;413;183;338;258;49;84;163;99;201;242;237;117
2022;2. Quartal;StB 5 Blasewitz;2053;984;1069;1431;622;1361;692;165;399;537;371;581;832;909;312
2022;2. Quartal;StB 6 Leuben;1204;575;629;920;284;863;341;108;250;304;217;325;527;578;98
2022;2. Quartal;StB 7 Prohlis;2695;1413;1282;1695;1000;2177;518;262;642;698;513;580;1520;982;192
2022;2. Quartal;StB 8 Plauen;1794;934;860;835;959;1325;469;182;460;495;298;359;1029;481;284
2022;2. Quartal;StB 9 Cotta/westliche Ortschaften;3282;1712;1570;2213;1069;2456;826;330;798;834;569;751;1634;1353;295
2022;2. Quartal;unbekannt;384;211;173;191;193;328;56;63;100;120;54;47;283;76;25
2022;3. Quartal;StB 0 Altstadt;2356;1204;1152;1151;1205;1822;534;254;630;586;414;472;1237;731;388
2022;3. Quartal;StB 1 Neustadt;1778;955;823;1300;478;1187;591;164;509;533;303;269;702;642;434
2022;3. Quartal;StB 2 Pieschen;1743;903;840;1445;298;1218;525;152;400;529;299;363;682;865;196
2022;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;478;257;221;390;88;271;207;41;83;123;69;162;129;263;86
2022;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;510;253;257;401;109;284;226;32;78;126;91;183;173;221;116
2022;3. Quartal;StB 5 Blasewitz;2013;1015;998;1475;538;1296;717;170;381;531;343;588;724;952;337
