Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;Insgesamt;Männer;Frauen;Deutsche;Ausländer;nach SGB II;nach SGB III;Anzahl unter 25 Jahre;Anzahl 25 bis 34 Jahre;Anzahl 35 bis 44 Jahre;Anzahl 45 bis 54 Jahre;Anzahl über 55 Jahre;ohne Berufsausbildung;mit Berufsausbildung;mit akademischer Ausbildung
2024;1. Quartal;StB 2 Pieschen;1924;1074;850;1623;301;1219;705;149;407;601;341;426;657;976;291
2024;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;508;300;208;423;85;255;253;42;80;126;87;173;108;295;105
2024;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;513;270;243;438;75;252;261;27;68;136;109;173;128;258;127
2024;1. Quartal;StB 5 Blasewitz;2133;1132;1001;1623;510;1235;898;181;468;557;368;559;625;1043;465
2024;1. Quartal;StB 6 Leuben;1272;653;619;1027;245;848;424;132;236;318;214;372;441;691;140
2024;1. Quartal;StB 7 Prohlis;3037;1670;1367;1912;1125;2373;664;345;662;813;543;674;1493;1196;348
2024;1. Quartal;StB 8 Plauen;1816;1002;814;969;847;1243;573;184;426;496;317;393;867;577;372
2024;1. Quartal;StB 9 Cotta/westliche Ortschaften;3628;2064;1564;2475;1153;2496;1132;382;883;940;598;825;1610;1593;425
2024;1. Quartal;unbekannt;359;252;107;264;95;278;81;59;94;130;48;28;208;107;44
2024;2. Quartal;StB 0 Altstadt;2816;1534;1282;1481;1335;2025;791;307;749;732;454;574;1309;883;624
2024;2. Quartal;StB 1 Neustadt;2023;1204;819;1477;546;1272;751;212;592;590;339;290;726;699;598
2024;2. Quartal;StB 2 Pieschen;1958;1076;882;1654;304;1286;672;158;419;596;349;436;652;1012;294
2024;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;497;281;216;422;75;248;249;43;83;121;89;161;104;288;104
2024;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;517;275;242;443;74;251;266;37;74;134;110;162;131;256;130
2024;2. Quartal;StB 5 Blasewitz;2168;1138;1030;1646;522;1283;885;176;475;574;385;558;644;1040;484
2024;2. Quartal;StB 6 Leuben;1318;663;655;1053;265;890;428;142;264;327;213;372;468;687;163
2024;2. Quartal;StB 7 Prohlis;3124;1719;1405;1932;1192;2450;674;362;697;815;581;669;1566;1188;370
2024;2. Quartal;StB 8 Plauen;1833;966;867;974;859;1244;589;189;449;486;311;398;861;577;395
2024;2. Quartal;StB 9 Cotta/westliche Ortschaften;3771;2107;1664;2558;1213;2672;1099;406;933;961;626;845;1710;1585;475
2024;2. Quartal;unbekannt;388;273;115;288;100;311;77;65;115;128;57;23;240;102;46
2024;3. Quartal;StB 0 Altstadt;2853;1538;1315;1509;1344;1988;865;297;770;751;468;567;1315;908;630
2024;3. Quartal;StB 1 Neustadt;2127;1209;918;1588;539;1281;846;202;659;614;347;305;742;761;624
2024;3. Quartal;StB 2 Pieschen;2033;1092;941;1715;318;1294;739;195;448;627;360;403;689;1027;316
2024;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;514;298;216;446;68;258;256;51;83;124;97;159;110;310;93
2024;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;525;279;246;455;70;245;280;35;69;138;104;179;116;267;142
2024;3. Quartal;StB 5 Blasewitz;2205;1130;1075;1697;508;1272;933;187;482;568;409;559;634;1086;485
2024;3. Quartal;StB 6 Leuben;1343;678;665;1102;241;879;464;154;254;333;236;366;450;738;155
2024;3. Quartal;StB 7 Prohlis;3103;1696;1407;1917;1186;2380;723;370;686;823;552;672;1510;1213;380
2024;3. Quartal;StB 8 Plauen;1781;942;839;955;826;1206;575;171;427;481;325;377;819;578;384
2024;3. Quartal;StB 9 Cotta/westliche Ortschaften;3787;2094;1693;2595;1192;2625;1162;424;896;1005;631;831;1661;1633;493
2024;3. Quartal;unbekannt;367;248;119;272;95;280;87;60;106;124;52;25;223;90;54
2024;4. Quartal;StB 0 Altstadt;2805;1535;1270;1502;1303;1954;851;284;731;745;469;576;1285;928;592
2024;4. Quartal;StB 1 Neustadt;2043;1200;843;1509;534;1267;776;164;611;615;356;297;711;715;617
2024;4. Quartal;StB 2 Pieschen;1982;1085;897;1662;320;1265;717;152;440;601;366;423;684;978;320
2024;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;542;311;231;461;81;268;274;40;87;140;104;171;119;319;103
2024;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;518;281;237;450;68;235;283;33;63;136;105;181;106;274;138
2024;4. Quartal;StB 5 Blasewitz;2134;1142;992;1673;461;1242;892;156;472;570;378;558;604;1057;473
2024;4. Quartal;StB 6 Leuben;1287;656;631;1040;247;863;424;137;248;326;226;350;457;682;148
2024;4. Quartal;StB 7 Prohlis;3113;1704;1409;1888;1225;2417;696;320;716;821;564;692;1545;1212;356
2024;4. Quartal;StB 8 Plauen;1740;932;808;939;801;1164;576;174;418;454;310;384;793;575;372
