Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Baujahrgr-18-45-69-90-;Gebäudeart;Anzahl Wohnungen;Anzahl leerstehende Wohnungen
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Mehrfamilienhaus;1145;387
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Eigenheim;54;19
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Mehrfamilienhaus;367;92
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Eigenheim;15;0
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Mehrfamilienhaus;177;54
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Eigenheim;18;3
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Mehrfamilienhaus;1069;164
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Eigenheim;1;0
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Mehrfamilienhaus;1229;302
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Eigenheim;20;4
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Mehrfamilienhaus;1322;590
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Eigenheim;3;2
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Mehrfamilienhaus;28;19
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Mehrfamilienhaus;322;30
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Eigenheim;1;0
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Mehrfamilienhaus;1504;87
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Mehrfamilienhaus;356;139
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;" bis 1918";Eigenheim;40;12
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;" bis 1918";Mehrfamilienhaus;4174;1876
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1919 - 1945;Eigenheim;112;5
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1919 - 1945;Mehrfamilienhaus;1518;313
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1946 - 1969;Eigenheim;8;1
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1946 - 1969;Mehrfamilienhaus;177;13
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1970 - 1990;Eigenheim;3;0
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;ab 1991;Eigenheim;1;0
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;ab 1991;Mehrfamilienhaus;527;140
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Eigenheim;2;0
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;" bis 1918";Mehrfamilienhaus;188;61
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1919 - 1945;Mehrfamilienhaus;241;53
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Eigenheim;16;3
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1946 - 1969;Mehrfamilienhaus;190;137
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Eigenheim;11;2
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1970 - 1990;Mehrfamilienhaus;250;37
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Eigenheim;1;0
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;ab 1991;Mehrfamilienhaus;214;154
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;" bis 1918";Eigenheim;31;15
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;" bis 1918";Mehrfamilienhaus;4255;1683
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1919 - 1945;Eigenheim;12;2
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1919 - 1945;Mehrfamilienhaus;1238;361
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1946 - 1969;Mehrfamilienhaus;44;5
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1970 - 1990;Eigenheim;1;0
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1970 - 1990;Mehrfamilienhaus;12;4
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;ab 1991;Eigenheim;14;2
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;ab 1991;Mehrfamilienhaus;800;242
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;" bis 1918";Eigenheim;103;21
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;" bis 1918";Mehrfamilienhaus;2618;1070
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1919 - 1945;Eigenheim;10;1
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1919 - 1945;Mehrfamilienhaus;1317;423
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1946 - 1969;Eigenheim;8;0
