Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Fertigstellungsjahr;Anzahl Gebäude;Wohnungen gesamt
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2024;24;405
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2025;3;4
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2026;1;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;unbekannt;13;46
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1993;1;16
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1994;3;10
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1995;4;22
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1996;8;5
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1997;5;104
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1998;2;16
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;1999;6;54
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2000;1;13
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2001;4;17
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2002;11;171
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2003;4;56
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2005;2;20
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2006;1;2
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2007;3;30
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2010;1;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2011;7;448
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2013;1;1
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2014;4;108
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2015;47;736
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2016;11;76
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2017;2;9
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2018;5;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2019;7;26
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2020;4;102
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2021;1;0
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2023;2;80
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2024;4;26
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;2025;1;9
04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Umbau;unbekannt;6;37
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1992;1;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1993;9;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1994;5;12
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1995;11;63
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1996;19;313
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1997;33;597
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;6;53
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1999;10;8
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2000;5;20
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2001;8;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2002;3;104
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2003;2;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2004;4;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2005;4;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2006;3;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2007;4;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2008;3;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2009;4;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;4;1
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;3;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;6;0
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2013;5;12
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;38;46
05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2015;21;107
