Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2016;3. Quartal;09;25-Herst. von Metallerzeugnissen;10750;1541;874;9895;1653;1234
2016;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;262719;180120;158886;264548;-;-
2016;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;29729;11432;1534;23445;8187;1984
2016;3. Quartal;09;28-Maschinenbau;69732;56045;6905;66947;50670;2903
2016;3. Quartal;09;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2016;4. Quartal;10;Verarbeitendes Gewerbe gesamt;392592;231301;180734;342785;190574;137547
2016;4. Quartal;10;13-Herst. von Textilien;-;-;-;-;-;-
2016;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;6077;2401;1740;6906;2483;1934
2016;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;31916;-;-;31127;-;-
2016;4. Quartal;10;25-Herst. von Metallerzeugnissen;14994;1984;1706;7993;1039;789
2016;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;238381;-;-;197211;-;-
2016;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;31147;7474;859;22560;9828;1613
2016;4. Quartal;10;28-Maschinenbau;58007;29456;4717;54355;27300;3228
2016;4. Quartal;10;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2016;4. Quartal;11;Verarbeitendes Gewerbe gesamt;434193;280101;187024;440429;281533;216273
2016;4. Quartal;11;13-Herst. von Textilien;-;-;-;-;-;-
2016;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;7829;2554;1885;7638;2694;1983
2016;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;-;-;-
2016;4. Quartal;11;25-Herst. von Metallerzeugnissen;10661;1513;790;10188;2148;1125
2016;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;244922;-;-;268795;-;-
2016;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;22660;6968;915;26215;11109;1046
2016;4. Quartal;11;28-Maschinenbau;84015;65488;4758;65907;39494;8664
2016;4. Quartal;11;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2016;4. Quartal;12;Verarbeitendes Gewerbe gesamt;405948;256887;203260;417741;262778;179311
2016;4. Quartal;12;13-Herst. von Textilien;-;-;-;-;-;-
2016;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;6311;2202;1482;6478;2088;1460
2016;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;36456;-;-
2016;4. Quartal;12;25-Herst. von Metallerzeugnissen;14201;-;-;9655;-;-
2016;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;254780;-;-;224061;-;-
2016;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;22356;7589;1005;28060;10943;2798
2016;4. Quartal;12;28-Maschinenbau;54811;26910;5827;90140;65588;10846
2016;4. Quartal;12;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;1. Quartal;01;Verarbeitendes Gewerbe gesamt;425117;284663;158525;346319;204766;155608
2017;1. Quartal;01;13-Herst. von Textilien;-;-;-;-;-;-
2017;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;5936;2720;1742;5691;2385;1574
2017;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;23168;-;-;24776;-;-
2017;1. Quartal;01;25-Herst. von Metallerzeugnissen;9521;708;481;8863;1225;946
2017;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;235774;161702;132171;223498;-;-
2017;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;26553;11502;1016;24423;10802;1033
2017;1. Quartal;01;28-Maschinenbau;98535;84546;3509;30473;19207;3005
2017;1. Quartal;01;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;1. Quartal;02;Verarbeitendes Gewerbe gesamt;368715;221592;178581;342285;188987;147039
2017;1. Quartal;02;13-Herst. von Textilien;-;-;-;-;-;-
2017;1. Quartal;02;20-Herst. von chemischen Erzeugnissen;6275;2348;1715;6258;2559;1692
2017;1. Quartal;02;21-Herst. von pharmazeutischen Erzeugnissen;23406;-;-;26593;-;-
