Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2020;3. Quartal;08;25-Herst. von Metallerzeugnissen;7942;-;-;3610;-;-
2020;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;189700;127604;85689;190665;129727;94370
2020;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;20644;-;-;20689;-;-
2020;3. Quartal;08;28-Maschinenbau;52564;32988;4983;41686;26454;6697
2020;3. Quartal;08;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;3. Quartal;08;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;3. Quartal;09;Verarbeitendes Gewerbe gesamt;341517;201389;125553;383702;215559;113523
2020;3. Quartal;09;13-Herst. von Textilien;-;-;-;-;-;-
2020;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;6500;2392;1739;6558;2339;1473
2020;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;22663;-;-;25455;-;-
2020;3. Quartal;09;25-Herst. von Metallerzeugnissen;5579;-;-;6040;-;-
2020;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;181056;134069;92505;158116;122077;81321
2020;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;14264;5739;856;26493;12428;1344
2020;3. Quartal;09;28-Maschinenbau;53639;37124;11265;83121;56899;9546
2020;3. Quartal;09;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;3. Quartal;09;30-Sonstiger Fahrzeugbau;16682;4658;2053;-;-;-
2020;4. Quartal;10;Verarbeitendes Gewerbe gesamt;390039;200172;129747;348555;184489;115772
2020;4. Quartal;10;13-Herst. von Textilien;-;-;-;-;-;-
2020;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;7335;2593;1582;8221;2591;1746
2020;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;25997;-;-;26107;-;-
2020;4. Quartal;10;25-Herst. von Metallerzeugnissen;6263;409;251;6847;-;-
2020;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;182027;126591;86547;158436;104359;67941
2020;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;16862;4083;2564;22113;14456;6486
2020;4. Quartal;10;28-Maschinenbau;61573;38123;13598;53590;31924;16864
2020;4. Quartal;10;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;4. Quartal;10;30-Sonstiger Fahrzeugbau;27227;9493;6379;-;-;-
2020;4. Quartal;11;Verarbeitendes Gewerbe gesamt;393536;247700;153392;400981;209334;120687
2020;4. Quartal;11;13-Herst. von Textilien;-;-;-;-;-;-
2020;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;6576;2411;1576;7201;2621;1749
2020;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;26256;-;-;26031;-;-
2020;4. Quartal;11;25-Herst. von Metallerzeugnissen;6506;-;-;5259;-;-
2020;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;182972;133801;91959;170131;120641;80973
2020;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;15312;8402;1722;19445;7689;1323
2020;4. Quartal;11;28-Maschinenbau;72286;50737;8053;71900;52220;18126
2020;4. Quartal;11;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;4. Quartal;11;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2020;4. Quartal;12;Verarbeitendes Gewerbe gesamt;452945;309274;160195;558980;351313;233197
2020;4. Quartal;12;13-Herst. von Textilien;-;-;-;-;-;-
2020;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;6100;2326;1503;6106;2199;1377
2020;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;35786;-;-;34161;-;-
2020;4. Quartal;12;25-Herst. von Metallerzeugnissen;6298;-;-;5159;-;-
2020;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;214759;137082;88355;264731;187024;143703
2020;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;21182;4684;1938;24856;11660;2220
2020;4. Quartal;12;28-Maschinenbau;77972;56561;17699;132999;84375;35606
2020;4. Quartal;12;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2020;4. Quartal;12;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;1. Quartal;01;Verarbeitendes Gewerbe gesamt;359517;223784;62200;306776;200814;44851
2021;1. Quartal;01;13-Herst. von Textilien;0;0;0;-;-;-
2021;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;5584;2134;1447;5570;-;-
2021;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;24991;-;-;27498;-;-
2021;1. Quartal;01;25-Herst. von Metallerzeugnissen;5293;-;-;5089;-;-
2021;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;218974;147855;22597;175850;113626;14998
2021;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;14899;9526;1220;18525;12657;3553
2021;1. Quartal;01;28-Maschinenbau;67650;43817;17490;61570;50862;5931
2021;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;1. Quartal;01;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;1. Quartal;02;Verarbeitendes Gewerbe gesamt;440264;260566;52007;304786;191492;42992
2021;1. Quartal;02;13-Herst. von Textilien;0;0;0;-;-;-
2021;1. Quartal;02;20-Herst. von chemischen Erzeugnissen;5902;1985;1184;5297;2206;1371
2021;1. Quartal;02;21-Herst. von pharmazeutischen Erzeugnissen;24309;-;-;25068;-;-
2021;1. Quartal;02;25-Herst. von Metallerzeugnissen;5755;-;-;4436;-;-
2021;1. Quartal;02;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;218794;162553;17327;173144;121596;13551
2021;1. Quartal;02;27-Herst. von elektrischen Ausrüstungen;29790;-;-;19751;-;-
2021;1. Quartal;02;28-Maschinenbau;128909;56942;11683;51190;35833;6378
2021;1. Quartal;02;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;1. Quartal;02;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;1. Quartal;03;Verarbeitendes Gewerbe gesamt;463862;306963;82994;493865;355613;52681
2021;1. Quartal;03;13-Herst. von Textilien;0;0;0;-;-;-
2021;1. Quartal;03;20-Herst. von chemischen Erzeugnissen;8059;2941;1827;7219;2673;1551
2021;1. Quartal;03;21-Herst. von pharmazeutischen Erzeugnissen;27173;-;-;28594;-;-
2021;1. Quartal;03;25-Herst. von Metallerzeugnissen;8083;-;-;5549;-;-
2021;1. Quartal;03;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;243588;176264;23187;206802;142431;19205
2021;1. Quartal;03;27-Herst. von elektrischen Ausrüstungen;30063;21655;2451;23963;11416;2116
2021;1. Quartal;03;28-Maschinenbau;93343;53742;10580;188024;-;-
2021;1. Quartal;03;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;1. Quartal;03;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;2. Quartal;04;Verarbeitendes Gewerbe gesamt;447976;288277;114970;308701;192943;49125
2021;2. Quartal;04;13-Herst. von Textilien;0;0;0;-;-;-
2021;2. Quartal;04;20-Herst. von chemischen Erzeugnissen;5191;1990;1588;5128;2050;1481
2021;2. Quartal;04;21-Herst. von pharmazeutischen Erzeugnissen;23609;-;-;25474;-;-
2021;2. Quartal;04;25-Herst. von Metallerzeugnissen;6213;-;-;7264;-;-
2021;2. Quartal;04;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;219178;148398;22391;167635;113910;18717
2021;2. Quartal;04;27-Herst. von elektrischen Ausrüstungen;25214;8022;1444;21729;9335;1550
2021;2. Quartal;04;28-Maschinenbau;78204;42596;6969;40162;25604;6575
2021;2. Quartal;04;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;2. Quartal;04;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;2. Quartal;05;Verarbeitendes Gewerbe gesamt;440840;278810;100343;379631;248628;72603
2021;2. Quartal;05;13-Herst. von Textilien;0;0;0;-;-;-
2021;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;5229;2402;1716;5419;2123;1296
2021;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;41263;-;-
2021;2. Quartal;05;25-Herst. von Metallerzeugnissen;5017;-;-;5058;-;-
2021;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;220849;148105;24178;235842;168901;19870
2021;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;26136;9921;5102;19949;9443;4329
2021;2. Quartal;05;28-Maschinenbau;80347;51546;26487;38916;23658;8191
2021;2. Quartal;05;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;2. Quartal;05;30-Sonstiger Fahrzeugbau;-;-;-;18664;-;-
2021;2. Quartal;06;Verarbeitendes Gewerbe gesamt;642517;467590;160604;400918;255285;73132
2021;2. Quartal;06;13-Herst. von Textilien;0;0;0;-;-;-
2021;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;5265;1877;1396;5568;2011;1267
2021;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;41644;-;-
2021;2. Quartal;06;25-Herst. von Metallerzeugnissen;6104;540;333;6754;-;-
2021;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;221578;142180;20872;231173;156491;20605
2021;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;26281;9023;5051;26256;16734;4425
2021;2. Quartal;06;28-Maschinenbau;183683;145061;15269;53264;32831;6343
2021;2. Quartal;06;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;2. Quartal;06;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;3. Quartal;07;Verarbeitendes Gewerbe gesamt;463146;280419;97508;395768;254130;70581
2021;3. Quartal;07;13-Herst. von Textilien;0;0;0;-;-;-
2021;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;5603;2367;1474;5152;1729;1124
2021;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;38954;-;-
2021;3. Quartal;07;25-Herst. von Metallerzeugnissen;18619;-;-;6662;-;-
2021;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;214940;140352;18041;205334;137572;17381
2021;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;29721;11395;1364;17025;10876;6510
2021;3. Quartal;07;28-Maschinenbau;114216;69843;28032;66975;37718;5568
2021;3. Quartal;07;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;3. Quartal;07;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;3. Quartal;08;Verarbeitendes Gewerbe gesamt;428082;251123;72574;373906;229944;62392
2021;3. Quartal;08;13-Herst. von Textilien;0;0;0;-;-;-
2021;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;6487;1585;1145;4896;1928;1199
2021;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;40924;-;-
2021;3. Quartal;08;25-Herst. von Metallerzeugnissen;5664;-;-;6314;-;-
2021;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;224963;140159;17686;217978;138265;14364
2021;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;30510;9990;4381;20656;10010;876
2021;3. Quartal;08;28-Maschinenbau;80693;52799;8814;51140;30187;5790
2021;3. Quartal;08;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;3. Quartal;08;30-Sonstiger Fahrzeugbau;13311;-;-;-;-;-
2021;3. Quartal;09;Verarbeitendes Gewerbe gesamt;603971;407090;112429;453931;269772;86607
2021;3. Quartal;09;13-Herst. von Textilien;0;0;0;-;-;-
2021;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;5890;2151;1608;6643;2290;1610
2021;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;44079;-;-
2021;3. Quartal;09;25-Herst. von Metallerzeugnissen;5774;523;418;6980;-;-
2021;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;273455;172618;29730;252586;152888;28302
2021;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;24684;10533;1803;27344;14518;7489
2021;3. Quartal;09;28-Maschinenbau;178345;146475;15499;62148;38770;7409
2021;3. Quartal;09;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;3. Quartal;09;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;4. Quartal;10;Verarbeitendes Gewerbe gesamt;436636;275980;93512;389394;246208;74218
2021;4. Quartal;10;13-Herst. von Textilien;0;0;0;-;-;-
2021;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;6706;2321;1595;7854;2378;1506
2021;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;38338;-;-
2021;4. Quartal;10;25-Herst. von Metallerzeugnissen;7429;2261;1294;6830;-;-
2021;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;220722;147854;30158;222899;153252;25253
2021;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;25387;8996;2548;14894;5465;1657
2021;4. Quartal;10;28-Maschinenbau;86492;61956;12448;59169;40840;8764
2021;4. Quartal;10;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;4. Quartal;10;30-Sonstiger Fahrzeugbau;21568;-;-;24340;-;-
2021;4. Quartal;11;Verarbeitendes Gewerbe gesamt;600070;385852;199352;446160;266683;67919
2021;4. Quartal;11;13-Herst. von Textilien;0;0;0;-;-;-
2021;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;6943;2353;1491;6745;2145;1341
2021;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;42533;-;-
2021;4. Quartal;11;25-Herst. von Metallerzeugnissen;15430;-;-;6438;-;-
2021;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;236921;147830;20432;246528;162411;20512
2021;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;36736;12922;2672;22924;9125;2993
2021;4. Quartal;11;28-Maschinenbau;84879;39276;9920;64056;31590;5734
2021;4. Quartal;11;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;4. Quartal;11;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2021;4. Quartal;12;Verarbeitendes Gewerbe gesamt;723464;519844;232471;495245;305147;59808
2021;4. Quartal;12;13-Herst. von Textilien;0;0;0;-;-;-
2021;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;6789;2367;1562;7384;2244;1498
2021;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;26662;-;-;26012;-;-
2021;4. Quartal;12;25-Herst. von Metallerzeugnissen;17179;-;-;5364;-;-
2021;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;256997;161437;19848;294563;190414;22396
2021;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;22668;10177;1494;22693;9953;2381
2021;4. Quartal;12;28-Maschinenbau;82809;51052;10311;93801;65241;9326
2021;4. Quartal;12;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2021;4. Quartal;12;30-Sonstiger Fahrzeugbau;-;-;-;27750;-;-
2022;1. Quartal;01;Verarbeitendes Gewerbe gesamt;629291;437249;201701;409069;267780;76510
2022;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;4670;1920;1209;4968;1810;1080
2022;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;22646;-;-
2022;1. Quartal;01;25-Herst. von Metallerzeugnissen;8985;538;441;6405;-;-
2022;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;263077;160933;28231;260142;175743;20116
2022;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;40085;-;-;19966;-;-
2022;1. Quartal;01;28-Maschinenbau;115908;83261;9359;39348;25845;5120
2022;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;1. Quartal;01;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2022;1. Quartal;02;Verarbeitendes Gewerbe gesamt;456148;287455;86526;404357;236545;50808
2022;1. Quartal;02;13-Herst. von Textilien;0;0;0;-;-;-
2022;1. Quartal;02;20-Herst. von chemischen Erzeugnissen;6122;2433;1091;5463;2075;1062
2022;1. Quartal;02;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;24278;-;-
2022;1. Quartal;02;25-Herst. von Metallerzeugnissen;6938;-;-;7006;-;-
2022;1. Quartal;02;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;250422;166726;47967;259760;166103;17086
2022;1. Quartal;02;27-Herst. von elektrischen Ausrüstungen;58489;-;-;18420;-;-
2022;1. Quartal;02;28-Maschinenbau;83704;55189;14938;50453;25861;5414
2022;1. Quartal;02;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;1. Quartal;02;30-Sonstiger Fahrzeugbau;16400;-;-;-;-;-
2022;1. Quartal;03;Verarbeitendes Gewerbe gesamt;631257;415718;223700;456218;258801;67240
2022;1. Quartal;03;13-Herst. von Textilien;0;0;0;-;-;-
2022;1. Quartal;03;20-Herst. von chemischen Erzeugnissen;8128;3550;2142;7999;3412;2177
2022;1. Quartal;03;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;26466;-;-
2022;1. Quartal;03;25-Herst. von Metallerzeugnissen;8571;-;-;7832;-;-
2022;1. Quartal;03;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;262608;159587;29385;276632;178165;28106
2022;1. Quartal;03;27-Herst. von elektrischen Ausrüstungen;53287;30061;21427;29074;14011;3064
2022;1. Quartal;03;28-Maschinenbau;155472;112783;71223;75390;31497;8329
2022;1. Quartal;03;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;1. Quartal;03;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2022;2. Quartal;04;Verarbeitendes Gewerbe gesamt;604467;368568;73415;444305;271547;80642
2022;2. Quartal;04;13-Herst. von Textilien;0;0;0;-;-;-
2022;2. Quartal;04;20-Herst. von chemischen Erzeugnissen;5141;2217;1519;5175;2140;1317
2022;2. Quartal;04;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;19602;-;-
2022;2. Quartal;04;25-Herst. von Metallerzeugnissen;22361;414;166;5816;-;-
2022;2. Quartal;04;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;281343;166587;33073;270321;172475;17611
2022;2. Quartal;04;27-Herst. von elektrischen Ausrüstungen;39034;-;-;19911;-;-
2022;2. Quartal;04;28-Maschinenbau;141117;89197;5435;53258;26459;6012
2022;2. Quartal;04;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;2. Quartal;04;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2022;2. Quartal;05;Verarbeitendes Gewerbe gesamt;552746;325080;105120;459618;291331;76272
2022;2. Quartal;05;13-Herst. von Textilien;0;0;0;-;-;-
2022;2. Quartal;05;20-Herst. von chemischen Erzeugnissen;6908;3237;2168;6972;3150;2060
2022;2. Quartal;05;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;24637;-;-
2022;2. Quartal;05;25-Herst. von Metallerzeugnissen;26247;-;-;6068;-;-
2022;2. Quartal;05;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;247219;143359;14521;289063;202485;19141
2022;2. Quartal;05;27-Herst. von elektrischen Ausrüstungen;44509;-;-;22415;-;-
2022;2. Quartal;05;28-Maschinenbau;122381;94095;53902;44279;22596;6122
2022;2. Quartal;05;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;2. Quartal;05;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2022;2. Quartal;06;Verarbeitendes Gewerbe gesamt;633403;411325;89517;510877;305211;74491
2022;2. Quartal;06;13-Herst. von Textilien;0;0;0;-;-;-
2022;2. Quartal;06;20-Herst. von chemischen Erzeugnissen;5836;2746;1591;5795;2654;1673
2022;2. Quartal;06;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;22482;-;-
2022;2. Quartal;06;25-Herst. von Metallerzeugnissen;22500;1101;787;6766;-;-
2022;2. Quartal;06;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;295973;183192;35526;304335;190477;29541
2022;2. Quartal;06;27-Herst. von elektrischen Ausrüstungen;55415;-;-;32018;-;-
2022;2. Quartal;06;28-Maschinenbau;70352;51289;14877;81274;52259;13054
2022;2. Quartal;06;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;2. Quartal;06;30-Sonstiger Fahrzeugbau;-;-;-;36879;-;-
2022;3. Quartal;07;Verarbeitendes Gewerbe gesamt;562733;345028;79499;487838;309425;69586
2022;3. Quartal;07;13-Herst. von Textilien;0;0;0;-;-;-
2022;3. Quartal;07;20-Herst. von chemischen Erzeugnissen;5906;2595;1484;5642;2328;1465
2022;3. Quartal;07;21-Herst. von pharmazeutischen Erzeugnissen;20072;-;-;22481;-;-
2022;3. Quartal;07;25-Herst. von Metallerzeugnissen;5500;-;-;6134;-;-
2022;3. Quartal;07;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;326173;198899;33706;323600;220003;25134
2022;3. Quartal;07;27-Herst. von elektrischen Ausrüstungen;55516;-;-;20872;-;-
2022;3. Quartal;07;28-Maschinenbau;71677;38570;9230;57906;29736;7799
2022;3. Quartal;07;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;3. Quartal;07;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2022;3. Quartal;08;Verarbeitendes Gewerbe gesamt;528724;295105;106469;559903;359757;105785
2022;3. Quartal;08;13-Herst. von Textilien;0;0;0;-;-;-
2022;3. Quartal;08;20-Herst. von chemischen Erzeugnissen;8212;2584;1562;6010;2864;1728
2022;3. Quartal;08;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;24085;-;-
2022;3. Quartal;08;25-Herst. von Metallerzeugnissen;6869;-;-;7475;-;-
2022;3. Quartal;08;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;283125;170473;25400;352130;233513;26715
2022;3. Quartal;08;27-Herst. von elektrischen Ausrüstungen;39729;17814;4686;23845;7923;5030
2022;3. Quartal;08;28-Maschinenbau;72617;29104;6729;63845;39060;8192
2022;3. Quartal;08;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;3. Quartal;08;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2022;3. Quartal;09;Verarbeitendes Gewerbe gesamt;516463;302787;83406;669483;450453;83281
2022;3. Quartal;09;13-Herst. von Textilien;0;0;0;-;-;-
2022;3. Quartal;09;20-Herst. von chemischen Erzeugnissen;7146;2921;1940;7916;3159;2017
2022;3. Quartal;09;21-Herst. von pharmazeutischen Erzeugnissen;21642;-;-;25647;-;-
2022;3. Quartal;09;25-Herst. von Metallerzeugnissen;7124;-;-;7125;-;-
2022;3. Quartal;09;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;304508;185604;39325;423140;-;-
2022;3. Quartal;09;27-Herst. von elektrischen Ausrüstungen;32705;-;-;33789;-;-
2022;3. Quartal;09;28-Maschinenbau;68816;33581;6653;99422;67393;9005
2022;3. Quartal;09;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;3. Quartal;09;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2022;4. Quartal;10;Verarbeitendes Gewerbe gesamt;484079;262174;65688;439301;259043;59445
2022;4. Quartal;10;13-Herst. von Textilien;0;0;0;-;-;-
2022;4. Quartal;10;20-Herst. von chemischen Erzeugnissen;7442;3233;1745;7298;2644;1515
2022;4. Quartal;10;21-Herst. von pharmazeutischen Erzeugnissen;18732;-;-;29403;-;-
2022;4. Quartal;10;25-Herst. von Metallerzeugnissen;7772;-;-;6234;-;-
2022;4. Quartal;10;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;274594;166726;28046;276288;173535;20250
2022;4. Quartal;10;27-Herst. von elektrischen Ausrüstungen;42731;15547;6105;20258;9853;1255
2022;4. Quartal;10;28-Maschinenbau;62436;23764;4118;56285;37545;8182
2022;4. Quartal;10;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;4. Quartal;10;30-Sonstiger Fahrzeugbau;-;-;-;24326;-;-
2022;4. Quartal;11;Verarbeitendes Gewerbe gesamt;526601;301511;122564;546663;322007;72262
2022;4. Quartal;11;13-Herst. von Textilien;0;0;0;-;-;-
2022;4. Quartal;11;20-Herst. von chemischen Erzeugnissen;7979;3241;2054;9295;3503;2088
2022;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;25429;-;-
2022;4. Quartal;11;25-Herst. von Metallerzeugnissen;6898;-;-;6574;-;-
2022;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;305030;186618;48174;335896;220080;26267
2022;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;57686;-;-;29305;-;-
2022;4. Quartal;11;28-Maschinenbau;51037;30518;8913;73838;40140;7172
2022;4. Quartal;11;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;4. Quartal;11;30-Sonstiger Fahrzeugbau;-;-;-;32534;-;-
2022;4. Quartal;12;Verarbeitendes Gewerbe gesamt;814203;467453;121604;632820;399014;103968
2022;4. Quartal;12;13-Herst. von Textilien;0;0;0;-;-;-
2022;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;5948;2918;1802;6113;2820;1876
2022;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;32676;-;-
2022;4. Quartal;12;25-Herst. von Metallerzeugnissen;7579;-;-;20209;-;-
2022;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;315463;202929;55038;286878;172963;37610
2022;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;89264;23478;1306;30023;11398;1778
2022;4. Quartal;12;28-Maschinenbau;294344;-;-;162865;-;-
2022;4. Quartal;12;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2022;4. Quartal;12;30-Sonstiger Fahrzeugbau;39512;-;-;-;-;-
2023;1. Quartal;01;Verarbeitendes Gewerbe gesamt;640752;302157;86512;482233;297202;73556
2023;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;5524;2302;1470;5403;2571;1627
2023;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;25185;-;-;26208;-;-
2023;1. Quartal;01;25-Herst. von Metallerzeugnissen;8590;-;-;6687;-;-
2023;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;288146;169558;30160;312087;199964;29983
2023;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;56424;-;-;19354;-;-
2023;1. Quartal;01;28-Maschinenbau;190706;52255;19359;60337;42414;5571
2023;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
