Jahr;Wirtschaftszweig 2-Steller;Anzahl Betriebe;Tätige Personen;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;Exportquote (in Prozent)
2025;10-Herst. von Nahrungs- und Futtermitteln;23;1138;37047;27129;219791;32341;193138;14,7
2025;11-Getränkeherstellung;1;-;-;-;-;-;-;-
2025;12-TabakVerarb.;-;-;-;-;-;-;-;-
2025;13-Herst. von Textilien;2;-;-;-;-;-;-;-
2025;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);2;-;-;-;-;-;-;-
2025;17-Herst. von Papier, Pappe und Waren daraus;-;-;-;-;-;-;-;-
2025;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;791;27122;28574;118412;-;149699;-
2025;20-Herst. von chemischen Erzeugnissen;8;356;16787;39295;164359;31464;461683;19,1
2025;21-Herst. von pharmazeutischen Erzeugnissen;7;1647;112883;57115;519805;258876;315607;49,8
2025;22-Herst. von Gummi- und Kunststoffwaren;6;353;13608;32125;69884;30530;197972;43,7
2025;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;9;147;7108;40295;38579;-;262442;-
2025;24-Metallerzeugung und -bearbeitung;-;-;-;-;-;-;-;-
2025;25-Herst. von Metallerzeugnissen;19;1038;40428;32457;127314;8406;122653;6,6
2025;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;37;11201;719716;53546;3943181;2483419;352038;63
2025;27-Herst. von elektrischen Ausrüstungen;14;1617;88637;45680;512526;186978;316961;36,5
2025;28-Maschinenbau;29;6016;329342;45620;1099329;666073;182734;60,6
2025;29-Herst. von Kraftwagen und Kraftwagenteilen;4;-;26952;-;-;-;-;-
2025;30-Sonstiger Fahrzeugbau;6;2687;163119;50589;869968;554679;323769;63,8
2025;31-Herst. von Möbeln;-;-;-;-;-;-;-;-
2025;32-Herst. von sonstigen Waren;17;1132;40708;29968;98136;13436;86693;13,7
2025;33-Rep. + Install. v. Maschinen + Ausrüstungen;30;1964;124005;52616;574265;149838;292396;26,1
