Jahresquartal;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-;Geschlecht;Anzahl Einwohner
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;10 - 14 Jahre;männlich;710
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;10 - 14 Jahre;weiblich;657
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;15 - 17 Jahre;männlich;706
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;15 - 17 Jahre;weiblich;642
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 24 Jahre;männlich;1669
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;18 - 24 Jahre;weiblich;1974
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;25 - 29 Jahre;männlich;1646
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;25 - 29 Jahre;weiblich;1845
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;30 - 44 Jahre;männlich;5621
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;30 - 44 Jahre;weiblich;5364
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;45 - 59 Jahre;männlich;2843
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;45 - 59 Jahre;weiblich;3109
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;60 - 64 Jahre;männlich;1286
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;60 - 64 Jahre;weiblich;1679
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;65 - 74 Jahre;männlich;2296
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;65 - 74 Jahre;weiblich;2759
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;75 - 84 Jahre;männlich;777
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;75 - 84 Jahre;weiblich;1692
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;85 Jahre u.älter;männlich;140
20041;08 Blasewitz, Striesen;StB 5 Blasewitz;85 Jahre u.älter;weiblich;523
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 02 Jahre;männlich;401
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;00 - 02 Jahre;weiblich;385
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;03 - 05 Jahre;männlich;400
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;03 - 05 Jahre;weiblich;375
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;06 - 09 Jahre;männlich;365
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;06 - 09 Jahre;weiblich;385
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;10 - 14 Jahre;männlich;610
20041;09 Tolkewitz, Seidnitz, Gruna;StB 5 Blasewitz;10 - 14 Jahre;weiblich;586
