Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner;Anzahl Haushalte
2000;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;510;215
2000;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;320;136
2000;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;604;260
2000;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;69;30
2000;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;731;314
2000;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;698;298
2000;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;317;132
2000;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;517;225
2000;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;716;296
2000;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;620;263
2000;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;201;83
2000;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;179;77
2000;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;132;55
2000;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;211;89
2000;42 Bühlau/Weißer Hirsch;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;380;160
2000;43 Hosterwitz/Pillnitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;136;57
2000;45 Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;231;94
2000;46 Gönnsdorf/Pappritz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;125;53
2000;47 Schönfeld/Schullwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;102;46
2000;51 Blasewitz;StB 5 Blasewitz;08 Blasewitz, Striesen;431;185
2000;52 Striesen-Ost;StB 5 Blasewitz;08 Blasewitz, Striesen;819;349
2000;53 Striesen-Süd;StB 5 Blasewitz;08 Blasewitz, Striesen;525;227
2000;54 Striesen-West;StB 5 Blasewitz;08 Blasewitz, Striesen;568;248
2000;55 Tolkewitz/Seidnitz-Nord;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;732;312
2000;56 Seidnitz/Dobritz;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;694;306
2000;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;532;232
2000;61 Leuben;StB 6 Leuben;10 StB Leuben;713;301
2000;62 Laubegast;StB 6 Leuben;10 StB Leuben;537;233
2000;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;304;133
2000;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;330;133
2000;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);370;157
2000;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);482;189
2000;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);532;220
2000;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);187;81
2000;75 Leubnitz-Neuostra;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);658;277
2000;76 Strehlen;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);583;228
2000;76 Strehlen;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);235;100
2000;77 Reick;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);438;179
2000;81 Südvorstadt-West;StB 8 Plauen;13 Südvorstadt, Zschertnitz;560;229
2000;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;194;78
2000;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;341;145
2000;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;330;140
2000;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;227;97
2000;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;521;220
2000;90 Cossebaude/Mobschatz/Oberw.;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;322;138
2000;91 Cotta;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;673;293
2000;92 Löbtau-Nord;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;593;241
2000;93 Löbtau-Süd;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;669;284
2000;94 Naußlitz;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;406;177
2000;95 Gorbitz-Süd;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;552;227
2000;96 Gorbitz-Ost;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;396;168
2000;97 Gorbitz-Nord/Neu-Omsewitz;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;893;348
2000;98 Briesnitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;454;200
2000;99 Altfranken/Gompitz;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;87;39
2001;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;52;24
2001;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;264;110
2001;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;215;92
2001;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;342;142
2001;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;393;163
2001;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;633;260
2001;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;569;243
2001;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1142;487
2001;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;529;221
2001;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;310;129
2001;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;635;270
2001;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;82;38
2001;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;814;348
2001;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;652;277
2001;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;311;133
2001;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;537;235
2001;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;725;304
2001;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;612;258
2001;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;211;88
2001;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;202;87
2001;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;123;52
2001;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;236;102
2001;42 Bühlau/Weißer Hirsch;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;412;177
2001;43 Hosterwitz/Pillnitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;144;61
2001;45 Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;247;99
2001;46 Gönnsdorf/Pappritz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;119;51
2001;47 Schönfeld/Schullwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;128;57
2001;51 Blasewitz;StB 5 Blasewitz;08 Blasewitz, Striesen;445;189
2001;52 Striesen-Ost;StB 5 Blasewitz;08 Blasewitz, Striesen;811;350
2001;53 Striesen-Süd;StB 5 Blasewitz;08 Blasewitz, Striesen;509;223
2001;54 Striesen-West;StB 5 Blasewitz;08 Blasewitz, Striesen;569;249
2001;55 Tolkewitz/Seidnitz-Nord;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;790;336
2001;56 Seidnitz/Dobritz;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;712;315
2001;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;576;249
2001;61 Leuben;StB 6 Leuben;10 StB Leuben;800;333
2001;62 Laubegast;StB 6 Leuben;10 StB Leuben;530;228
2001;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;320;139
2001;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;304;124
2001;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);329;138
2001;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);440;168
2001;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);504;206
2001;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);227;100
2001;75 Leubnitz-Neuostra;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);627;267
2001;76 Strehlen;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);520;207
2001;76 Strehlen;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);252;112
2001;77 Reick;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);460;175
2001;81 Südvorstadt-West;StB 8 Plauen;13 Südvorstadt, Zschertnitz;566;234
2001;82 Südvorstadt-Ost;StB 8 Plauen;13 Südvorstadt, Zschertnitz;197;78
2001;83 Räcknitz/Zschertnitz;StB 8 Plauen;13 Südvorstadt, Zschertnitz;355;148
2001;84 Kleinpestitz/Mockritz;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;332;143
2001;85 Coschütz/Gittersee;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;240;105
2001;86 Plauen;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;509;215
