Jahr;Stadtraum;Wegezweck;Anteil Weg nur zu Fuß;Anteil Weg mit Fahrrad;Anteil Weg mit Straßenbahn;Anteil Weg mit Bus (Stadtverk.);Anteil Weg mit Bus (Regionalverk.);Anteil Weg mit S-Bahn/Bahn AG;Anteil Weg mit Motorrad etc.;Anteil Weg als Pkw-Mitfahrer;Anteil Weg als Pkw-Selbstfahrer;Anteil Weg mit sonstigem Verkehrsmittel
2002;03 StB Neustadt ohne Leipziger Vorstadt;Weg zur Arbeit;9,2;21,1;20,8;4,6;0,5;2,3;0,4;2,5;37,6;1
2002;03 StB Neustadt ohne Leipziger Vorstadt;Weg zum Einkaufen;13,4;16;15,6;1,9;0,6;0,3;0,6;10,4;40,7;0,5
2002;04 Leipziger Vorstadt, Pieschen;Weg zur Arbeit;5,5;15,3;29,5;7;0;3,6;2,5;3,6;32;1
2002;04 Leipziger Vorstadt, Pieschen;Weg zum Einkaufen;10,5;13;16,1;9,2;0,2;0,5;0,4;8,8;40,8;0,5
2002;05 Mickten, Kaditz, Trachau;Weg zur Arbeit;1,6;12,6;16,8;9,1;1,9;2,8;0,8;4,7;49,1;0,7
2002;05 Mickten, Kaditz, Trachau;Weg zum Einkaufen;4,3;6,9;11,3;7,7;1,4;0,6;0,4;11,7;54,1;1,8
2002;06 StB Klotzsche und nördliche OS;Weg zur Arbeit;7,3;8;18,4;7,9;2,5;5,5;1,2;2,9;46,5;0
2002;06 StB Klotzsche und nördliche OS;Weg zum Einkaufen;5,3;11,5;11;4,3;1,2;2,1;0,2;9,9;54,6;0
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zur Arbeit;5,2;7,1;11,5;14,9;3,1;0,5;1,1;4,8;49,4;2,4
2002;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zum Einkaufen;2,1;7,2;8,9;9,7;1;0;0,5;14,8;55,1;0,7
2002;08 Blasewitz, Striesen;Weg zur Arbeit;4,8;23,1;18;10,4;0,7;1,2;1;3,2;37,3;0,2
2002;08 Blasewitz, Striesen;Weg zum Einkaufen;10,5;15,6;14,3;7,1;0,4;0,5;0,3;9,3;41,3;0,7
2002;09 Tolkewitz, Seidnitz, Gruna;Weg zur Arbeit;3,8;12,9;23,4;10,2;0,7;2;0,8;3,5;42,1;0,7
2002;09 Tolkewitz, Seidnitz, Gruna;Weg zum Einkaufen;7,2;11,7;15;10;0,3;0,6;1,1;12,3;41,3;0,5
2002;10 StB Leuben;Weg zur Arbeit;4,2;9,1;18,2;6,4;0,5;5;2,4;1,8;52,2;0,2
2002;10 StB Leuben;Weg zum Einkaufen;5,2;12,9;9,6;4,5;0,8;0,9;0,6;10,4;54,3;0,7
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zur Arbeit;3,9;11,9;25,4;16,3;0;0;0,3;2,7;38,1;1,5
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;9,4;6;22,2;9,3;1,2;0,6;0;8,3;43;0
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zur Arbeit;1,9;10,4;9,4;18,4;1,2;3,1;1,5;6,2;46,5;1,3
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;5,7;8,8;7,6;11,1;1,5;1;0,8;13,7;49,8;0
2002;13 Südvorstadt, Zschertnitz;Weg zur Arbeit;6,6;12;20;12,7;1,5;3,2;0;2,2;40,3;1,4
2002;13 Südvorstadt, Zschertnitz;Weg zum Einkaufen;10,5;8,1;20,4;11,6;1,5;0,3;0,2;8,2;38,1;0,9
2002;14 Mockritz, Coschütz, Plauen;Weg zur Arbeit;1,5;13,1;16,5;10,1;1,9;2,5;1,3;3,2;50;0
2002;14 Mockritz, Coschütz, Plauen;Weg zum Einkaufen;2,5;8,7;14,7;11,2;0,7;0,3;0;9,9;51,3;0,6
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zur Arbeit;1,1;13,1;20,1;8,9;0,6;0,6;2,1;2,6;49,2;1,7
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zum Einkaufen;8,1;9,2;14,9;5,3;0,3;0,3;1;9,4;51,2;0,4
2002;16 Gorbitz;Weg zur Arbeit;2,2;6,3;33,7;9,6;2,6;1,4;0,7;3,6;38,6;1,4
2002;16 Gorbitz;Weg zum Einkaufen;14,7;3,2;26,6;8,3;0,5;0,8;0;9,8;34,2;1,9
2002;17 Briesnitz und westliche OS;Weg zur Arbeit;1,8;5,5;12,1;11,3;2,1;0,9;3,5;3,8;58,8;0,2
