Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2001;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;4130;1409;1409
2001;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;2603;1372;686
2001;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1103;727;213
2001;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);0 Kinder;20163;0;11627
2001;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;6893;2255;2255
2001;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;4695;2368;1184
2001;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1314;815;249
2001;StB 8 Plauen;13 Südvorstadt, Zschertnitz;0 Kinder;17652;0;10863
2001;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;3577;1199;1199
2001;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;2404;1240;620
2001;StB 8 Plauen;13 Südvorstadt, Zschertnitz;3 u.m. Kinder;712;456;136
2001;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;0 Kinder;14728;0;8719
2001;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;1 Kind;4504;1472;1472
2001;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;2 Kinder;2957;1496;748
2001;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;3 u.m. Kinder;811;502;158
2001;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;0 Kinder;20822;0;13794
2001;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;1 Kind;6710;2331;2331
2001;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;2 Kinder;4005;2070;1035
2001;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;3 u.m. Kinder;1044;662;201
2001;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;0 Kinder;13670;0;8713
2001;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;1 Kind;4963;1643;1643
2001;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;2 Kinder;2752;1442;721
2001;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;3 u.m. Kinder;845;555;164
2001;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;0 Kinder;12464;0;6861
