Jahr;Herkunftsland_37Auspr;Herkunftsland_24Auspr;Herkunftsland_05Auspr;Herkunftsland_D/A;Tourismus_Ankünfte;Tourismus_Übernachtungen
2004;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1220;2191
2004;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;9922;22560
2004;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1606;3236
2004;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1176;2732
2004;Italien;Italien;Europa ohne Deutschland;Ausland;15669;26666
2004;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1119;2371
2004;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;9943;22109
2004;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1145;2250
2004;Österreich;Österreich;Europa ohne Deutschland;Ausland;12210;27552
2004;Polen;Polen;Europa ohne Deutschland;Ausland;3880;6687
2004;Schweden;Schweden;Europa ohne Deutschland;Ausland;7254;10245
2004;Schweiz;Schweiz;Europa ohne Deutschland;Ausland;16857;43572
2004;Russland;Russland;Europa ohne Deutschland;Ausland;3490;6977
2004;Spanien;Spanien;Europa ohne Deutschland;Ausland;5193;9658
2004;Tschechische Republik;Tschechische Republik;Europa ohne Deutschland;Ausland;2817;5190
2004;Ungarn;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1746;3373
2004;Großbritannien;Großbritannien;Europa ohne Deutschland;Ausland;14621;29215
2004;sonst.europäische Länder (o.20Länder);sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;6586;14417
2004;afrikanische Länder;afrikanische Länder;Sonst. Ausland;Ausland;833;2263
2004;USA;USA;Amerika;Ausland;20580;49468
2004;Kanada;Kanada;Amerika;Ausland;2203;5277
2004;Brasilien;amerik. Länder (o.USA, Kanada);Amerika;Ausland;1336;2167
2004;Mittelamerika und Karibik;amerik. Länder (o.USA, Kanada);Amerika;Ausland;722;1338
2004;"sonst. südamerik. Länder ";amerik. Länder (o.USA, Kanada);Amerika;Ausland;1101;2033
2004;China;China;Asien;Ausland;1571;3027
2004;Israel;asiatische Länder (o.China, Japan);Asien;Ausland;1484;3816
2004;Japan;Japan;Asien;Ausland;27389;41517
2004;Südkorea;asiatische Länder (o.China, Japan);Asien;Ausland;1927;2432
2004;Taiwan;asiatische Länder (o.China, Japan);Asien;Ausland;598;916
2004;Arabische Golfstaaten;asiatische Länder (o.China, Japan);Asien;Ausland;375;1172
2004;sonst. asiatische Länder;asiatische Länder (o.China, Japan);Asien;Ausland;3237;5783
2004;"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";Sonst. Ausland;Ausland;2279;4552
2004;Ausländer ohne Angabe;Ausländer ohne Angabe;Sonst. Ausland;Ausland;2557;4275
2005;Deutschland;Deutschland;Deutschland;Deutschland;1139644;2505511
2005;Belgien;Belgien;Europa ohne Deutschland;Ausland;5034;10422
2005;Dänemark;Dänemark;Europa ohne Deutschland;Ausland;5156;11074
2005;Finnland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1358;2825
2005;Frankreich;Frankreich;Europa ohne Deutschland;Ausland;9376;20799
2005;Griechenland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1559;3342
2005;Irland;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;731;1984
2005;Italien;Italien;Europa ohne Deutschland;Ausland;17236;29820
2005;Luxemburg;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1300;2923
2005;Niederlande;Niederlande;Europa ohne Deutschland;Ausland;11843;26588
2005;Norwegen;sonst.europäische Länder (o.13 Länder);Europa ohne Deutschland;Ausland;1390;2635
