Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
3160;07035;"Leuschkestraße                     ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
3161;14212;"Leutewitzer Ring                   ";"1   ";"57  ";"    ";"    ";"Cotta               ";"Gorbitz                  ";964  Gorbitz-Ost(Höhenpromenade);"Süd ";01169;159;"  ";"  "
3162;14212;"Leutewitzer Ring                   ";"    ";"    ";"2   ";"    ";"Cotta               ";"Gorbitz                  ";965  Gorbitz-Ost(Leutew. Ring-Ost);"Süd ";01169;159;"  ";"  "
3163;14212;"Leutewitzer Ring                   ";"    ";"    ";"4   ";"44  ";"Cotta               ";"Gorbitz                  ";967  Gorbitz-Ost(Leutew. Ring-West);"Süd ";01169;159;"  ";"  "
3164;14212;"Leutewitzer Ring                   ";"    ";"    ";"46  ";"84  ";"Cotta               ";"Gorbitz                  ";965  Gorbitz-Ost(Leutew. Ring-Ost);"Süd ";01169;159;"  ";"  "
3165;14212;"Leutewitzer Ring                   ";"67  ";"71  ";"    ";"    ";"Cotta               ";"Gorbitz                  ";971  Gorbitz-Nord(Omsew. Ring-SO);"Süd ";01169;159;"  ";"  "
3166;14212;"Leutewitzer Ring                   ";"75  ";"77  ";"    ";"    ";"Cotta               ";"Gorbitz                  ";967  Gorbitz-Ost(Leutew. Ring-West);"Süd ";01169;159;"  ";"  "
3167;14212;"Leutewitzer Ring                   ";"133 ";"145 ";"    ";"    ";"Cotta               ";"Gorbitz                  ";964  Gorbitz-Ost(Höhenpromenade);"Süd ";01169;159;"  ";"  "
3168;14212;"Leutewitzer Ring                   ";"U   ";"    ";"    ";"    ";"Cotta               ";"Gorbitz                  ";966  Gorbitz-Ost(Leutew. Ring-Mitt);"Süd ";01169;159;"  ";"  "
3169;14132;"Leutewitzer Straße                 ";"1   ";"27  ";"2   ";"6   ";"Cotta               ";"Cotta                    ";912  Cotta(Grillparzerplatz);"Süd ";01157;159;"  ";"  "
3170;14132;"Leutewitzer Straße                 ";"    ";"    ";"8   ";"20  ";"Cotta               ";"Cotta                    ";911  Cotta(Cossebauder Str);"Süd ";01157;159;"  ";"  "
3171;09098;"Lewickistraße                      ";"1   ";"43  ";"4   ";"30  ";"Blasewitz           ";"Tolkewitz                ";551  Tolkewitz(Wehlener Str);"Süd ";01279;158;"  ";"  "
3172;09098;"Lewickistraße                      ";"45  ";"65  ";"32  ";"54  ";"Blasewitz           ";"Tolkewitz                ";552  Tolkewitz(Knappestr);"Süd ";01279;158;"  ";"  "
3173;03059;"Lichtenbergweg                     ";"    ";"    ";"    ";"    ";"Pieschen            ";"Trachau                  ";246  Trachau(Industriestr);Nord;01129;159;"  ";"  "
3174;09279;"Liebenauer Straße                  ";"1   ";"47  ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";566  Seidnitz(Altseidnitz);"Süd ";01279;158;"  ";"  "
3175;09279;"Liebenauer Straße                  ";"    ";"    ";"26  ";"    ";"Blasewitz           ";"Seidnitz                 ";567  Seidnitz(Alter Elbarm);"Süd ";01279;158;"  ";"  "
3176;09067;"Liebethaler Weg                    ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Gruna                    ";574  Gruna(Am Knie);"Süd ";01277;158;"  ";"  "
3177;12024;"Liebigstraße                       ";"1   ";"9b  ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";816  Südvs.-West(Schnorrstr-West);"Süd ";01069;158;"  ";"  "
3178;12024;"Liebigstraße                       ";"    ";"    ";"4   ";"14  ";"Plauen              ";"Dresden-Altstadt 2       ";813  Südvs.-West(Bayrische Str);"Süd ";01069;158;"  ";"  "
3179;12024;"Liebigstraße                       ";"11  ";"17a ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";817  Südvs.-West(Nürnberger Pl/TU);"Süd ";01069;158;"  ";"  "
3180;12024;"Liebigstraße                       ";"    ";"    ";"16  ";"18  ";"Plauen              ";"Dresden-Altstadt 2       ";815  Südvs.-West(Eisenstuckst-Mitt);"Süd ";01069;158;"  ";"  "
3181;12024;"Liebigstraße                       ";"19  ";"23  ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";817  Südvs.-West(Nürnberger Pl/TU);"Süd ";01187;158;"  ";"  "
3182;12024;"Liebigstraße                       ";"25  ";"29  ";"20  ";"32  ";"Plauen              ";"Dresden-Altstadt 2       ";819  Südvs.-West(Bayreuther-Ost);"Süd ";01187;158;"  ";"  "
3183;12024;"Liebigstraße                       ";"31  ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";862  Plauen(Würzburger Str-Ost);"Süd ";01187;158;"  ";"  "
3184;12024;"Liebigstraße                       ";"33  ";"39  ";"34  ";"38  ";"Plauen              ";"Plauen                   ";862  Plauen(Würzburger Str-Ost);"Süd ";01187;158;"  ";"  "
3185;14350;"Liebknechtstraße                   ";"15  ";"31  ";"    ";"    ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
3186;14350;"Liebknechtstraße                   ";"33  ";"51  ";"    ";"    ";"Oberwartha          ";"Oberwartha               ";905  Oberwartha;"Süd ";01156;159;"  ";"  "
3187;14350;"Liebknechtstraße                   ";"    ";"    ";"34  ";"36  ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
3188;14350;"Liebknechtstraße                   ";"    ";"    ";"40  ";"58  ";"Oberwartha          ";"Oberwartha               ";905  Oberwartha;"Süd ";01156;159;"  ";"  "
3189;10220;"Liebstädter Straße                 ";"1   ";"    ";"    ";"    ";"Blasewitz           ";"Reick                    ";561  Seidnitz(Rennbahn);"Süd ";01277;158;"  ";"  "
3190;10220;"Liebstädter Straße                 ";"5   ";"5f  ";"    ";"    ";"Blasewitz           ";"Strehlen                 ";579  Strehlen-Nordost(Basteistr);"Süd ";01277;158;"  ";"  "
3191;10220;"Liebstädter Straße                 ";"    ";"    ";"10  ";"16  ";"Blasewitz           ";"Gruna                    ";561  Seidnitz(Rennbahn);"Süd ";01277;158;"  ";"  "
3192;10220;"Liebstädter Straße                 ";"15  ";"23  ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";576  Gruna(Papstdorfer Str);"Süd ";01277;158;"  ";"  "
3193;10220;"Liebstädter Straße                 ";"    ";"    ";"18  ";"20  ";"Blasewitz           ";"Seidnitz                 ";561  Seidnitz(Rennbahn);"Süd ";01277;158;"  ";"  "
3194;10220;"Liebstädter Straße                 ";"    ";"    ";"24  ";"38  ";"Blasewitz           ";"Seidnitz                 ";569  Seidnitz(Ulberndorfer Weg);"Süd ";01277;158;"  ";"  "
3195;10220;"Liebstädter Straße                 ";"27  ";"43  ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";567  Seidnitz(Alter Elbarm);"Süd ";01277;158;"  ";"  "
3196;10220;"Liebstädter Straße                 ";"    ";"    ";"40  ";"64  ";"Blasewitz           ";"Seidnitz                 ";568  Seidnitz(Hirschbacher Weg);"Süd ";01277;158;"  ";"  "
3197;14296;"Liebstöckelweg                     ";"    ";"    ";"    ";"    ";"Cotta               ";"Omsewitz                 ";985  Alt-Omsewitz;"Süd ";01157;159;"  ";"  "
3198;07061;"Liegauer Straße                    ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Bühlau                   ";427  Alt-Bühlau/Quohren;Nord;01324;159;"  ";"  "
3199;06537;"Liegauer Straße (LB)               ";"    ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";361  Langebrück-Nord;Nord;01465;159;"  ";"  "
3200;06538;"Liegauer Straße (SB)               ";"    ";"    ";"    ";"    ";"Schönborn           ";"Schönborn                ";364  Schönborn;Nord;01465;159;"  ";"  "
3201;09116;"Liehrstraße                        ";"    ";"    ";"    ";"    ";"Leuben              ";"Laubegast                ";621  Laubegast-Nord/Alttolkewitz;"Süd ";01279;158;"  ";"  "
3202;11308;"Liesel-von-Schuch-Straße           ";"    ";"    ";"    ";"    ";"Prohlis             ";"Nickern                  ";743  Nickern;"Süd ";01239;158;"  ";"  "
3203;05312;"Ligusterweg                        ";"    ";"    ";"    ";"    ";"Weixdorf            ";"Lausa                    ";352  Lausa-Fuchsberg;Nord;01108;159;"  ";"  "
3204;08151;"Lili-Elbe-Straße                   ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";063  Johannst.-Nord(Hopfgartenstr);"Süd ";01307;158;"  ";"  "
3205;00117;"Liliengasse                        ";"1   ";"23  ";"2   ";"12  ";"Altstadt            ";"Dresden-Altstadt 1       ";044  Seevs.-West(Am See);"Süd ";01067;158;"  ";"  "
3206;00117;"Liliengasse                        ";"    ";"    ";"14  ";"30  ";"Altstadt            ";"Dresden-Altstadt 1       ";045  Seevs.-West(Sternplatz);"Süd ";01067;158;"  ";"  "
3207;10054;"Liliensteinstraße                  ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Strehlen                 ";579  Strehlen-Nordost(Basteistr);"Süd ";01277;158;"  ";"  "
3208;10102;"Lilienthalstraße                   ";"1   ";"5e  ";"2   ";"6   ";"Leuben              ";"Niedersedlitz            ";614  Leuben/Niedersedlitz(Sachsenw);"Süd ";01257;158;"  ";"  "
3209;10102;"Lilienthalstraße                   ";"7   ";"17  ";"8   ";"16a ";"Leuben              ";"Leuben                   ";614  Leuben/Niedersedlitz(Sachsenw);"Süd ";01257;158;"  ";"  "
3210;10102;"Lilienthalstraße                   ";"    ";"    ";"18  ";"34  ";"Leuben              ";"Leuben                   ";611  Leuben(Altleuben);"Süd ";01257;158;"  ";"  "
3211;10102;"Lilienthalstraße                   ";"19  ";"33  ";"    ";"    ";"Leuben              ";"Leuben                   ";615  Leuben(Altleuben);"Süd ";01257;158;"  ";"  "
3212;10202;"Lilienweg                          ";"    ";"    ";"    ";"    ";"Prohlis             ";"Niedersedlitz            ";731  Niedersedlitz-Südost;"Süd ";01259;158;"  ";"  "
3213;14219;"Limbacher Weg                      ";"1   ";"11  ";"    ";"    ";"Cotta               ";"Gorbitz                  ";953  Gorbitz-Süd(Wölfn. Ring-West);"Süd ";01169;159;"  ";"  "
