Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
1999;07700;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1034;160;556;0;549;222;42;243;17;3;10;0;0;12;7
1999;07800;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1051;133;602;0;594;345;53;156;9;0;12;0;0;19;8
1999;07900;07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;Wahlbezirk_Urne;1034;139;617;0;611;338;49;170;20;9;5;0;0;20;6
1999;11000;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;1007;1007;1005;372;108;200;285;13;5;0;0;22;2
1999;11100;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1563;189;591;0;573;271;58;123;74;12;11;0;0;24;18
1999;11200;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;939;110;408;0;401;176;48;99;56;5;8;0;0;9;7
1999;11400;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1174;134;475;2;463;152;50;107;115;6;8;0;0;25;12
1999;11500;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1014;140;426;2;416;137;42;93;117;7;6;0;0;14;10
1999;11600;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1345;174;535;4;525;179;48;133;133;6;7;0;0;19;10
1999;11700;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1224;161;559;0;555;198;58;124;130;10;16;0;0;19;4
1999;11800;11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;914;103;402;0;392;207;37;83;42;6;4;0;0;13;10
1999;12000;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;585;585;582;243;48;190;77;8;4;0;0;12;3
1999;12100;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;807;131;428;0;419;199;47;70;85;3;7;0;0;8;9
1999;12200;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1486;207;836;0;833;434;73;198;88;7;10;0;0;23;3
1999;12300;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1275;181;632;0;626;271;52;253;33;5;7;0;0;5;6
1999;12400;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1416;90;712;0;696;249;35;354;15;3;14;0;0;26;16
1999;13000;13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;680;680;678;310;48;237;61;9;1;0;0;12;2
1999;13100;13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;955;139;524;0;518;220;35;181;50;3;15;0;0;14;6
1999;13200;13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1452;229;728;0;718;312;45;287;28;5;11;0;0;30;10
1999;13300;13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;863;128;363;0;357;160;41;79;54;5;8;0;0;10;6
1999;13400;13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1154;212;608;0;605;274;44;218;44;4;6;0;0;15;3
1999;14000;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Brief;0;0;481;481;476;202;43;128;80;5;7;0;0;11;5
1999;14100;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;669;58;280;0;271;180;15;49;12;2;5;0;0;8;9
