Jahr;Quartal;Jahresquartal;Alter;Geschlecht;Anzahl Einwohner
2020;4. Quartal;20204;" 82 Jahre";weiblich;41
2026;1. Quartal;20261;" 92 Jahre";männlich;21
2016;2. Quartal;20162;" 79 Jahre";männlich;26
2016;3. Quartal;20163;" 55 Jahre";männlich;6
2021;1. Quartal;20211;" 73 Jahre";männlich;18
2025;3. Quartal;20253;" 93 Jahre";männlich;16
2026;2. Quartal;20262;" 60 Jahre";männlich;5
2016;4. Quartal;20164;" 79 Jahre";männlich;21
2019;3. Quartal;20193;" 39 Jahre";männlich;1
2025;2. Quartal;20252;" 66 Jahre";weiblich;5
2026;2. Quartal;20262;"  9 Jahre";weiblich;1
2018;4. Quartal;20184;" 53 Jahre";männlich;6
2026;2. Quartal;20262;" 67 Jahre";weiblich;1
2026;1. Quartal;20261;" 54 Jahre";weiblich;2
2024;2. Quartal;20242;" 71 Jahre";männlich;17
2026;2. Quartal;20262;" 77 Jahre";männlich;8
2020;3. Quartal;20203;" 74 Jahre";männlich;10
2021;1. Quartal;20211;" 35 Jahre";weiblich;1
2023;1. Quartal;20231;" 64 Jahre";männlich;13
2023;3. Quartal;20233;" 32 Jahre";männlich;1
2021;3. Quartal;20213;" 39 Jahre";männlich;1
2025;1. Quartal;20251;" 80 Jahre";männlich;24
2019;3. Quartal;20193;" 27 Jahre";weiblich;1
2018;3. Quartal;20183;" 67 Jahre";männlich;12
2024;3. Quartal;20243;" 81 Jahre";weiblich;23
2022;4. Quartal;20224;" 92 Jahre";männlich;16
2025;3. Quartal;20253;" 60 Jahre";weiblich;6
2016;3. Quartal;20163;" 56 Jahre";männlich;5
2020;3. Quartal;20203;" 38 Jahre";männlich;1
2020;4. Quartal;20204;" 45 Jahre";weiblich;1
2021;2. Quartal;20212;" 62 Jahre";männlich;4
2020;3. Quartal;20203;"  0 Jahre";weiblich;1
2022;1. Quartal;20221;" 94 Jahre";männlich;7
2025;1. Quartal;20251;" 31 Jahre";weiblich;1
2020;1. Quartal;20201;" 43 Jahre";männlich;2
2022;4. Quartal;20224;" 80 Jahre";weiblich;21
2023;4. Quartal;20234;" 69 Jahre";weiblich;7
2017;4. Quartal;20174;" 79 Jahre";weiblich;18
2022;3. Quartal;20223;101 Jahre;weiblich;8
2016;1. Quartal;20161;" 82 Jahre";männlich;28
2021;1. Quartal;20211;" 78 Jahre";männlich;38
2019;4. Quartal;20194;" 60 Jahre";weiblich;4
2016;2. Quartal;20162;" 94 Jahre";weiblich;20
2025;2. Quartal;20252;" 95 Jahre";weiblich;18
2021;3. Quartal;20213;" 47 Jahre";männlich;3
2017;3. Quartal;20173;" 76 Jahre";männlich;19
2019;4. Quartal;20194;" 25 Jahre";männlich;1
2019;2. Quartal;20192;" 68 Jahre";weiblich;5
2025;4. Quartal;20254;102 Jahre;weiblich;1
2023;2. Quartal;20232;" 99 Jahre";weiblich;13
2023;3. Quartal;20233;" 84 Jahre";weiblich;35
2016;4. Quartal;20164;" 54 Jahre";weiblich;2
2021;4. Quartal;20214;" 85 Jahre";männlich;43
2020;2. Quartal;20202;" 86 Jahre";weiblich;24
2017;4. Quartal;20174;" 98 Jahre";männlich;4
2019;2. Quartal;20192;" 58 Jahre";weiblich;2
2018;2. Quartal;20182;" 82 Jahre";männlich;30
2018;3. Quartal;20183;" 51 Jahre";weiblich;3
2024;2. Quartal;20242;" 78 Jahre";weiblich;9
2020;2. Quartal;20202;" 66 Jahre";männlich;10
2021;3. Quartal;20213;" 84 Jahre";männlich;31
2019;2. Quartal;20192;" 79 Jahre";männlich;31
2025;3. Quartal;20253;" 98 Jahre";männlich;4
2021;2. Quartal;20212;" 80 Jahre";männlich;28
2024;1. Quartal;20241;" 54 Jahre";weiblich;1
