Jahr;Quartal;Jahresquartal;Alter;Geschlecht;Anzahl Einwohner
2019;2. Quartal;20192;" 85 Jahre";weiblich;25
2018;4. Quartal;20184;" 38 Jahre";weiblich;1
2020;3. Quartal;20203;" 85 Jahre";weiblich;30
2022;3. Quartal;20223;" 67 Jahre";weiblich;5
2016;2. Quartal;20162;" 45 Jahre";männlich;1
2022;4. Quartal;20224;"  1 Jahre";weiblich;1
2026;1. Quartal;20261;" 90 Jahre";weiblich;54
2025;3. Quartal;20253;" 93 Jahre";weiblich;19
2023;3. Quartal;20233;" 30 Jahre";weiblich;1
2016;1. Quartal;20161;" 50 Jahre";männlich;2
2022;4. Quartal;20224;" 84 Jahre";männlich;26
2019;2. Quartal;20192;" 43 Jahre";weiblich;1
2020;2. Quartal;20202;" 45 Jahre";männlich;2
2016;2. Quartal;20162;" 86 Jahre";männlich;19
2024;1. Quartal;20241;" 75 Jahre";weiblich;8
2021;2. Quartal;20212;" 55 Jahre";weiblich;2
2023;2. Quartal;20232;" 84 Jahre";weiblich;29
2018;3. Quartal;20183;"  3 Jahre";weiblich;1
2018;1. Quartal;20181;" 87 Jahre";männlich;22
2025;3. Quartal;20253;" 40 Jahre";weiblich;2
2026;1. Quartal;20261;" 87 Jahre";männlich;46
2020;3. Quartal;20203;" 51 Jahre";männlich;3
2021;2. Quartal;20212;" 82 Jahre";männlich;28
2022;2. Quartal;20222;" 64 Jahre";weiblich;6
2020;3. Quartal;20203;" 46 Jahre";weiblich;2
2026;1. Quartal;20261;" 47 Jahre";weiblich;2
2019;1. Quartal;20191;" 73 Jahre";männlich;12
2021;1. Quartal;20211;" 66 Jahre";männlich;13
2021;4. Quartal;20214;" 89 Jahre";weiblich;28
2025;2. Quartal;20252;" 85 Jahre";weiblich;38
2020;4. Quartal;20204;" 76 Jahre";männlich;27
2023;4. Quartal;20234;" 73 Jahre";weiblich;11
2024;4. Quartal;20244;" 57 Jahre";männlich;3
2017;3. Quartal;20173;" 96 Jahre";männlich;4
2016;2. Quartal;20162;" 46 Jahre";männlich;3
2019;3. Quartal;20193;" 81 Jahre";männlich;25
2024;3. Quartal;20243;" 76 Jahre";weiblich;10
2022;4. Quartal;20224;"  0 Jahre";männlich;1
2019;2. Quartal;20192;" 84 Jahre";männlich;26
2018;3. Quartal;20183;" 60 Jahre";weiblich;4
2019;2. Quartal;20192;105 Jahre;weiblich;1
2018;4. Quartal;20184;" 61 Jahre";weiblich;3
2017;4. Quartal;20174;" 95 Jahre";weiblich;17
2025;2. Quartal;20252;" 66 Jahre";männlich;13
2023;1. Quartal;20231;" 17 Jahre";weiblich;1
2024;1. Quartal;20241;" 70 Jahre";männlich;20
2017;1. Quartal;20171;" 53 Jahre";weiblich;3
2017;1. Quartal;20171;" 69 Jahre";männlich;8
2017;4. Quartal;20174;" 69 Jahre";weiblich;4
2020;4. Quartal;20204;" 21 Jahre";weiblich;1
2025;1. Quartal;20251;" 61 Jahre";weiblich;3
2018;4. Quartal;20184;104 Jahre;weiblich;1
2017;3. Quartal;20173;" 63 Jahre";männlich;11
2021;3. Quartal;20213;" 54 Jahre";männlich;3
2022;3. Quartal;20223;" 50 Jahre";männlich;6
2020;2. Quartal;20202;100 Jahre;weiblich;7
2018;2. Quartal;20182;" 75 Jahre";männlich;18
2025;4. Quartal;20254;" 97 Jahre";weiblich;13
2019;2. Quartal;20192;" 89 Jahre";männlich;23
2019;1. Quartal;20191;"  0 Jahre";männlich;3
2018;3. Quartal;20183;" 50 Jahre";weiblich;1
2024;4. Quartal;20244;" 89 Jahre";männlich;32
2025;3. Quartal;20253;" 37 Jahre";männlich;1
2017;2. Quartal;20172;" 71 Jahre";männlich;7
2020;3. Quartal;20203;" 45 Jahre";weiblich;1
2016;1. Quartal;20161;" 65 Jahre";männlich;8
2022;1. Quartal;20221;" 86 Jahre";weiblich;27
2017;4. Quartal;20174;" 49 Jahre";männlich;5
2023;1. Quartal;20231;" 40 Jahre";männlich;3
2017;1. Quartal;20171;" 66 Jahre";männlich;11
2023;1. Quartal;20231;" 88 Jahre";weiblich;51
2023;3. Quartal;20233;" 87 Jahre";männlich;21
2025;1. Quartal;20251;" 46 Jahre";männlich;2
2016;3. Quartal;20163;" 46 Jahre";männlich;2
2017;4. Quartal;20174;" 72 Jahre";männlich;11
2020;4. Quartal;20204;" 73 Jahre";männlich;12
2018;1. Quartal;20181;" 83 Jahre";weiblich;30
2023;4. Quartal;20234;" 41 Jahre";weiblich;2
2018;4. Quartal;20184;" 76 Jahre";männlich;11
2019;3. Quartal;20193;100 Jahre;weiblich;3
2023;3. Quartal;20233;" 56 Jahre";männlich;3
2021;3. Quartal;20213;" 92 Jahre";weiblich;19
2024;1. Quartal;20241;101 Jahre;weiblich;1
2024;3. Quartal;20243;102 Jahre;männlich;1
2020;2. Quartal;20202;" 71 Jahre";männlich;14
2022;2. Quartal;20222;" 46 Jahre";männlich;2
2024;4. Quartal;20244;101 Jahre;weiblich;4
2016;1. Quartal;20161;" 16 Jahre";weiblich;1
2023;1. Quartal;20231;" 96 Jahre";weiblich;28
2017;1. Quartal;20171;" 75 Jahre";männlich;24
2018;4. Quartal;20184;" 90 Jahre";weiblich;26
2020;2. Quartal;20202;" 40 Jahre";männlich;1
2023;2. Quartal;20232;" 41 Jahre";männlich;1
2016;4. Quartal;20164;" 76 Jahre";weiblich;15
2018;1. Quartal;20181;" 55 Jahre";weiblich;5
2022;4. Quartal;20224;" 51 Jahre";weiblich;1
2025;3. Quartal;20253;" 71 Jahre";männlich;22
2017;2. Quartal;20172;" 93 Jahre";weiblich;23
2026;2. Quartal;20262;" 49 Jahre";männlich;1
2023;3. Quartal;20233;" 83 Jahre";weiblich;24
2020;4. Quartal;20204;" 96 Jahre";männlich;7
2017;2. Quartal;20172;" 57 Jahre";weiblich;3
2016;2. Quartal;20162;" 98 Jahre";weiblich;6
2021;1. Quartal;20211;" 94 Jahre";männlich;19
2022;2. Quartal;20222;" 76 Jahre";weiblich;6
2020;1. Quartal;20201;" 81 Jahre";männlich;43
2023;2. Quartal;20232;" 89 Jahre";weiblich;34
2023;3. Quartal;20233;" 50 Jahre";männlich;1
2024;3. Quartal;20243;" 88 Jahre";männlich;36
2020;4. Quartal;20204;" 64 Jahre";männlich;6
2025;1. Quartal;20251;" 94 Jahre";weiblich;28
2021;4. Quartal;20214;" 75 Jahre";männlich;11
2022;4. Quartal;20224;" 64 Jahre";weiblich;4
2016;1. Quartal;20161;" 82 Jahre";weiblich;27
2018;4. Quartal;20184;" 79 Jahre";weiblich;24
2023;1. Quartal;20231;" 52 Jahre";weiblich;1
2020;1. Quartal;20201;" 76 Jahre";weiblich;18
2020;4. Quartal;20204;" 41 Jahre";weiblich;1
2021;2. Quartal;20212;" 12 Jahre";männlich;1
2023;3. Quartal;20233;" 59 Jahre";weiblich;1
2019;4. Quartal;20194;" 89 Jahre";männlich;16
2024;2. Quartal;20242;" 51 Jahre";weiblich;2
2019;2. Quartal;20192;" 68 Jahre";männlich;13
2020;2. Quartal;20202;" 78 Jahre";weiblich;20
2025;4. Quartal;20254;" 43 Jahre";männlich;1
2022;4. Quartal;20224;" 91 Jahre";weiblich;37
2017;1. Quartal;20171;" 86 Jahre";weiblich;40
2023;4. Quartal;20234;" 55 Jahre";weiblich;1
2025;3. Quartal;20253;" 51 Jahre";weiblich;1
2017;4. Quartal;20174;" 75 Jahre";weiblich;12
2022;1. Quartal;20221;" 93 Jahre";weiblich;33
2022;4. Quartal;20224;" 65 Jahre";weiblich;8
2019;1. Quartal;20191;" 98 Jahre";männlich;2
2017;4. Quartal;20174;" 81 Jahre";männlich;29
2021;2. Quartal;20212;" 63 Jahre";weiblich;5
2021;1. Quartal;20211;" 37 Jahre";männlich;1
2019;2. Quartal;20192;" 95 Jahre";männlich;5
2019;3. Quartal;20193;104 Jahre;männlich;1
2022;3. Quartal;20223;" 77 Jahre";männlich;17
2019;4. Quartal;20194;" 31 Jahre";weiblich;1
2018;3. Quartal;20183;" 96 Jahre";männlich;4
2022;1. Quartal;20221;" 57 Jahre";weiblich;5
2026;1. Quartal;20261;" 64 Jahre";männlich;10
2021;2. Quartal;20212;" 97 Jahre";weiblich;9
2020;3. Quartal;20203;" 95 Jahre";männlich;9
2024;1. Quartal;20241;" 92 Jahre";weiblich;45
2023;3. Quartal;20233;" 93 Jahre";männlich;17
2016;2. Quartal;20162;" 71 Jahre";männlich;6
2021;2. Quartal;20212;" 49 Jahre";männlich;1
2016;3. Quartal;20163;" 87 Jahre";weiblich;32
2020;3. Quartal;20203;" 69 Jahre";männlich;16
2021;3. Quartal;20213;" 72 Jahre";männlich;7
2020;1. Quartal;20201;" 71 Jahre";weiblich;5
2021;4. Quartal;20214;" 38 Jahre";männlich;1
2024;4. Quartal;20244;" 72 Jahre";weiblich;11
2021;3. Quartal;20213;" 88 Jahre";weiblich;25
2023;2. Quartal;20232;" 58 Jahre";männlich;6
2019;1. Quartal;20191;" 39 Jahre";männlich;1
2021;1. Quartal;20211;" 86 Jahre";weiblich;43
2022;1. Quartal;20221;100 Jahre;männlich;2
2017;2. Quartal;20172;" 76 Jahre";männlich;19
2023;4. Quartal;20234;" 79 Jahre";weiblich;17
2016;4. Quartal;20164;" 61 Jahre";weiblich;3
2020;1. Quartal;20201;" 79 Jahre";männlich;27
2016;2. Quartal;20162;" 81 Jahre";weiblich;20
2019;4. Quartal;20194;" 74 Jahre";männlich;9
2021;2. Quartal;20212;" 43 Jahre";weiblich;2
2022;1. Quartal;20221;" 74 Jahre";weiblich;9
2024;3. Quartal;20243;" 69 Jahre";weiblich;4
2019;3. Quartal;20193;" 52 Jahre";weiblich;2
2021;4. Quartal;20214;103 Jahre;weiblich;2
2021;1. Quartal;20211;" 19 Jahre";männlich;1
2020;4. Quartal;20204;" 89 Jahre";männlich;31
2025;3. Quartal;20253;" 32 Jahre";männlich;1
2018;3. Quartal;20183;" 57 Jahre";weiblich;6
2021;4. Quartal;20214;" 75 Jahre";weiblich;8
2024;4. Quartal;20244;" 38 Jahre";männlich;1
2025;3. Quartal;20253;" 22 Jahre";weiblich;1
2023;1. Quartal;20231;" 55 Jahre";männlich;10
2017;1. Quartal;20171;" 84 Jahre";männlich;30
2017;3. Quartal;20173;" 14 Jahre";weiblich;1
2025;2. Quartal;20252;" 80 Jahre";weiblich;24
2020;1. Quartal;20201;" 61 Jahre";männlich;5
2022;1. Quartal;20221;" 82 Jahre";männlich;35
2025;2. Quartal;20252;" 45 Jahre";männlich;2
2019;4. Quartal;20194;" 80 Jahre";weiblich;23
2024;3. Quartal;20243;" 79 Jahre";männlich;19
2017;4. Quartal;20174;" 22 Jahre";weiblich;1
2025;1. Quartal;20251;" 73 Jahre";weiblich;18
2024;4. Quartal;20244;" 70 Jahre";männlich;8
2017;3. Quartal;20173;" 59 Jahre";weiblich;1
2021;2. Quartal;20212;" 86 Jahre";männlich;23
2018;4. Quartal;20184;" 65 Jahre";weiblich;3
2019;3. Quartal;20193;" 84 Jahre";männlich;34
2021;3. Quartal;20213;" 59 Jahre";weiblich;3
2022;4. Quartal;20224;" 49 Jahre";weiblich;2
2023;2. Quartal;20232;" 70 Jahre";weiblich;10
2017;3. Quartal;20173;" 70 Jahre";weiblich;5
2018;2. Quartal;20182;103 Jahre;weiblich;1
2021;4. Quartal;20214;" 54 Jahre";weiblich;1
2019;2. Quartal;20192;" 81 Jahre";männlich;24
2025;2. Quartal;20252;" 58 Jahre";weiblich;1
2018;2. Quartal;20182;" 61 Jahre";weiblich;1
2023;4. Quartal;20234;" 40 Jahre";männlich;1
2016;3. Quartal;20163;" 82 Jahre";männlich;12
2020;2. Quartal;20202;" 62 Jahre";weiblich;4
2025;4. Quartal;20254;" 54 Jahre";weiblich;1
2020;3. Quartal;20203;" 81 Jahre";männlich;25
2017;4. Quartal;20174;" 94 Jahre";weiblich;25
2019;2. Quartal;20192;100 Jahre;weiblich;1
2024;1. Quartal;20241;" 34 Jahre";weiblich;2
2024;3. Quartal;20243;" 72 Jahre";männlich;15
2017;1. Quartal;20171;" 57 Jahre";männlich;8
2016;2. Quartal;20162;" 42 Jahre";männlich;1
2026;2. Quartal;20262;" 40 Jahre";weiblich;1
2021;4. Quartal;20214;" 98 Jahre";weiblich;13
2020;1. Quartal;20201;" 34 Jahre";männlich;2
2021;3. Quartal;20213;" 50 Jahre";männlich;3
2016;1. Quartal;20161;" 55 Jahre";weiblich;2
2019;2. Quartal;20192;" 47 Jahre";männlich;2
2019;2. Quartal;20192;" 75 Jahre";weiblich;6
2021;2. Quartal;20212;" 59 Jahre";weiblich;2
2020;4. Quartal;20204;" 98 Jahre";weiblich;17
2024;3. Quartal;20243;" 90 Jahre";männlich;25
2023;2. Quartal;20232;" 88 Jahre";weiblich;44
2020;1. Quartal;20201;" 58 Jahre";weiblich;4
2022;2. Quartal;20222;" 69 Jahre";weiblich;4
2016;3. Quartal;20163;" 47 Jahre";männlich;3
2020;1. Quartal;20201;" 95 Jahre";männlich;8
2024;4. Quartal;20244;" 81 Jahre";männlich;14
2020;3. Quartal;20203;100 Jahre;weiblich;4
2017;1. Quartal;20171;" 61 Jahre";weiblich;6
2018;1. Quartal;20181;" 63 Jahre";männlich;10
2021;2. Quartal;20212;" 40 Jahre";männlich;1
2016;2. Quartal;20162;" 85 Jahre";männlich;20
2019;1. Quartal;20191;" 77 Jahre";männlich;19
2024;2. Quartal;20242;" 93 Jahre";männlich;21
2020;2. Quartal;20202;" 80 Jahre";weiblich;24
2022;2. Quartal;20222;" 59 Jahre";weiblich;3
2017;2. Quartal;20172;" 74 Jahre";männlich;18
2019;2. Quartal;20192;" 70 Jahre";männlich;12
2023;1. Quartal;20231;" 72 Jahre";weiblich;13
2019;2. Quartal;20192;" 44 Jahre";männlich;1
2018;4. Quartal;20184;" 92 Jahre";männlich;8
2021;1. Quartal;20211;" 74 Jahre";weiblich;8
2021;3. Quartal;20213;" 23 Jahre";männlich;1
2020;2. Quartal;20202;" 31 Jahre";männlich;1
2026;2. Quartal;20262;" 73 Jahre";weiblich;7
2022;3. Quartal;20223;" 32 Jahre";männlich;1
2018;4. Quartal;20184;" 51 Jahre";weiblich;3
2023;2. Quartal;20232;" 54 Jahre";weiblich;2
2023;3. Quartal;20233;" 88 Jahre";männlich;32
2025;3. Quartal;20253;" 66 Jahre";männlich;12
2023;1. Quartal;20231;" 41 Jahre";männlich;2
2024;3. Quartal;20243;" 99 Jahre";weiblich;8
2018;3. Quartal;20183;102 Jahre;weiblich;2
2016;3. Quartal;20163;" 42 Jahre";männlich;1
2019;4. Quartal;20194;" 66 Jahre";männlich;6
2023;1. Quartal;20231;"  9 Jahre";männlich;1
2019;1. Quartal;20191;" 93 Jahre";weiblich;28
2024;1. Quartal;20241;" 78 Jahre";weiblich;7
2024;3. Quartal;20243;" 68 Jahre";weiblich;4
2025;1. Quartal;20251;" 18 Jahre";männlich;2
2017;2. Quartal;20172;" 82 Jahre";männlich;33
2019;3. Quartal;20193;" 89 Jahre";männlich;28
2021;4. Quartal;20214;" 81 Jahre";weiblich;29
2019;2. Quartal;20192;" 54 Jahre";männlich;5
2016;1. Quartal;20161;" 78 Jahre";männlich;21
2021;1. Quartal;20211;" 82 Jahre";männlich;44
2022;3. Quartal;20223;" 63 Jahre";männlich;11
2020;2. Quartal;20202;" 49 Jahre";männlich;4
2020;2. Quartal;20202;" 97 Jahre";weiblich;13
2017;3. Quartal;20173;" 84 Jahre";männlich;12
2023;2. Quartal;20232;" 81 Jahre";weiblich;32
2017;4. Quartal;20174;" 61 Jahre";weiblich;3
2022;4. Quartal;20224;" 68 Jahre";weiblich;7
2026;2. Quartal;20262;" 88 Jahre";weiblich;39
2016;1. Quartal;20161;" 34 Jahre";männlich;1
2018;1. Quartal;20181;" 47 Jahre";männlich;2
2020;4. Quartal;20204;" 91 Jahre";weiblich;51
2021;1. Quartal;20211;" 52 Jahre";männlich;3
2020;2. Quartal;20202;" 74 Jahre";männlich;18
2025;2. Quartal;20252;" 99 Jahre";männlich;4
2023;3. Quartal;20233;" 71 Jahre";weiblich;7
2023;4. Quartal;20234;" 83 Jahre";männlich;33
2018;2. Quartal;20182;" 45 Jahre";weiblich;1
2022;2. Quartal;20222;" 63 Jahre";männlich;11
2018;2. Quartal;20182;" 78 Jahre";männlich;25
2020;4. Quartal;20204;" 65 Jahre";weiblich;8
2024;4. Quartal;20244;" 86 Jahre";weiblich;25
2022;2. Quartal;20222;101 Jahre;männlich;2
2022;4. Quartal;20224;" 71 Jahre";weiblich;13
2025;3. Quartal;20253;" 31 Jahre";männlich;1
2017;2. Quartal;20172;" 62 Jahre";weiblich;2
2024;4. Quartal;20244;" 69 Jahre";weiblich;2
2024;2. Quartal;20242;" 62 Jahre";männlich;10
2016;4. Quartal;20164;"  0 Jahre";weiblich;1
2016;1. Quartal;20161;" 62 Jahre";weiblich;2
2025;1. Quartal;20251;" 62 Jahre";weiblich;8
2019;4. Quartal;20194;" 94 Jahre";weiblich;20
2022;3. Quartal;20223;" 88 Jahre";weiblich;35
2019;3. Quartal;20193;" 90 Jahre";weiblich;34
2025;1. Quartal;20251;" 49 Jahre";männlich;2
2022;1. Quartal;20221;" 49 Jahre";männlich;4
2026;1. Quartal;20261;" 76 Jahre";weiblich;11
2018;4. Quartal;20184;" 57 Jahre";weiblich;1
2019;4. Quartal;20194;" 86 Jahre";weiblich;20
2020;1. Quartal;20201;" 70 Jahre";männlich;19
2018;2. Quartal;20182;" 74 Jahre";weiblich;8
2018;4. Quartal;20184;" 75 Jahre";männlich;19
2024;1. Quartal;20241;" 59 Jahre";männlich;1
2023;1. Quartal;20231;101 Jahre;weiblich;7
2017;1. Quartal;20171;" 91 Jahre";weiblich;30
2016;2. Quartal;20162;" 30 Jahre";männlich;1
2025;4. Quartal;20254;" 73 Jahre";weiblich;7
2020;1. Quartal;20201;" 85 Jahre";weiblich;33
2016;4. Quartal;20164;" 26 Jahre";männlich;1
2016;4. Quartal;20164;" 75 Jahre";weiblich;12
2023;4. Quartal;20234;" 59 Jahre";männlich;7
2024;3. Quartal;20243;" 44 Jahre";männlich;4
2019;3. Quartal;20193;" 68 Jahre";weiblich;5
2024;1. Quartal;20241;" 64 Jahre";weiblich;5
2018;1. Quartal;20181;" 48 Jahre";weiblich;1
2016;1. Quartal;20161;" 66 Jahre";männlich;19
2020;1. Quartal;20201;" 75 Jahre";weiblich;19
2018;4. Quartal;20184;" 28 Jahre";weiblich;1
2019;2. Quartal;20192;" 86 Jahre";weiblich;19
2025;2. Quartal;20252;" 86 Jahre";weiblich;34
2024;2. Quartal;20242;" 80 Jahre";männlich;24
2024;3. Quartal;20243;" 47 Jahre";männlich;1
2021;3. Quartal;20213;" 56 Jahre";männlich;4
2017;3. Quartal;20173;" 65 Jahre";männlich;11
2019;1. Quartal;20191;" 76 Jahre";weiblich;13
2017;2. Quartal;20172;" 87 Jahre";männlich;20
2024;4. Quartal;20244;" 49 Jahre";männlich;2
2018;4. Quartal;20184;" 62 Jahre";weiblich;4
2017;1. Quartal;20171;" 52 Jahre";weiblich;3
2016;1. Quartal;20161;" 52 Jahre";männlich;2
2026;1. Quartal;20261;" 28 Jahre";männlich;1
2022;2. Quartal;20222;" 35 Jahre";männlich;2
2017;1. Quartal;20171;" 95 Jahre";männlich;6
2022;4. Quartal;20224;" 54 Jahre";männlich;4
2025;2. Quartal;20252;" 94 Jahre";männlich;14
2017;2. Quartal;20172;" 45 Jahre";männlich;3
2024;1. Quartal;20241;" 91 Jahre";weiblich;31
2016;4. Quartal;20164;" 59 Jahre";männlich;5
2019;2. Quartal;20192;" 48 Jahre";weiblich;2
2024;1. Quartal;20241;" 65 Jahre";weiblich;5
2024;3. Quartal;20243;" 92 Jahre";weiblich;24
2022;2. Quartal;20222;" 96 Jahre";männlich;4
2022;3. Quartal;20223;" 52 Jahre";weiblich;1
2024;2. Quartal;20242;" 98 Jahre";männlich;5
2020;3. Quartal;20203;" 53 Jahre";weiblich;2
2021;2. Quartal;20212;" 56 Jahre";männlich;6
2019;2. Quartal;20192;" 72 Jahre";männlich;11
2023;1. Quartal;20231;" 70 Jahre";weiblich;13
2019;3. Quartal;20193;" 72 Jahre";weiblich;5
2022;2. Quartal;20222;" 88 Jahre";weiblich;21
2016;1. Quartal;20161;" 74 Jahre";weiblich;18
2016;3. Quartal;20163;" 30 Jahre";männlich;1
2019;1. Quartal;20191;" 47 Jahre";weiblich;1
2022;4. Quartal;20224;" 44 Jahre";weiblich;1
2017;1. Quartal;20171;" 64 Jahre";männlich;7
2020;4. Quartal;20204;" 75 Jahre";männlich;21
2018;3. Quartal;20183;" 78 Jahre";männlich;24
2021;4. Quartal;20214;" 61 Jahre";männlich;11
2023;1. Quartal;20231;" 73 Jahre";männlich;16
2020;2. Quartal;20202;" 36 Jahre";weiblich;1
2022;4. Quartal;20224;" 81 Jahre";männlich;32
2023;2. Quartal;20232;" 27 Jahre";männlich;1
2025;1. Quartal;20251;" 93 Jahre";weiblich;32
2024;4. Quartal;20244;" 48 Jahre";weiblich;1
2016;4. Quartal;20164;" 30 Jahre";männlich;2
2016;3. Quartal;20163;" 90 Jahre";männlich;16
2021;4. Quartal;20214;" 34 Jahre";weiblich;4
2025;2. Quartal;20252;" 81 Jahre";männlich;37
2019;1. Quartal;20191;" 42 Jahre";weiblich;1
2020;4. Quartal;20204;" 85 Jahre";weiblich;44
2024;4. Quartal;20244;" 94 Jahre";männlich;17
2018;3. Quartal;20183;" 97 Jahre";männlich;2
2022;2. Quartal;20222;" 44 Jahre";männlich;4
2017;3. Quartal;20173;" 90 Jahre";weiblich;27
2023;2. Quartal;20232;" 59 Jahre";männlich;10
2018;3. Quartal;20183;" 53 Jahre";männlich;5
2021;4. Quartal;20214;100 Jahre;männlich;1
2021;2. Quartal;20212;" 46 Jahre";männlich;2
2017;4. Quartal;20174;" 71 Jahre";männlich;9
2020;1. Quartal;20201;" 54 Jahre";männlich;2
2025;2. Quartal;20252;" 54 Jahre";männlich;6
2020;2. Quartal;20202;" 60 Jahre";weiblich;5
2021;1. Quartal;20211;" 83 Jahre";weiblich;33
2026;2. Quartal;20262;" 83 Jahre";männlich;25
2025;3. Quartal;20253;" 87 Jahre";männlich;19
2026;2. Quartal;20262;" 46 Jahre";weiblich;1
2024;3. Quartal;20243;" 70 Jahre";männlich;13
2017;1. Quartal;20171;" 51 Jahre";männlich;5
2022;3. Quartal;20223;" 92 Jahre";weiblich;25
2017;1. Quartal;20171;" 85 Jahre";weiblich;30
2025;3. Quartal;20253;" 45 Jahre";männlich;1
2021;1. Quartal;20211;" 67 Jahre";männlich;15
2018;1. Quartal;20181;" 65 Jahre";männlich;13
2023;2. Quartal;20232;" 53 Jahre";weiblich;1
2019;1. Quartal;20191;" 79 Jahre";männlich;27
2026;2. Quartal;20262;" 96 Jahre";männlich;8
2022;4. Quartal;20224;" 72 Jahre";weiblich;11
2025;1. Quartal;20251;" 38 Jahre";weiblich;1
2017;1. Quartal;20171;" 58 Jahre";männlich;4
2019;2. Quartal;20192;" 46 Jahre";männlich;1
2021;2. Quartal;20212;" 85 Jahre";männlich;33
2026;2. Quartal;20262;" 75 Jahre";weiblich;11
2016;1. Quartal;20161;" 67 Jahre";männlich;15
2020;3. Quartal;20203;" 84 Jahre";männlich;23
2021;1. Quartal;20211;" 45 Jahre";weiblich;1
2023;2. Quartal;20232;" 56 Jahre";weiblich;2
2024;2. Quartal;20242;" 83 Jahre";männlich;29
2019;1. Quartal;20191;" 78 Jahre";männlich;28
2023;3. Quartal;20233;" 44 Jahre";männlich;3
2025;2. Quartal;20252;" 50 Jahre";männlich;3
2021;3. Quartal;20213;" 51 Jahre";männlich;4
2021;3. Quartal;20213;" 29 Jahre";männlich;1
2025;2. Quartal;20252;" 68 Jahre";männlich;12
2025;1. Quartal;20251;" 70 Jahre";männlich;12
2025;3. Quartal;20253;" 35 Jahre";männlich;1
2017;2. Quartal;20172;" 73 Jahre";männlich;18
2019;4. Quartal;20194;" 64 Jahre";männlich;8
2016;2. Quartal;20162;" 73 Jahre";weiblich;10
2026;2. Quartal;20262;100 Jahre;weiblich;6
2024;4. Quartal;20244;" 43 Jahre";weiblich;1
2021;4. Quartal;20214;" 90 Jahre";männlich;34
2021;1. Quartal;20211;" 88 Jahre";männlich;34
2025;3. Quartal;20253;" 50 Jahre";männlich;2
2022;3. Quartal;20223;" 65 Jahre";männlich;9
2018;1. Quartal;20181;" 45 Jahre";männlich;3
2018;4. Quartal;20184;" 36 Jahre";männlich;1
2023;1. Quartal;20231;" 71 Jahre";weiblich;15
2017;1. Quartal;20171;" 94 Jahre";männlich;18
2021;4. Quartal;20214;" 87 Jahre";weiblich;29
2025;3. Quartal;20253;" 64 Jahre";männlich;11
2023;1. Quartal;20231;" 25 Jahre";männlich;1
2016;4. Quartal;20164;" 52 Jahre";männlich;1
2019;2. Quartal;20192;" 56 Jahre";männlich;3
2019;4. Quartal;20194;" 70 Jahre";weiblich;6
2020;1. Quartal;20201;" 94 Jahre";männlich;7
2025;2. Quartal;20252;" 35 Jahre";männlich;1
2019;4. Quartal;20194;" 35 Jahre";männlich;2
2023;2. Quartal;20232;" 87 Jahre";weiblich;36
2019;2. Quartal;20192;" 78 Jahre";weiblich;11
2023;4. Quartal;20234;" 89 Jahre";männlich;37
2024;2. Quartal;20242;" 21 Jahre";männlich;2
2016;4. Quartal;20164;" 42 Jahre";weiblich;1
2025;2. Quartal;20252;" 93 Jahre";männlich;11
2024;4. Quartal;20244;" 84 Jahre";männlich;28
2025;1. Quartal;20251;" 92 Jahre";weiblich;34
2022;2. Quartal;20222;" 32 Jahre";männlich;2
2020;2. Quartal;20202;" 76 Jahre";männlich;16
2022;3. Quartal;20223;" 53 Jahre";weiblich;2
2026;2. Quartal;20262;" 34 Jahre";männlich;1
2021;2. Quartal;20212;" 70 Jahre";männlich;22
2016;4. Quartal;20164;" 68 Jahre";männlich;7
2020;4. Quartal;20204;" 63 Jahre";weiblich;5
2018;2. Quartal;20182;" 43 Jahre";männlich;1
2018;4. Quartal;20184;" 73 Jahre";männlich;11
2018;3. Quartal;20183;" 43 Jahre";männlich;1
2016;3. Quartal;20163;" 33 Jahre";weiblich;1
2026;1. Quartal;20261;" 74 Jahre";weiblich;11
2023;3. Quartal;20233;" 16 Jahre";männlich;1
2026;2. Quartal;20262;" 58 Jahre";weiblich;1
2016;4. Quartal;20164;" 73 Jahre";weiblich;14
2017;1. Quartal;20171;" 97 Jahre";weiblich;7
2019;2. Quartal;20192;" 59 Jahre";weiblich;5
2023;1. Quartal;20231;103 Jahre;weiblich;1
2023;3. Quartal;20233;" 53 Jahre";männlich;2
2017;1. Quartal;20171;" 41 Jahre";männlich;1
2019;4. Quartal;20194;" 50 Jahre";männlich;1
2022;3. Quartal;20223;" 82 Jahre";weiblich;30
2020;1. Quartal;20201;" 29 Jahre";männlich;1
2021;2. Quartal;20212;" 47 Jahre";männlich;3
2025;2. Quartal;20252;" 40 Jahre";weiblich;1
2016;1. Quartal;20161;" 64 Jahre";männlich;11
2018;2. Quartal;20182;" 76 Jahre";weiblich;12
2024;1. Quartal;20241;" 66 Jahre";weiblich;7
2024;2. Quartal;20242;" 54 Jahre";weiblich;1
2019;3. Quartal;20193;" 47 Jahre";männlich;2
2025;1. Quartal;20251;" 72 Jahre";männlich;24
2017;3. Quartal;20173;" 51 Jahre";männlich;2
2024;3. Quartal;20243;" 46 Jahre";männlich;3
2025;4. Quartal;20254;" 75 Jahre";weiblich;11
2016;1. Quartal;20161;" 39 Jahre";weiblich;1
2018;1. Quartal;20181;" 84 Jahre";männlich;22
2018;3. Quartal;20183;" 64 Jahre";weiblich;4
2019;4. Quartal;20194;" 59 Jahre";weiblich;2
