Jahr;Wahlbezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Wahl-Form;Wahlberechtigte;Wahlberechtigte mit WS;Wähler;Wähler mit WS;Stimmen gültig;Stimmen CDU;Stimmen SPD;Stimmen Die Linke;Stimmen Grüne;Stimmen FDP;Stimmen Rechte Parteien;Stimmen AfD;Stimmen Piraten;Stimmen sonstiger Parteien;Stimmen ungültig
2019;14100;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1078;230;520;3;1510;122;103;426;403;71;0;128;96;161;10
2019;14200;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1687;466;803;2;2301;102;153;774;845;47;0;85;124;171;11
2019;14300;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1732;431;883;5;2580;66;185;820;963;56;0;77;151;262;11
2019;14401;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1247;327;641;5;1871;58;159;514;683;49;0;107;101;200;9
2019;14402;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1225;306;721;3;2121;105;185;541;847;58;0;94;106;185;7
2019;14500;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1554;267;819;0;2394;192;229;520;809;85;0;249;143;167;8
2019;14600;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;Wahlbezirk_Urne;1245;265;611;0;1776;267;116;295;321;147;0;427;52;151;7
2019;15000;15 Albertstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Brief;0;0;564;564;1659;240;195;255;462;142;0;197;61;107;11
2019;15100;15 Albertstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;1523;395;595;1;1750;229;168;282;622;147;0;155;50;97;2
2019;15300;15 Albertstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;Wahlbezirk_Urne;822;196;385;2;1090;147;84;234;238;87;0;154;41;105;7
2019;21001;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Brief;0;0;688;688;2035;207;251;507;646;58;4;136;68;158;2
2019;21002;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Brief;0;0;442;442;1272;145;180;254;392;65;4;100;33;99;1
2019;21003;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Brief;0;0;517;517;1523;138;171;346;496;53;0;117;73;129;6
2019;21100;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1247;291;611;0;1768;132;183;480;477;57;6;181;98;154;10
2019;21200;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1391;271;644;2;1880;183;136;479;483;80;4;262;93;160;6
2019;21301;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;916;196;471;1;1354;152;181;238;364;56;6;213;54;90;6
2019;21302;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1642;284;776;1;2232;212;224;418;635;84;27;282;119;231;6
2019;21303;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;929;186;369;1;1069;123;171;166;286;42;6;106;46;123;6
2019;21400;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1491;284;676;1;1922;153;213;406;599;35;14;236;89;177;11
2019;21500;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Urne;1510;261;653;3;1874;165;172;383;495;61;18;260;119;201;16
2019;22001;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;451;451;1327;277;163;188;261;43;5;205;57;128;3
2019;22002;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;474;474;1315;282;146;230;193;57;5;232;37;133;19
2019;22003;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;615;615;1784;337;248;274;330;94;7;274;58;162;14
2019;22100;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1595;274;701;6;1996;249;213;390;470;89;15;341;76;153;10
2019;22200;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1399;217;623;0;1763;244;150;303;291;109;14;381;92;179;13
2019;22300;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1275;177;542;0;1532;197;126;304;245;68;19;343;61;169;12
2019;22400;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;889;112;406;0;1147;210;110;178;75;55;36;364;13;106;10
2019;22501;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1204;215;580;1;1635;254;172;239;206;81;15;374;67;227;13
2019;22502;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1711;321;760;1;2178;310;241;401;410;91;9;413;65;238;12
2019;22600;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1092;175;544;0;1543;202;149;195;176;79;21;359;57;305;9
2019;22700;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1131;163;604;1;1711;290;153;240;165;53;12;484;34;280;9
2019;23000;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;606;606;1763;458;177;226;223;124;2;396;22;135;7
2019;23100;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1084;188;513;0;1457;250;87;226;222;76;16;402;46;132;7
2019;23200;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1230;194;476;1;1364;167;91;238;228;96;15;370;37;122;5
2019;23300;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1060;161;574;0;1611;477;142;173;211;72;7;404;13;112;10
2019;23400;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1059;128;549;0;1513;331;120;268;143;81;19;409;13;129;20
2019;24001;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;800;800;2355;549;287;401;552;98;8;282;35;143;5
2019;24002;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Brief;0;0;688;688;2003;399;347;387;334;72;10;282;26;146;6
2019;24100;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;951;171;479;0;1343;233;169;204;260;66;3;269;33;106;12
2019;24200;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1128;256;636;2;1841;271;227;336;482;106;3;260;58;98;6
2019;24300;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1028;208;592;3;1723;350;218;275;326;88;12;286;32;136;9
2019;24400;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1318;289;663;3;1914;300;240;332;370;96;10;365;43;158;3
2019;24500;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1508;292;726;0;1967;381;197;324;283;73;32;495;37;145;12
2019;24700;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1076;172;501;0;1424;252;136;274;228;67;9;340;27;91;11
2019;24800;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;Wahlbezirk_Urne;1016;253;512;4;1475;370;167;210;206;84;1;327;19;91;6
2019;25001;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Brief;0;0;628;628;1831;325;257;364;389;77;10;198;51;160;7
2019;25002;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;Wahlbezirk_Brief;0;0;577;577;1673;215;216;389;375;83;19;201;38;137;12
