Jahr;Stadtraum;Befindlichkeitsart;"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht"""
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;42,5;45,5;12,1
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;51;43,8;5,2
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;57,4;40,8;1,8
2002;13 Südvorstadt, Zschertnitz;Gesundheitszustand;43,4;47,8;8,8
2002;13 Südvorstadt, Zschertnitz;Wohlbefinden;50,7;46,4;2,9
2002;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;56,8;38,4;4,8
2002;14 Mockritz, Coschütz, Plauen;Wohlbefinden;58,1;37,9;4
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;58;35,4;6,6
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;57,2;39,6;3,1
2002;16 Gorbitz;Gesundheitszustand;51;39,7;9,3
2002;16 Gorbitz;Wohlbefinden;45,9;47,4;6,7
2002;17 Briesnitz und westliche OS;Gesundheitszustand;65,1;29,8;5,1
2002;17 Briesnitz und westliche OS;Wohlbefinden;60,8;33,9;5,3
2002;18 Dresden gesamt;Gesundheitszustand;54;39,2;6,8
2002;18 Dresden gesamt;Wohlbefinden;55;40,6;4,4
2007;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;52,6;41,9;5,5
2007;01 StB Altstadt ohne Johannstadt;Wohlbefinden;50,2;45,5;4,3
2007;02 Johannstadt;Gesundheitszustand;45,5;47,8;6,7
2007;02 Johannstadt;Wohlbefinden;46,2;49,8;4
2007;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;71,2;24,8;4
2007;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;60,8;36,6;2,7
2007;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;61,6;30,3;8,1
2007;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;53,3;40,6;6,1
2007;05 Mickten, Kaditz, Trachau;Gesundheitszustand;53,5;39;7,5
2007;05 Mickten, Kaditz, Trachau;Wohlbefinden;50,6;45,3;4
2007;06 StB Klotzsche und nördliche OS;Gesundheitszustand;55,6;39,5;4,8
2007;06 StB Klotzsche und nördliche OS;Wohlbefinden;59,7;37,5;2,8
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;57,1;39,4;3,5
2007;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;58,5;37,6;3,9
2007;08 Blasewitz, Striesen;Gesundheitszustand;61,6;32,9;5,5
2007;08 Blasewitz, Striesen;Wohlbefinden;59,2;38,4;2,4
2007;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;48,1;45,7;6,1
2007;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;53,4;42,9;3,7
2007;10 StB Leuben;Gesundheitszustand;50;46,2;3,9
2007;10 StB Leuben;Wohlbefinden;54,3;42,8;3
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;41,8;44,7;13,6
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;46,4;45,5;8,1
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;62;31,8;6,2
