Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;BedarfsGem. -insgesamt;BedarfsGem. -1 Person-;BedarfsGem. -2 Personen-;BedarfsGem. -3 u.mehr Personen-;Single-BG;Alleinerziehenden-BG;Partner-BG ohne Kinder;Partner-BG mit Kindern;BG mit Zahlungsanspruch Gesamtregelleistung;BG mit Zahlungsanspruch KdU;Personen in BG - insgesamt;Kinder in BG - insgesamt;Leistungsberechtigte (LB) - insgesamt;Nicht Leistungsberechtigte (NLB) - insgesamt;Regelleistungsberechtigte (RLB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt;Erwerbsfähige Leistungsberechtigte (ELB) - Männer;Erwerbsfähige Leistungsberechtigte (ELB) - Frauen;Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche;Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer;Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre;Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend;Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig;"Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ";Sonstige Leistungsberechtigte (SLB) - insgesamt
2016;4. Quartal;StB 8 Plauen;2231;1377;361;493;1374;325;166;334;2224;2121;4007;1175;3902;105;3866;2868;1563;1305;1927;932;565;852;555;489;407;322;793;998;36
2016;4. Quartal;StB 9 Cotta/westliche Ortschaften;5377;3338;1043;996;3332;1009;405;568;5361;5171;9119;2633;8860;259;8776;6552;3405;3147;5526;1019;975;1871;1367;1195;1144;1002;2015;2224;84
2016;4. Quartal;unbekannt;383;366;9;8;366;8;4;5;381;32;411;19;408;3;406;392;295;97;363;29;81;173;90;27;21;8;27;14;2
2017;4. Quartal;StB 0 Altstadt;3386;2086;589;711;2086;413;318;514;3382;3281;6037;1656;5834;203;5820;4384;2368;2016;2567;1806;751;1241;846;792;754;408;1270;1436;14
2017;4. Quartal;StB 1 Neustadt;2584;1753;400;431;1752;450;119;228;2568;2476;4095;1092;3949;146;3909;3001;1657;1344;2348;645;446;942;736;500;377;433;1107;908;40
2017;4. Quartal;StB 2 Pieschen;2878;1668;591;619;1666;690;174;311;2863;2774;5105;1647;4940;165;4900;3520;1682;1838;3090;428;490;1037;807;603;583;672;1242;1380;40
2017;4. Quartal;StB 3 Klotzsche/nördliche Ortschaften;590;398;93;99;397;102;37;46;588;558;935;245;899;36;894;696;383;313;639;56;83;180;139;136;158;101;224;198;5
2017;4. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;519;351;88;80;350;81;39;45;517;485;832;214;795;37;788;616;329;287;549;63;66;151;139;131;129;78;215;172;7
2017;4. Quartal;StB 5 Blasewitz;2720;1641;590;489;1639;546;199;292;2708;2623;4553;1272;4381;172;4344;3312;1605;1707;2719;589;483;849;718;636;626;541;1143;1032;37
2017;4. Quartal;StB 6 Leuben;1507;880;338;289;880;345;112;153;1503;1457;2607;796;2477;130;2460;1824;836;988;1672;152;285;464;361;344;370;344;538;636;17
2017;4. Quartal;StB 7 Prohlis;4011;2557;628;826;2552;656;268;473;3996;3875;6988;2082;6773;215;6743;5018;2753;2265;3694;1304;907;1359;1004;907;841;650;1300;1725;30
2017;4. Quartal;StB 8 Plauen;2342;1433;345;564;1433;322;157;404;2336;2263;4424;1410;4280;144;4263;3067;1701;1366;1653;1394;671;924;593;472;407;321;755;1196;17
2017;4. Quartal;StB 9 Cotta/westliche Ortschaften;5212;3293;937;982;3291;914;383;554;5192;5079;8861;2541;8579;282;8538;6368;3388;2980;5055;1302;1058;1789;1344;1058;1119;907;1918;2170;41
2017;4. Quartal;unbekannt;366;347;11;8;347;8;3;6;359;39;400;20;397;3;397;381;292;89;347;34;95;145;79;41;21;8;32;16;0
