Statistischer Bezirk;Stadtteil zus.;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Stadtbezirk/Ortschaft;Bundestagswahlkreis;Kommunalwahlkreis;Landtagswahlkreis
011  Innere Altstadt-Ost;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
012  Innere Altstadt-West;01 Innere Altstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
021  Pirnaische Vs.(Grunaer-Süd);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
022  Pirnaische Vs.(Zirkusstr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
023  Pirnaische Vs.(Blochmannstr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
024  Pirnaische Vs.(Pestalozzistr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
025  Pirnaische Vs.(Steinstr);02 Pirnaische Vorstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
031  Seevs.-Ost(Prager Str);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
032  Seevs.-Ost(Räcknitzstr);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
033  Seevs.-Ost(Lindengasse);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
034  Strehlen(Tiergartenstr);03 Seevorstadt-Ost;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
041  Wilsdruffer Vs.(Ostra-Allee);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
042  Wilsdruffer Vs.(Ermischstr);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
043  Wilsdruffer Vs.(Maternistr);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
044  Seevs.-West(Am See);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
045  Seevs.-West(Sternplatz);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
046  Seevs.-West(Feldgasse);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
047  Wilsdruffer Vs.(Jagdweg);04 Wilsdruffer Vs./Seevs.-West;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
051  Friedrichst.(Löbtauer Str);05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
052  Friedrichst.(Schäferstr);05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
053  Friedrichst.(Klinikum);05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
054  Friedrichst.(Güterbahnhof);05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
055  Friedrichst.(Ostragehege);05 Friedrichstadt;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;47
061  Johannst.-Nord(Elsasser Str);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
062  Johannst.-Nord(Bönischplatz);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
063  Johannst.-Nord(Hopfgartenstr);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
064  Johannst.-N(Pfeifferhannsstr);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
065  Johannst.-Nord(Th.-Müntzer-Pl);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
066  Johannst.-Nord(Gutenbergstr);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
067  Johannst.-Nord(Neubertstr);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
068  Johannst.-N(Uni-Klinikum);06 Johannstadt-Nord;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
071  Johannst.-Süd(Marschnerstr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
072  Johannst.-Süd(Wintergartenstr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
073  Johannst.-Süd(Nicolaistr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
074  Johannst.-Süd(Schumannstr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
075  Johannst.-Süd(Permoserstr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
076  Johannst.-Süd(Cranachstr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
077  Johannst.-Süd(Zöllnerstr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
078  Johannst.-Süd(M.-Cebotari-Str);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
079  Johannst.-Süd(Lortzingstr);07 Johannstadt-Süd;02 Johannstadt;StB 0 Altstadt;StB 0 Altstadt;159;01;45
111  Äußere Neust.(Schönbrunnstr);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
112  Äußere Neust.(Timäusstr);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
113  Äußere Neust.(Katharinenstr);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
114  Äußere Neust.(Böhmische Str);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
115  Äußere Neust.(Görlitzer Str);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
116  Äußere Neust.(Schönfelder Str);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
117  Äußere Neust.(Frühlingstr);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
118  Äußere Neust.(Tannenstr);11 Äußere Neustadt (Antonstadt);03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
121  Radeberger Vs.(Jägerstr);12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
122  Radeberger Vs.(Forststr);12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
123  Radeberger Vs.(Angelikastr);12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
124  Radeberger Vs.(Am Jägerpark);12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
131  Innere Neust.(Königstr);13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;45
132  Innere Neust.(Sarrasanistr);13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;45
133  Innere Neust.(Wigardstr);13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;45
134  Äußere Neust.(Hoyerswerd. Str);13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;45
141  Leipziger Vs.(Eisenbahnstr);14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;StB 1 Neustadt;160;02;45
142  Leipziger Vs.(Rudolfstr);14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;StB 1 Neustadt;160;02;45
143  Leipziger Vs.(Helgolandstr);14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;StB 1 Neustadt;160;02;45
144  Leipziger Vs.(Unterer Hecht);14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;StB 1 Neustadt;160;02;45
145  Leipziger Vs.(Mittlerer Hecht);14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;StB 1 Neustadt;160;02;45
146  Leipziger Vs.(Oberer Hecht);14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;StB 1 Neustadt;160;02;45
151  Hellersiedlung;15 Albertstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
152  Albertstadt-West;15 Albertstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
153  Albertstadt-Ost;15 Albertstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;StB 1 Neustadt;160;02;41
211  Leipziger Vs.(Weimarische Str);21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
212  Leipziger Vs.(Moritzburger St);21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
213  Pieschen-Süd(Torgauer Str);21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
214  Pieschen-Süd(Altpieschen);21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
215  Pieschen-Süd(Leisniger Pl);21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
221  Trachau-Süd(Alttrachau);22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
222  Trachau-Süd(Bunsenstr);22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
223  Mickten(Dreyßigplatz);22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
224  Mickten(Lommatzscher Str);22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
225  Mickten(Sternstr);22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
226  Mickten(Altmickten);22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
227  Übigau;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
231  Kaditz(Wächterstr);23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
232  Kaditz(Peschelstr);23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
233  Kaditz(Altkaditz);23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
234  Kaditz(Riegelplatz);23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
241  Trachau(Cottbuser Str);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
242  Trachau(Wahnsdorfer Str);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
243  Trachau(Stephanstr);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
244  Trachau(Platanenstr);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
245  Trachau(Trobischstr);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
246  Trachau(Industriestr);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
247  Trachau(Richard-Rösch-Str);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
248  Trachau(Neuländer Str);24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;StB 2 Pieschen;160;03;47
251  Leipziger Vs.-NW(Liststr);25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
252  Pieschen-Nord(Riesaer Str);25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
253  Pieschen-Nord(Hellerauer Str);25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
254  Pieschen-Nord(Trachenbgr. Str);25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
255  Pieschen-Nord(Rückertstr);25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
256  Pieschen-Nord(Duckwitzstr);25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
257  Trachenberge;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;StB 2 Pieschen;160;03;47
311  Klotzsche(Altklotzsche);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
312  Klotzsche(Lubminer Str);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
313  Klotzsche(Grüner Weg);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
314  Klotzsche(Am Trobischberg);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
315  Klotzsche(Königswald-Süd);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
316  Klotzsche(Königswald-Nord);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
317  Klotzsche(Selliner Str);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
318  Klotzsche(Binzer Weg);31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
321  Wilschdorf;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
322  Rähnitz;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
323  Hellerau(Festspielhaus);32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
324  Hellerau(Markt);32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
331  Flughafen;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
342  Waldpark Klotzsche;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;StB 3 Klotzsche;160;04;41
351  Weixdorf;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Weixdorf;160;04;41
352  Lausa-Fuchsberg;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Weixdorf;160;04;41
353  Lausa (Alte Dr. Str./Schönburg;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Weixdorf;160;04;41
354  Alt-Lausa/Friedersdorf;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Weixdorf;160;04;41
355  Gomlitz;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Weixdorf;160;04;41
356  Marsdorf;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Weixdorf;160;04;41
361  Langebrück-Nord;36 Langebrück/Schönborn;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Langebrück;160;04;41
362  Langebrück-Süd;36 Langebrück/Schönborn;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Langebrück;160;04;41
363  Heidehof;36 Langebrück/Schönborn;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Langebrück;160;04;41
364  Schönborn;36 Langebrück/Schönborn;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;OS Schönborn;160;04;41
411  Loschwitz(Schevenstr);41 Loschwitz/Wachwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
412  Loschwitz(Körnerplatz);41 Loschwitz/Wachwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
413  Oberloschwitz;41 Loschwitz/Wachwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
414  Wachwitz;41 Loschwitz/Wachwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
421  Weißer Hirsch;42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
422  Loschwitz-Nordost(Rißweg);42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
423  Loschwitz-NO(Am Weißen Adler);42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
424  Bühlau(Neubühlauer Str);42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
425  Bühlau(Neukircher Str);42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
426  Bühlau(Ullersdorfer Str);42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
427  Alt-Bühlau/Quohren;42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
428  Rochwitz;42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
429  Neu-Rochwitz;42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
431  Niederpoyritz;43 Hosterwitz/Pillnitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
432  Hosterwitz;43 Hosterwitz/Pillnitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
433  Pillnitz;43 Hosterwitz/Pillnitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
434  Oberpoyritz;43 Hosterwitz/Pillnitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
435  Söbrigen;43 Hosterwitz/Pillnitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;42
441  Dresdner Heide;42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;04;41
441  Dresdner Heide;42 Bühlau/Weißer Hirsch;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;StB 4 Loschwitz;160;07;41
451  Weißig (Heidestr./Marienbäder);45 Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
452  Weißig (Am Weißiger Bach);45 Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
453  Weißig (An der Prießnitzaue);45 Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
454  Weißig (Hauptstr.);45 Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
455  Weißig (Bergstr.);45 Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
461  Gönnsdorf;46 Gönnsdorf/Pappritz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
462  Pappritz-West;46 Gönnsdorf/Pappritz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
463  Pappritz-Ost;46 Gönnsdorf/Pappritz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
464  Cunnersdorf;46 Gönnsdorf/Pappritz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
465  Eichbusch/Helfenberg/Rockau;46 Gönnsdorf/Pappritz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
471  Schönfeld;47 Schönfeld/Schullwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
472  Schullwitz;47 Schönfeld/Schullwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
473  Borsberg;47 Schönfeld/Schullwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
474  Eschdorf;47 Schönfeld/Schullwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;OS Schönfeld-Weißig;160;04;41
