Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2014;09 Tolkewitz, Seidnitz, Gruna;Ausländer;05 bis unter 10 Jahre;16099;191
2014;09 Tolkewitz, Seidnitz, Gruna;Ausländer;10 bis unter 20 Jahre;20341;125
2014;09 Tolkewitz, Seidnitz, Gruna;Ausländer;20 Jahre und mehr;6108;15
2014;10 StB Leuben;Deutsche;00 bis unter 1 Jahr;18418;3356
2014;10 StB Leuben;Deutsche;01 bis unter 3 Jahre;122122;5335
2014;10 StB Leuben;Deutsche;03 bis unter 5 Jahre;205667;4395
2014;10 StB Leuben;Deutsche;05 bis unter 10 Jahre;683283;7814
2014;10 StB Leuben;Deutsche;10 bis unter 20 Jahre;1701992;9893
2014;10 StB Leuben;Deutsche;20 Jahre und mehr;3351683;7540
2014;10 StB Leuben;Ausländer;00 bis unter 1 Jahr;1232;239
2014;10 StB Leuben;Ausländer;01 bis unter 3 Jahre;4054;179
2014;10 StB Leuben;Ausländer;03 bis unter 5 Jahre;3546;78
2014;10 StB Leuben;Ausländer;05 bis unter 10 Jahre;9426;112
2014;10 StB Leuben;Ausländer;10 bis unter 20 Jahre;14100;90
2014;10 StB Leuben;Ausländer;20 Jahre und mehr;10862;30
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;00 bis unter 1 Jahr;11630;2222
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;01 bis unter 3 Jahre;80615;3520
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;03 bis unter 5 Jahre;123952;2648
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;05 bis unter 10 Jahre;445215;5088
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;10 bis unter 20 Jahre;748925;4372
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Deutsche;20 Jahre und mehr;1582453;3877
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;00 bis unter 1 Jahr;2569;605
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;01 bis unter 3 Jahre;7292;349
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;03 bis unter 5 Jahre;5954;129
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;05 bis unter 10 Jahre;17276;198
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;10 bis unter 20 Jahre;15351;100
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Ausländer;20 Jahre und mehr;3968;11
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;00 bis unter 1 Jahr;15957;3041
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;01 bis unter 3 Jahre;112657;4955
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;03 bis unter 5 Jahre;173931;3706
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;05 bis unter 10 Jahre;573063;6481
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;10 bis unter 20 Jahre;1629235;9300
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Deutsche;20 Jahre und mehr;2445523;5595
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;00 bis unter 1 Jahr;935;239
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;01 bis unter 3 Jahre;4895;240
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;03 bis unter 5 Jahre;4137;87
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;05 bis unter 10 Jahre;9412;108
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;10 bis unter 20 Jahre;14565;90
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Ausländer;20 Jahre und mehr;4063;10
2014;13 Südvorstadt, Zschertnitz;Deutsche;00 bis unter 1 Jahr;17814;3794
2014;13 Südvorstadt, Zschertnitz;Deutsche;01 bis unter 3 Jahre;114400;5147
2014;13 Südvorstadt, Zschertnitz;Deutsche;03 bis unter 5 Jahre;147627;3225
2014;13 Südvorstadt, Zschertnitz;Deutsche;05 bis unter 10 Jahre;341979;4049
2014;13 Südvorstadt, Zschertnitz;Deutsche;10 bis unter 20 Jahre;824291;4809
2014;13 Südvorstadt, Zschertnitz;Deutsche;20 Jahre und mehr;2434271;5502
2014;13 Südvorstadt, Zschertnitz;Ausländer;00 bis unter 1 Jahr;8293;2018
2014;13 Südvorstadt, Zschertnitz;Ausländer;01 bis unter 3 Jahre;24124;1146
2014;13 Südvorstadt, Zschertnitz;Ausländer;03 bis unter 5 Jahre;15251;343
2014;13 Südvorstadt, Zschertnitz;Ausländer;05 bis unter 10 Jahre;24806;299
2014;13 Südvorstadt, Zschertnitz;Ausländer;10 bis unter 20 Jahre;25131;159
2014;13 Südvorstadt, Zschertnitz;Ausländer;20 Jahre und mehr;7129;21
2014;14 Mockritz, Coschütz, Plauen;Deutsche;00 bis unter 1 Jahr;11333;2234
2014;14 Mockritz, Coschütz, Plauen;Deutsche;01 bis unter 3 Jahre;83712;3665
2014;14 Mockritz, Coschütz, Plauen;Deutsche;03 bis unter 5 Jahre;133481;2854
2014;14 Mockritz, Coschütz, Plauen;Deutsche;05 bis unter 10 Jahre;404956;4694
2014;14 Mockritz, Coschütz, Plauen;Deutsche;10 bis unter 20 Jahre;1073642;6151
2014;14 Mockritz, Coschütz, Plauen;Deutsche;20 Jahre und mehr;1837930;4246
2014;14 Mockritz, Coschütz, Plauen;Ausländer;00 bis unter 1 Jahr;1593;325
2014;14 Mockritz, Coschütz, Plauen;Ausländer;01 bis unter 3 Jahre;5702;257
2014;14 Mockritz, Coschütz, Plauen;Ausländer;03 bis unter 5 Jahre;5704;124
2014;14 Mockritz, Coschütz, Plauen;Ausländer;05 bis unter 10 Jahre;11797;143
2014;14 Mockritz, Coschütz, Plauen;Ausländer;10 bis unter 20 Jahre;10989;67
2014;14 Mockritz, Coschütz, Plauen;Ausländer;20 Jahre und mehr;2218;7
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;00 bis unter 1 Jahr;28256;5560
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;01 bis unter 3 Jahre;182704;8115
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;03 bis unter 5 Jahre;264502;5683
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;05 bis unter 10 Jahre;656848;7706
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;10 bis unter 20 Jahre;1388263;8115
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Deutsche;20 Jahre und mehr;1495500;3271
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;00 bis unter 1 Jahr;2097;471
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;01 bis unter 3 Jahre;8947;409
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;03 bis unter 5 Jahre;10033;221
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;05 bis unter 10 Jahre;23401;279
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;10 bis unter 20 Jahre;32421;210
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Ausländer;20 Jahre und mehr;2142;6
2014;16 Gorbitz;Deutsche;00 bis unter 1 Jahr;10007;2022
2014;16 Gorbitz;Deutsche;01 bis unter 3 Jahre;85258;3762
2014;16 Gorbitz;Deutsche;03 bis unter 5 Jahre;117136;2504
2014;16 Gorbitz;Deutsche;05 bis unter 10 Jahre;337941;3880
2014;16 Gorbitz;Deutsche;10 bis unter 20 Jahre;613452;3663
2014;16 Gorbitz;Deutsche;20 Jahre und mehr;1263098;3603
2014;16 Gorbitz;Ausländer;00 bis unter 1 Jahr;2847;720
2014;16 Gorbitz;Ausländer;01 bis unter 3 Jahre;8600;430
2014;16 Gorbitz;Ausländer;03 bis unter 5 Jahre;5757;126
2014;16 Gorbitz;Ausländer;05 bis unter 10 Jahre;11259;133
2014;16 Gorbitz;Ausländer;10 bis unter 20 Jahre;10702;67
2014;16 Gorbitz;Ausländer;20 Jahre und mehr;5320;17
2014;17 Briesnitz und westliche OS;Deutsche;00 bis unter 1 Jahr;8906;1672
2014;17 Briesnitz und westliche OS;Deutsche;01 bis unter 3 Jahre;73359;3158
2014;17 Briesnitz und westliche OS;Deutsche;03 bis unter 5 Jahre;108302;2296
2014;17 Briesnitz und westliche OS;Deutsche;05 bis unter 10 Jahre;364084;4139
2014;17 Briesnitz und westliche OS;Deutsche;10 bis unter 20 Jahre;1160942;6575
2014;17 Briesnitz und westliche OS;Deutsche;20 Jahre und mehr;2118297;4690
2014;17 Briesnitz und westliche OS;Ausländer;00 bis unter 1 Jahr;373;83
2014;17 Briesnitz und westliche OS;Ausländer;01 bis unter 3 Jahre;1849;82
2014;17 Briesnitz und westliche OS;Ausländer;03 bis unter 5 Jahre;1453;30
2014;17 Briesnitz und westliche OS;Ausländer;05 bis unter 10 Jahre;5299;60
2014;17 Briesnitz und westliche OS;Ausländer;10 bis unter 20 Jahre;3815;22
2014;17 Briesnitz und westliche OS;Ausländer;20 Jahre und mehr;3479;11
