Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Anzahl Betriebe;Tätige Personen (absolut);"Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)";Geleistete Arbeitsstunden (gesamt in 1000h);Geleistete Arbeitsstunden je tätiger Person;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";"Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;"Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)";Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR);Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR);Umsatz aus eigenen Erzeugnissen je tätiger Person
2019;4. Quartal;10;Verarbeitendes Gewerbe gesamt;122;25675;100;3372;131;94426;3678;583557;354539;230726;22729;100;565651;352358;22031
2019;4. Quartal;11;A+EN Vorleistungsgüter und Energie;39;10486;40,8;1424;136;57280;5463;247135;160274;125248;23568;43,5;241082;159026;22991
2019;4. Quartal;11;B Investitionsgüter;59;10454;40,7;1359;130;49901;4773;209419;107783;27377;20032;36,9;202246;106380;19346
2019;4. Quartal;11;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;4. Quartal;11;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;4. Quartal;11;Verarbeitendes Gewerbe gesamt;122;25709;100;3384;132;130558;5078;568234;310359;183961;22103;100;547625;307299;21301
2019;4. Quartal;12;A+EN Vorleistungsgüter und Energie;39;10604;41,2;1285;121;47315;4462;219195;146388;107599;20671;39,7;213567;145079;20140
2019;4. Quartal;12;B Investitionsgüter;59;10398;40,4;1150;111;39703;3818;232580;132398;25509;22368;42,2;223625;129841;21507
2019;4. Quartal;12;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;4. Quartal;12;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2019;4. Quartal;12;Verarbeitendes Gewerbe gesamt;122;25722;100;2946;115;103008;4005;551722;320724;167921;21449;100;528038;316531;20529
2020;1. Quartal;01;A+EN Vorleistungsgüter und Energie;37;10480;40,7;1514;144;48311;4610;211529;123710;84998;20184;44,4;202003;123092;19275
2020;1. Quartal;01;B Investitionsgüter;62;10771;41,8;1547;144;40486;3759;181709;64576;17953;16870;38,2;173981;62781;16153
2020;1. Quartal;01;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;1. Quartal;01;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;1. Quartal;01;Verarbeitendes Gewerbe gesamt;123;25756;100;3684;143;103651;4024;476206;223335;126318;18489;100;452082;220567;17552
2020;1. Quartal;02;A+EN Vorleistungsgüter und Energie;37;10379;40,4;1404;135;41806;4028;186375;98818;58443;17957;41,2;179330;96776;17278
2020;1. Quartal;02;B Investitionsgüter;62;10785;41,9;1407;130;39516;3664;185284;66831;18832;17180;41;178073;65496;16511
2020;1. Quartal;02;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;1. Quartal;02;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;1. Quartal;02;Verarbeitendes Gewerbe gesamt;123;25722;100;3376;131;97468;3789;451892;198597;98838;17568;100;431519;194655;16776
2020;1. Quartal;03;A+EN Vorleistungsgüter und Energie;37;10390;40,4;1516;146;41180;3963;250856;162983;120699;24144;47,1;240185;156768;23117
2020;1. Quartal;03;B Investitionsgüter;62;10785;41,9;1476;137;40035;3712;180715;72986;31305;16756;34;170258;70390;15787
2020;1. Quartal;03;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;1. Quartal;03;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;1. Quartal;03;Verarbeitendes Gewerbe gesamt;123;25747;100;3585;139;101073;3926;532219;279555;182337;20671;100;503967;270332;19574
2020;2. Quartal;04;A+EN Vorleistungsgüter und Energie;37;10480;40,3;1411;135;51437;4908;235402;153318;111221;22462;54,2;225928;150352;21558
2020;2. Quartal;04;B Investitionsgüter;62;10783;41,5;1286;119;42035;3898;128458;51492;17472;11913;29,6;121820;49990;11297
2020;2. Quartal;04;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;2. Quartal;04;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;2. Quartal;04;Verarbeitendes Gewerbe gesamt;126;25979;100;3262;126;108777;4187;434249;237232;149170;16715;100;414491;232592;15955
2020;2. Quartal;05;A+EN Vorleistungsgüter und Energie;37;10423;40,2;1396;134;44108;4232;177032;94701;52462;16985;42,7;165595;91273;15887
2020;2. Quartal;05;B Investitionsgüter;61;10778;41,6;1235;115;44344;4114;157995;56384;13471;14659;38,1;152830;54721;14180
2020;2. Quartal;05;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;2. Quartal;05;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;2. Quartal;05;Verarbeitendes Gewerbe gesamt;125;25925;100;3162;122;104619;4035;414574;182191;84882;15991;100;392368;176866;15135
2020;2. Quartal;06;A+EN Vorleistungsgüter und Energie;38;10626;40,7;1465;138;47727;4492;209760;130605;89461;19740;44,6;198424;124342;18673
2020;2. Quartal;06;B Investitionsgüter;61;10751;41,2;1344;125;40909;3805;170132;58314;28013;15825;36,2;161458;55767;15018
2020;2. Quartal;06;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;2. Quartal;06;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;2. Quartal;06;Verarbeitendes Gewerbe gesamt;126;26107;100;3408;131;106061;4063;470276;223303;138932;18013;100;443042;214246;16970
2020;3. Quartal;07;A+EN Vorleistungsgüter und Energie;38;10663;40,9;1466;137;42678;4002;179099;97665;59112;16796;41,4;169363;95964;15883
2020;3. Quartal;07;B Investitionsgüter;61;10725;41,1;1368;128;39001;3636;167408;72800;21100;15609;38,7;160081;70347;14926
2020;3. Quartal;07;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;3. Quartal;07;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;3. Quartal;07;Verarbeitendes Gewerbe gesamt;126;26099;100;3438;132;96735;3706;432634;204597;101796;16577;100;409772;199973;15701
2020;3. Quartal;08;A+EN Vorleistungsgüter und Energie;38;10704;40,8;1348;126;41465;3874;224545;141616;98856;20978;50,1;215499;138248;20133
2020;3. Quartal;08;B Investitionsgüter;61;10803;41,2;1145;106;38456;3560;140527;61228;13566;13008;31,4;131039;57059;12130
2020;3. Quartal;08;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;3. Quartal;08;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;3. Quartal;08;Verarbeitendes Gewerbe gesamt;126;26242;100;3042;116;95076;3623;448163;236574;134440;17078;100;421682;228769;16069
2020;3. Quartal;09;A+EN Vorleistungsgüter und Energie;38;10782;41;1479;137;42206;3914;244159;147893;99793;22645;44,6;184556;125958;17117
2020;3. Quartal;09;B Investitionsgüter;61;10747;40,9;1358;126;38793;3610;210494;77965;19796;19586;38,4;202049;75663;18801
2020;3. Quartal;09;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;3. Quartal;09;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;3. Quartal;09;Verarbeitendes Gewerbe gesamt;126;26292;100;3446;131;97014;3690;547957;259820;141129;20841;100;474254;235255;18038
