Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Anzahl Betriebe;Tätige Personen (absolut);"Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)";Geleistete Arbeitsstunden (gesamt in 1000h);Geleistete Arbeitsstunden je tätiger Person;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";"Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;"Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)";Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR);Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR);Umsatz aus eigenen Erzeugnissen je tätiger Person
2020;4. Quartal;10;A+EN Vorleistungsgüter und Energie;38;10878;41,4;1479;136;42745;3929;187490;115007;74404;17236;40,8;181907;113720;16722
2020;4. Quartal;10;B Investitionsgüter;61;10652;40,5;1323;124;40203;3774;178524;62013;29014;16760;38,8;169536;59918;15916
2020;4. Quartal;10;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;4. Quartal;10;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;4. Quartal;10;Verarbeitendes Gewerbe gesamt;126;26301;100;3409;130;99295;3775;459570;208876;124476;17473;100;438609;205238;16677
2020;4. Quartal;11;A+EN Vorleistungsgüter und Energie;38;10901;41,4;1477;135;54389;4989;194828;122470;79564;17872;37,6;188767;121639;17316
2020;4. Quartal;11;B Investitionsgüter;61;10683;40,6;1275;119;48266;4518;229210;83106;30186;21456;44,3;217970;78414;20403
2020;4. Quartal;11;GG Gebrauchsgüter;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;4. Quartal;11;VG Verbrauchsgüter;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;4. Quartal;11;Verarbeitendes Gewerbe gesamt;126;26339;100;3349;127;126055;4786;517980;237455;130707;19666;100;493525;231602;18737
