Jahr;Stadtraum;Zeitfenster;"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;6,6;22,3;51,9;10,2;0;9
2020;16 Gorbitz;vor einem Jahr;8,5;16,2;67,5;5,2;0;2,6
2020;16 Gorbitz;heute;4,3;50,7;31,9;5,7;4,9;2,6
2020;16 Gorbitz;in einem Jahr;6,7;9,2;48,7;14,7;4,6;16,1
2020;17 Briesnitz und westliche OS;vor einem Jahr;0;17,1;69,9;12,4;0,7;0
2020;17 Briesnitz und westliche OS;heute;14,3;58,6;20,9;6,2;0;0
2020;17 Briesnitz und westliche OS;in einem Jahr;0;15,9;59,1;12,2;1,2;11,6
2020;18 Dresden gesamt;vor einem Jahr;2,9;16;66,7;11,6;0,9;1,8
2020;18 Dresden gesamt;heute;14;54,6;24,3;4,7;0,8;1,7
2020;18 Dresden gesamt;in einem Jahr;3,3;14;55,2;12,2;1,5;13,9
2022;01 StB Altstadt ohne Johannstadt;vor einem Jahr;2,5;25,8;53,8;13,4;1,6;2,8
2022;01 StB Altstadt ohne Johannstadt;heute;11;58,6;18,8;8,9;0;2,7
2022;01 StB Altstadt ohne Johannstadt;in einem Jahr;5,1;8,1;63,1;5,8;2;15,9
2022;02 Johannstadt;vor einem Jahr;2,8;25;58,7;13,4;0;0
2022;02 Johannstadt;heute;10,9;64,5;18,7;4,8;1,1;0
2022;02 Johannstadt;in einem Jahr;2,3;8,9;50,2;15,2;3,7;19,7
2022;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;8,8;16,1;56,7;13,3;1,9;3,1
2022;03 StB Neustadt ohne Leipziger Vorstadt;heute;18,3;51,9;20;4;1,9;4
2022;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;5,7;19;49,5;8,3;2,3;15,3
2022;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;0;21,2;65,8;10,8;2,2;0
2022;04 Leipziger Vorstadt, Pieschen;heute;13,8;55,2;23,6;5,4;1,9;0
2022;04 Leipziger Vorstadt, Pieschen;in einem Jahr;2,9;15,1;52,4;9,8;1;18,8
2022;05 Mickten, Kaditz, Trachau;vor einem Jahr;2;11,2;68,3;14,1;1,3;3,2
2022;05 Mickten, Kaditz, Trachau;heute;14,2;62,2;13,9;6,5;0;3,2
2022;05 Mickten, Kaditz, Trachau;in einem Jahr;2,4;6,8;65,7;9,7;3;12,3
2022;06 StB Klotzsche und nördliche OS;vor einem Jahr;0,6;15;74,3;6,3;1,5;2,3
2022;06 StB Klotzsche und nördliche OS;heute;17,7;58,6;19,3;3,7;0;0,6
2022;06 StB Klotzsche und nördliche OS;in einem Jahr;0,6;6,4;63,7;10,6;3,9;14,9
2022;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;0,7;20,3;65,1;7,9;4,3;1,6
2022;07 StB Loschwitz und OS Schönfeld-Weißig;heute;22;49,2;22,7;6,1;0;0
2022;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;3,9;7,7;69,3;5,8;1,3;11,9
2022;08 Blasewitz, Striesen;vor einem Jahr;2,5;19,1;63,1;13,1;0;2,3
2022;08 Blasewitz, Striesen;heute;20,6;61,4;11,4;4,7;0;1,9
2022;08 Blasewitz, Striesen;in einem Jahr;0,8;13;62,9;10,2;1,1;12
2022;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;1,9;26,9;58,6;11,7;0;0,9
2022;09 Tolkewitz, Seidnitz, Gruna;heute;4,3;54,1;31,8;8,2;0;1,7
2022;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;4,2;7,1;57,2;13,3;1,5;16,7
2022;10 StB Leuben;vor einem Jahr;2,3;23,7;60,4;11,5;2,1;0
2022;10 StB Leuben;heute;9,3;57,2;28,7;4,1;0,7;0
2022;10 StB Leuben;in einem Jahr;1,3;13,3;54,6;12,3;0;18,5
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;0;13,2;61,9;17,3;2,7;4,9
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;5,9;42;27;18,8;3,6;2,6
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;1,1;10,9;49;11,3;1,2;26,6
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;3,4;16,5;63,7;12,7;2,1;1,6
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;18,2;55,2;22;2,3;0,7;1,6
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;0,9;12;55,7;13,4;1,6;16,5
2022;13 Südvorstadt, Zschertnitz;vor einem Jahr;0;14,9;63,7;14,9;2,2;4,3
2022;13 Südvorstadt, Zschertnitz;heute;13,4;55,6;21,7;5,9;1,2;2,2
2022;13 Südvorstadt, Zschertnitz;in einem Jahr;2;13,8;61,5;9,2;2;11,6
2022;14 Mockritz, Coschütz, Plauen;vor einem Jahr;2,1;15,6;63,9;12,2;4;2,3
2022;14 Mockritz, Coschütz, Plauen;heute;14,9;54,9;20,7;6,4;0,9;2,2
2022;14 Mockritz, Coschütz, Plauen;in einem Jahr;1,8;8,8;57,3;7,6;1,8;22,7
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;5,2;12,4;69,9;7,7;1,8;3
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;11,7;58;23,8;4;0,7;1,8
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;2,7;17,6;56,6;9,9;0;13,2
2022;16 Gorbitz;vor einem Jahr;4,1;12,2;63,2;17,9;0,8;1,8
2022;16 Gorbitz;heute;6,7;58,3;22,7;11,3;0;0,9
2022;16 Gorbitz;in einem Jahr;3,8;6,1;47,8;9,3;7,1;26
2022;17 Briesnitz und westliche OS;vor einem Jahr;3,4;16,7;59;10,1;4,8;6
2022;17 Briesnitz und westliche OS;heute;10,1;67,6;18,4;0,7;0;3,2
2022;17 Briesnitz und westliche OS;in einem Jahr;0,9;13,3;54,1;12,7;0;19
2022;18 Dresden gesamt;vor einem Jahr;2,5;18,3;62,8;12,1;1,9;2,3
2022;18 Dresden gesamt;heute;13,5;56,9;21,2;5,9;0,7;1,8
2022;18 Dresden gesamt;in einem Jahr;2,5;11,6;57,3;10,2;1,8;16,5
2024;01 StB Altstadt ohne Johannstadt;vor einem Jahr;9,9;24,3;41,5;17,8;3,7;2,8
2024;01 StB Altstadt ohne Johannstadt;heute;11,3;56,2;22,1;7,6;1;1,8
2024;01 StB Altstadt ohne Johannstadt;in einem Jahr;7,6;22,9;42,5;9,4;4;13,5
2024;02 Johannstadt;vor einem Jahr;3,1;21,6;53,1;15,1;4,8;2,3
2024;02 Johannstadt;heute;15,5;50,5;22,6;7;2,7;1,7
2024;02 Johannstadt;in einem Jahr;2,6;16,9;45,2;16,3;5,9;13,1
2024;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;2,2;21,2;57,3;16,3;2,4;0,6
2024;03 StB Neustadt ohne Leipziger Vorstadt;heute;18,6;43,9;28,7;7,2;0,6;1,1
2024;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;3,6;19,3;49,3;15,3;1,1;11,3
2024;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;2,3;24,2;50,4;19,8;2,1;1,3
2024;04 Leipziger Vorstadt, Pieschen;heute;15;49,3;22,7;10,4;0;2,5
2024;04 Leipziger Vorstadt, Pieschen;in einem Jahr;3,9;11,9;47,6;16,2;1,7;18,6
2024;05 Mickten, Kaditz, Trachau;vor einem Jahr;2,2;23,8;56,6;12,5;1,2;3,7
2024;05 Mickten, Kaditz, Trachau;heute;14,8;50,6;25,1;6,9;0;2,6
2024;05 Mickten, Kaditz, Trachau;in einem Jahr;4,5;10,5;47,7;22,1;0,6;14,5
2024;06 StB Klotzsche und nördliche OS;vor einem Jahr;2,2;20,3;63,4;14,1;0;0
2024;06 StB Klotzsche und nördliche OS;heute;22,6;52;18,5;4,9;1,3;0,8
2024;06 StB Klotzsche und nördliche OS;in einem Jahr;2,8;6,3;55,8;22;3,4;9,6
2024;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;2;19,7;63,2;12,4;2,2;0,6
2024;07 StB Loschwitz und OS Schönfeld-Weißig;heute;25,2;50,4;16,3;6,2;1,2;0,6
2024;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;1,6;14,2;58,9;12,9;2,1;10,3
2024;08 Blasewitz, Striesen;vor einem Jahr;3,2;18,8;61,8;11;2,6;2,7
2024;08 Blasewitz, Striesen;heute;15,1;55,8;21,8;4,4;1,5;1,4
2024;08 Blasewitz, Striesen;in einem Jahr;3,1;12,4;54,8;16,1;2,2;11,5
2024;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;5,7;22,2;57;12,5;2,6;0
2024;09 Tolkewitz, Seidnitz, Gruna;heute;4,9;53;32,5;6,3;3,3;0
2024;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;3,5;7,8;51,4;15,4;6,3;15,6
2024;10 StB Leuben;vor einem Jahr;2,8;19,3;64,5;10,8;1,6;1,1
2024;10 StB Leuben;heute;9,8;51,8;27,2;8,6;0,5;2
2024;10 StB Leuben;in einem Jahr;0,9;7,9;57,8;14,6;2,7;16,2
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;1,3;24,3;52,8;18,6;0,9;2,1
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;2;40,7;39;14,9;1,3;2,1
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;1,9;22,6;29,7;15,5;4,6;25,6
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;2,7;14;62,7;14,2;1,6;4,7
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;10,3;55,2;27,6;3,8;0;3,1
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;3,4;11,6;54,7;16,7;1,8;11,8
2024;13 Südvorstadt, Zschertnitz;vor einem Jahr;0;22,9;58;14,8;0,8;3,5
2024;13 Südvorstadt, Zschertnitz;heute;9,2;46,3;32,7;6,8;0,9;4,1
2024;13 Südvorstadt, Zschertnitz;in einem Jahr;3,3;7,6;46,9;11,4;3,9;26,9
2024;14 Mockritz, Coschütz, Plauen;vor einem Jahr;6,1;17;54,4;15;3,6;4
2024;14 Mockritz, Coschütz, Plauen;heute;13,1;61,4;19,2;3,8;0;2,6
2024;14 Mockritz, Coschütz, Plauen;in einem Jahr;4,6;9,5;47;18,4;1,5;19
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;6,1;21,8;50,4;17;0,5;4,1
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;14,7;48,4;26,5;6,9;0;3,5
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;4,9;14;48,6;13,7;2,3;16,5
2024;16 Gorbitz;vor einem Jahr;4,8;21,5;60,5;9,2;2,5;1,5
2024;16 Gorbitz;heute;3,5;53,6;33,2;6,6;3,1;0
2024;16 Gorbitz;in einem Jahr;2,8;7,2;57,6;10,3;5,7;16,4
2024;17 Briesnitz und westliche OS;vor einem Jahr;3,7;20,1;56,4;15,8;2,7;1,3
2024;17 Briesnitz und westliche OS;heute;13,3;62,7;17,8;3,4;0;2,7
2024;17 Briesnitz und westliche OS;in einem Jahr;0,8;16,9;49,9;21;2,5;8,9
2024;18 Dresden gesamt;vor einem Jahr;3,6;21;56,6;14,6;2;2,2
2024;18 Dresden gesamt;heute;13,3;51,6;25,4;6,8;1;2
2024;18 Dresden gesamt;in einem Jahr;3,5;13;50;15,5;2,9;15,1
