Jahr;Stadtraum;Zeitfenster;"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;3,6;21,5;58,8;11,9;1,8;2,4
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;1,1;47,2;41,5;8,9;0,4;1
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;3;12;34,1;26,5;5,4;19
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;6,3;21,5;60,5;7,5;1,4;2,8
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;5,6;47,6;36,9;4,8;2,2;2,9
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;0,4;10,1;35,6;25,8;6,2;21,9
1996;13 Südvorstadt, Zschertnitz;vor einem Jahr;3,2;20,4;65,1;7;2,2;2,2
1996;13 Südvorstadt, Zschertnitz;heute;4,7;43;38,4;10,3;2,4;1,2
1996;13 Südvorstadt, Zschertnitz;in einem Jahr;3,5;12,9;38;19,6;4,1;21,9
1996;14 Mockritz, Coschütz, Plauen;vor einem Jahr;5,4;25,9;58;8,4;2,3;0
1996;14 Mockritz, Coschütz, Plauen;heute;1,1;49,1;42,6;6,2;1;0
1996;14 Mockritz, Coschütz, Plauen;in einem Jahr;3,5;13,7;40,4;21,6;1,2;19,7
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;3,7;22;58,9;12;3,4;0
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;1,5;43,4;42,5;9,2;3,4;0
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;0,8;8,1;39,4;22,8;8;21
1996;16 Gorbitz;vor einem Jahr;6,9;19,3;58,8;11,7;2,7;0,6
1996;16 Gorbitz;heute;3,5;47,5;38,6;8,5;1,9;0
1996;16 Gorbitz;in einem Jahr;2,9;10,3;43,4;18,8;4,4;20,2
1996;17 Briesnitz und westliche OS;vor einem Jahr;4,4;18,6;63,1;13,9;0;0
1996;17 Briesnitz und westliche OS;heute;10,7;53,2;28,5;4,6;3,1;0
1996;17 Briesnitz und westliche OS;in einem Jahr;6,1;13,2;47,4;17,6;3,4;12,2
1996;18 Dresden gesamt;vor einem Jahr;4,9;21,6;60,6;9,9;1,8;1,3
1996;18 Dresden gesamt;heute;3,4;46,8;39,2;7,8;1,9;0,8
1996;18 Dresden gesamt;in einem Jahr;2,1;10,2;40,6;21,2;5;20,8
2002;01 StB Altstadt ohne Johannstadt;vor einem Jahr;3,5;20,1;55,7;19,4;0,9;0,4
2002;01 StB Altstadt ohne Johannstadt;heute;2,5;47;36,5;8;4;2,1
2002;01 StB Altstadt ohne Johannstadt;in einem Jahr;1,4;7,7;49,3;20,4;7,6;13,7
2002;02 Johannstadt;vor einem Jahr;7,1;23,3;54,6;11,5;1,5;2,1
2002;02 Johannstadt;heute;0,5;38,1;46,1;9,4;3;2,8
2002;02 Johannstadt;in einem Jahr;3;6,9;44,8;25,9;4,2;15,2
